session_id,clinic_code,practitioner_id,session_date,start_time,end_time,slot_minutes,slots_offered,sessional_cost_zar
SE-400132,LUM-UMH,PR-3018,06/09/2024,08:00,17:00,20,27,3765
SE-400133,LUM-CLR,PR-3019,2024-09-06,08:00,17:00,20,27,4416
SE-400134,LUM-CLR,PR-3020,2024-09-06,08:00,17:00,30,18,3302
SE-400135,LUM-CLR,PR-3021,06/09/2024,08:00,17:00,20,27,4210
SE-400136,LUM-CLR,PR-3022,2024-09-06,08:00,17:00,20,27,4199
SE-400137,LUM-CLR,PR-3023,2024-09-06,08:00,17:00,20,27,3940
SE-400138,LUM-CLR,PR-3024,06/09/2024,08:00,17:00,20,27,4215
SE-400139,LUM-GQE,PR-3025,2024-09-06,08:00,17:00,20,27,3480
SE-400140,LUM-GQE,PR-3026,2024-09-06,08:00,17:00,20,27,4421
SE-400141,LUM-GQE,PR-3027,06/09/2024,08:00,17:00,30,18,5152
SE-400142,LUM-GQE,PR-3028,2024-09-06,08:00,17:00,20,27,4210
SE-400143,LUM-BFN,PR-3029,2024-09-06,08:00,17:00,30,18,4817
SE-400144,LUM-BFN,PR-3030,2024-09-06,08:00,17:00,30,18,2885
SE-400145,LUM-BFN,PR-3031,2024-09-06,08:00,17:00,30,18,3256
SE-400146,LUM-BFN,PR-3032,06/09/2024,08:00,17:00,30,18,2779
SE-400147,LUM-SAN,PR-3003,2024-09-07,08:00,13:00,20,15,2043.89
SE-400148,LUM-SAN,PR-3004,2024-09-07,08:00,13:00,20,15,2287.22
SE-400149,LUM-SAN,PR-3007,07/09/2024,08:00,13:00,45,6,3728.33
SE-400150,LUM-PTA,PR-3009,07/09/2024,08:00,13:00,25,12,4567.22
SE-400151,LUM-PTA,PR-3012,2024-09-07,08:00,13:00,20,15,2262.78
SE-400152,LUM-UMH,PR-3014,07/09/2024,08:00,13:00,20,15,2008.89
SE-400153,LUM-UMH,PR-3015,2024-09-07,08:00,13:00,30,10,2676.11
SE-400154,LUM-UMH,PR-3016,2024-09-07,08:00,13:00,30,10,1758.89
SE-400155,LUM-CLR,PR-3019,2024-09-07,08:00,13:00,20,15,2453.33
SE-400156,LUM-CLR,PR-3021,2024-09-07,08:00,13:00,20,15,2338.89
SE-400157,LUM-CLR,PR-3023,2024-09-07,08:00,13:00,20,15,2188.89
SE-400158,LUM-GQE,PR-3026,07/09/2024,08:00,13:00,20,15,2456.11
SE-400159,LUM-GQE,PR-3027,2024-09-07,08:00,13:00,30,10,2862.22
SE-400160,LUM-BFN,PR-3030,2024-09-07,08:00,13:00,30,10,1602.78
SE-400161,LUM-SAN,PR-3001,2024-09-09,08:00,17:00,20,27,4207
SE-400162,LUM-SAN,PR-3002,2024-09-09,08:00,17:00,30,18,5987
SE-400163,LUM-SAN,PR-3003,09/09/2024,08:00,17:00,20,27,3679
SE-400164,LUM-SAN,PR-3004,2024-09-09,08:00,17:00,20,27,4117
SE-400165,LUM-SAN,PR-3005,2024-09-09,08:00,17:00,20,27,4234
SE-400166,LUM-SAN,PR-3006,09/09/2024,08:00,17:00,30,18,3134
SE-400167,LUM-SAN,PR-3007,2024-09-09,08:00,17:00,45,12,6711
SE-400168,LUM-PTA,PR-3008,2024-09-09,08:00,17:00,20,27,3803
SE-400169,LUM-PTA,PR-3009,09/09/2024,08:00,17:00,25,21,8221
SE-400170,LUM-PTA,PR-3010,09/09/2024,08:00,17:00,30,18,5602
SE-400171,LUM-PTA,PR-3012,2024-09-09,08:00,17:00,20,27,4073
SE-400172,LUM-PTA,PR-3013,2024-09-09,08:00,17:00,30,18,5678
SE-400173,LUM-UMH,PR-3014,2024-09-09,08:00,17:00,20,27,3616
SE-400174,LUM-UMH,PR-3015,2024-09-09,08:00,17:00,30,18,4817
SE-400175,LUM-UMH,PR-3016,2024-09-09,08:00,17:00,30,18,3166
SE-400176,LUM-UMH,PR-3017,2024-09-09,08:00,17:00,25,21,7465
SE-400177,LUM-UMH,PR-3018,2024-09-09,08:00,17:00,20,27,3765
SE-400178,LUM-CLR,PR-3019,09/09/2024,08:00,17:00,20,27,4416
SE-400179,LUM-CLR,PR-3020,2024-09-09,08:00,17:00,30,18,3302
SE-400180,LUM-CLR,PR-3021,2024-09-09,08:00,17:00,20,27,4210
SE-400181,LUM-CLR,PR-3022,2024-09-09,08:00,17:00,20,27,4199
SE-400182,LUM-CLR,PR-3023,2024-09-09,08:00,17:00,20,27,3940
SE-400183,LUM-CLR,PR-3024,2024-09-09,08:00,17:00,20,27,4215
SE-400184,LUM-GQE,PR-3025,2024-09-09,08:00,17:00,20,27,3480
SE-400185,LUM-GQE,PR-3026,2024-09-09,08:00,17:00,20,27,4421
SE-400186,LUM-GQE,PR-3027,2024-09-09,08:00,17:00,30,18,5152
SE-400187,LUM-BFN,PR-3029,09/09/2024,08:00,17:00,30,18,4817
SE-400188,LUM-BFN,PR-3030,2024-09-09,08:00,17:00,30,18,2885
SE-400189,LUM-BFN,PR-3031,09/09/2024,08:00,17:00,30,18,3256
SE-400190,LUM-BFN,PR-3032,2024-09-09,08:00,17:00,30,18,2779
SE-400191,LUM-SAN,PR-3001,2024-09-10,08:00,17:00,20,27,4207
SE-400192,LUM-SAN,PR-3002,2024-09-10,08:00,17:00,30,18,5987
SE-400193,LUM-SAN,PR-3003,10/09/2024,08:00,17:00,20,27,3679
SE-400194,LUM-SAN,PR-3004,2024-09-10,08:00,17:00,20,27,4117
SE-400195,LUM-SAN,PR-3005,2024-09-10,08:00,17:00,20,27,4234
SE-400196,LUM-SAN,PR-3006,2024-09-10,08:00,17:00,30,18,3134
SE-400197,LUM-SAN,PR-3007,2024-09-10,08:00,17:00,45,12,6711
SE-400198,LUM-PTA,PR-3008,2024-09-10,08:00,17:00,20,27,3803
SE-400199,LUM-PTA,PR-3009,2024-09-10,08:00,17:00,25,21,8221
SE-400200,LUM-PTA,PR-3010,10/09/2024,08:00,17:00,30,18,5602
SE-400201,LUM-PTA,PR-3011,10/09/2024,08:00,17:00,20,27,4519
SE-400202,LUM-PTA,PR-3012,10/09/2024,08:00,17:00,20,27,4073
SE-400203,LUM-PTA,PR-3013,2024-09-10,08:00,17:00,30,18,5678
SE-400204,LUM-UMH,PR-3015,2024-09-10,08:00,17:00,30,18,4817
SE-400205,LUM-UMH,PR-3016,10/09/2024,08:00,17:00,30,18,3166
SE-400206,LUM-UMH,PR-3018,10/09/2024,08:00,17:00,20,27,3765
SE-400207,LUM-CLR,PR-3019,2024-09-10,08:00,17:00,20,27,4416
SE-400208,LUM-CLR,PR-3020,2024-09-10,08:00,17:00,30,18,3302
SE-400209,LUM-CLR,PR-3021,2024-09-10,08:00,17:00,20,27,4210
SE-400210,LUM-CLR,PR-3022,10/09/2024,08:00,17:00,20,27,4199
SE-400211,LUM-CLR,PR-3023,2024-09-10,08:00,17:00,20,27,3940
SE-400212,LUM-CLR,PR-3024,2024-09-10,08:00,17:00,20,27,4215
SE-400213,LUM-GQE,PR-3025,10/09/2024,08:00,17:00,20,27,3480
SE-400214,LUM-GQE,PR-3026,2024-09-10,08:00,17:00,20,27,4421
SE-400215,LUM-GQE,PR-3027,2024-09-10,08:00,17:00,30,18,5152
SE-400216,LUM-GQE,PR-3028,10/09/2024,08:00,17:00,20,27,4210
SE-400217,LUM-BFN,PR-3029,10/09/2024,08:00,17:00,30,18,4817
SE-400218,LUM-BFN,PR-3030,2024-09-10,08:00,17:00,30,18,2885
SE-400219,LUM-BFN,PR-3031,2024-09-10,08:00,17:00,30,18,3256
SE-400220,LUM-SAN,PR-3001,11/09/2024,08:00,17:00,20,27,4207
SE-400221,LUM-SAN,PR-3002,2024-09-11,08:00,17:00,30,18,5987
SE-400222,LUM-SAN,PR-3003,11/09/2024,08:00,17:00,20,27,3679
SE-400223,LUM-SAN,PR-3004,2024-09-11,08:00,17:00,20,27,4117
SE-400224,LUM-SAN,PR-3005,2024-09-11,08:00,17:00,20,27,4234
SE-400225,LUM-SAN,PR-3006,2024-09-11,08:00,17:00,30,18,3134
SE-400226,LUM-SAN,PR-3007,11/09/2024,08:00,17:00,45,12,6711
SE-400227,LUM-PTA,PR-3008,11/09/2024,08:00,17:00,20,27,3803
SE-400228,LUM-PTA,PR-3010,2024-09-11,08:00,17:00,30,18,5602
SE-400229,LUM-PTA,PR-3011,11/09/2024,08:00,17:00,20,27,4519
SE-400230,LUM-PTA,PR-3012,11/09/2024,08:00,17:00,20,27,4073
SE-400231,LUM-UMH,PR-3014,2024-09-11,08:00,17:00,20,27,3616
SE-400232,LUM-UMH,PR-3015,2024-09-11,08:00,17:00,30,18,4817
SE-400233,LUM-UMH,PR-3016,11/09/2024,08:00,17:00,30,18,3166
SE-400234,LUM-UMH,PR-3017,2024-09-11,08:00,17:00,25,21,7465
SE-400235,LUM-UMH,PR-3018,2024-09-11,08:00,17:00,20,27,3765
SE-400236,LUM-CLR,PR-3019,2024-09-11,08:00,17:00,20,27,4416
SE-400237,LUM-CLR,PR-3020,2024-09-11,08:00,17:00,30,18,3302
SE-400238,LUM-CLR,PR-3021,2024-09-11,08:00,17:00,20,27,4210
SE-400239,LUM-CLR,PR-3022,2024-09-11,08:00,17:00,20,27,4199
SE-400240,LUM-CLR,PR-3023,2024-09-11,08:00,17:00,20,27,3940
SE-400241,LUM-CLR,PR-3024,2024-09-11,08:00,17:00,20,27,4215
SE-400242,LUM-GQE,PR-3025,2024-09-11,08:00,17:00,20,27,3480
SE-400243,LUM-GQE,PR-3026,11/09/2024,08:00,17:00,20,27,4421
SE-400244,LUM-GQE,PR-3027,2024-09-11,08:00,17:00,30,18,5152
SE-400245,LUM-GQE,PR-3028,2024-09-11,08:00,17:00,20,27,4210
SE-400246,LUM-BFN,PR-3029,2024-09-11,08:00,17:00,30,18,4817
SE-400247,LUM-BFN,PR-3030,2024-09-11,08:00,17:00,30,18,2885
SE-400248,LUM-BFN,PR-3031,2024-09-11,08:00,17:00,30,18,3256
SE-400249,LUM-BFN,PR-3032,2024-09-11,08:00,17:00,30,18,2779
SE-400250,LUM-SAN,PR-3001,2024-09-12,08:00,17:00,20,27,4207
SE-400251,LUM-SAN,PR-3002,12/09/2024,08:00,17:00,30,18,5987
SE-400252,LUM-SAN,PR-3003,2024-09-12,08:00,17:00,20,27,3679
SE-400253,LUM-SAN,PR-3004,2024-09-12,08:00,17:00,20,27,4117
SE-400254,LUM-SAN,PR-3005,2024-09-12,08:00,17:00,20,27,4234
SE-400255,LUM-SAN,PR-3006,12/09/2024,08:00,17:00,30,18,3134
SE-400256,LUM-SAN,PR-3007,2024-09-12,08:00,17:00,45,12,6711
SE-400257,LUM-PTA,PR-3008,12/09/2024,08:00,17:00,20,27,3803
SE-400258,LUM-PTA,PR-3009,2024-09-12,08:00,17:00,25,21,8221
SE-400259,LUM-PTA,PR-3010,12/09/2024,08:00,17:00,30,18,5602
SE-400260,LUM-PTA,PR-3011,2024-09-12,08:00,17:00,20,27,4519
SE-400261,LUM-PTA,PR-3012,2024-09-12,08:00,17:00,20,27,4073
SE-400262,LUM-PTA,PR-3013,2024-09-12,08:00,17:00,30,18,5678
SE-400263,LUM-UMH,PR-3014,2024-09-12,08:00,17:00,20,27,3616
SE-400264,LUM-UMH,PR-3015,2024-09-12,08:00,17:00,30,18,4817
SE-400265,LUM-UMH,PR-3016,2024-09-12,08:00,17:00,30,18,3166
SE-400266,LUM-UMH,PR-3017,2024-09-12,08:00,17:00,25,21,7465
SE-400267,LUM-UMH,PR-3018,2024-09-12,08:00,17:00,20,27,3765
SE-400268,LUM-CLR,PR-3019,2024-09-12,08:00,17:00,20,27,4416
SE-400269,LUM-CLR,PR-3020,12/09/2024,08:00,17:00,30,18,3302
SE-400270,LUM-CLR,PR-3021,2024-09-12,08:00,17:00,20,27,4210
SE-400271,LUM-CLR,PR-3022,2024-09-12,08:00,17:00,20,27,4199
SE-400272,LUM-CLR,PR-3023,12/09/2024,08:00,17:00,20,27,3940
SE-400273,LUM-GQE,PR-3027,12/09/2024,08:00,17:00,30,18,5152
SE-400274,LUM-GQE,PR-3028,2024-09-12,08:00,17:00,20,27,4210
SE-400275,LUM-BFN,PR-3031,2024-09-12,08:00,17:00,30,18,3256
SE-400276,LUM-BFN,PR-3032,2024-09-12,08:00,17:00,30,18,2779
SE-400277,LUM-SAN,PR-3001,2024-09-13,08:00,17:00,20,27,4207
SE-400278,LUM-SAN,PR-3002,2024-09-13,08:00,17:00,30,18,5987
SE-400279,LUM-SAN,PR-3003,2024-09-13,08:00,17:00,20,27,3679
SE-400280,LUM-SAN,PR-3004,2024-09-13,08:00,17:00,20,27,4117
SE-400281,LUM-SAN,PR-3005,2024-09-13,08:00,17:00,20,27,4234
SE-400282,LUM-SAN,PR-3006,2024-09-13,08:00,17:00,30,18,3134
SE-400283,LUM-SAN,PR-3007,2024-09-13,08:00,17:00,45,12,6711
SE-400284,LUM-PTA,PR-3008,2024-09-13,08:00,17:00,20,27,3803
SE-400285,LUM-PTA,PR-3009,2024-09-13,08:00,17:00,25,21,8221
SE-400286,LUM-PTA,PR-3010,2024-09-13,08:00,17:00,30,18,5602
SE-400287,LUM-PTA,PR-3011,13/09/2024,08:00,17:00,20,27,4519
SE-400288,LUM-PTA,PR-3012,13/09/2024,08:00,17:00,20,27,4073
SE-400289,LUM-PTA,PR-3013,2024-09-13,08:00,17:00,30,18,5678
SE-400290,LUM-UMH,PR-3014,2024-09-13,08:00,17:00,20,27,3616
SE-400291,LUM-UMH,PR-3015,2024-09-13,08:00,17:00,30,18,4817
SE-400292,LUM-UMH,PR-3016,2024-09-13,08:00,17:00,30,18,3166
SE-400293,LUM-UMH,PR-3017,13/09/2024,08:00,17:00,25,21,7465
SE-400294,LUM-UMH,PR-3018,2024-09-13,08:00,17:00,20,27,3765
SE-400295,LUM-CLR,PR-3019,13/09/2024,08:00,17:00,20,27,4416
SE-400296,LUM-CLR,PR-3020,2024-09-13,08:00,17:00,30,18,3302
SE-400297,LUM-CLR,PR-3021,2024-09-13,08:00,17:00,20,27,4210
SE-400298,LUM-CLR,PR-3022,2024-09-13,08:00,17:00,20,27,4199
SE-400299,LUM-CLR,PR-3023,2024-09-13,08:00,17:00,20,27,3940
SE-400300,LUM-CLR,PR-3024,13/09/2024,08:00,17:00,20,27,4215
SE-400301,LUM-GQE,PR-3025,2024-09-13,08:00,17:00,20,27,3480
SE-400302,LUM-GQE,PR-3026,2024-09-13,08:00,17:00,20,27,4421
SE-400303,LUM-GQE,PR-3027,13/09/2024,08:00,17:00,30,18,5152
SE-400304,LUM-GQE,PR-3028,13/09/2024,08:00,17:00,20,27,4210
SE-400305,LUM-BFN,PR-3030,2024-09-13,08:00,17:00,30,18,2885
SE-400306,LUM-BFN,PR-3031,13/09/2024,08:00,17:00,30,18,3256
SE-400307,LUM-BFN,PR-3032,13/09/2024,08:00,17:00,30,18,2779
SE-400308,LUM-SAN,PR-3002,2024-09-14,08:00,13:00,30,10,3326.11
SE-400309,LUM-PTA,PR-3009,2024-09-14,08:00,13:00,25,12,4567.22
SE-400310,LUM-PTA,PR-3010,2024-09-14,08:00,13:00,30,10,3112.22
SE-400311,LUM-PTA,PR-3012,2024-09-14,08:00,13:00,20,15,2262.78
SE-400312,LUM-UMH,PR-3014,2024-09-14,08:00,13:00,20,15,2008.89
SE-400313,LUM-UMH,PR-3015,2024-09-14,08:00,13:00,30,10,2676.11
SE-400314,LUM-UMH,PR-3018,2024-09-14,08:00,13:00,20,15,2091.67
SE-400315,LUM-CLR,PR-3021,14/09/2024,08:00,13:00,20,15,2338.89
SE-400316,LUM-CLR,PR-3022,2024-09-14,08:00,13:00,20,15,2332.78
SE-400317,LUM-CLR,PR-3023,14/09/2024,08:00,13:00,20,15,2188.89
SE-400318,LUM-CLR,PR-3024,2024-09-14,08:00,13:00,20,15,2341.67
SE-400319,LUM-GQE,PR-3026,2024-09-14,08:00,13:00,20,15,2456.11
SE-400320,LUM-GQE,PR-3027,14/09/2024,08:00,13:00,30,10,2862.22
SE-400321,LUM-GQE,PR-3028,2024-09-14,08:00,13:00,20,15,2338.89
SE-400322,LUM-SAN,PR-3001,2024-09-16,08:00,17:00,20,27,4207
SE-400323,LUM-SAN,PR-3002,2024-09-16,08:00,17:00,30,18,5987
SE-400324,LUM-SAN,PR-3003,2024-09-16,08:00,17:00,20,27,3679
SE-400325,LUM-SAN,PR-3004,2024-09-16,08:00,17:00,20,27,4117
SE-400326,LUM-SAN,PR-3006,2024-09-16,08:00,17:00,30,18,3134
SE-400327,LUM-SAN,PR-3007,2024-09-16,08:00,17:00,45,12,6711
SE-400328,LUM-PTA,PR-3008,2024-09-16,08:00,17:00,20,27,3803
SE-400329,LUM-PTA,PR-3009,2024-09-16,08:00,17:00,25,21,8221
