loan_id,client_ref,branch_code,agent_id,disbursement_date,principal_zar,initiation_fee_zar,capitalised_amount_zar,interest_rate_annual,term_months,monthly_service_fee_zar,credit_life_monthly_zar,instalment_zar,debit_order_day,purpose,is_topup,settles_loan_id,status
LN-500026,CL-106728,SF-DBN,AG-623,2024-09-26,6500,1757.5,8257.5,0.25,12,69,37.16,890.99,8,Other,N,,Settled
LN-500027,CL-116667,SF-PLK,AG-655,2024-09-16,19500,3057.5,22557.5,0.25,24,69,101.51,1374.44,26,Debt consolidation,N,,Active
LN-500028,CL-100266,SF-JHB,AG-610,2024-09-10,45500,5175,50675,0.24,12,69,228.04,5088.85,3,Business,N,,Settled
LN-500029,CL-113266,SF-GQE,AG-644,22/09/2024,50000,5175,55175,0.26,18,69,248.29,4051.73,24,Business,N,,Settled
LN-500030,CL-108310,SF-DBN,AG-623,2024-09-09,23000,3407.5,26407.5,0.27,12,69,118.83,2723.41,25,School fees,N,,Settled
LN-500031,CL-117801,SF-PLK,AG-658,2024-09-10,19000,3007.5,22007.5,0.27,18,69,99.03,1668.44,2,Funeral,N,,Settled
LN-500032,CL-104819,SF-PTA,AG-612,2024-09-06,32000,4307.5,36307.5,0.28,12,69,163.38,3736.27,25,Debt consolidation,N,,Settled
LN-500033,CL-115623,SF-BFN,AG-649,2024-09-24,10000,2107.5,12107.5,0.28,36,69,54.48,624.29,8,Vehicle repair,N,,Written off
LN-500034,CL-106917,SF-DBN,AG-624,2024-09-23,9500,2057.5,11557.5,0.28,12,69,52.01,1236.38,26,Vehicle repair,N,,Settled
LN-500035,CL-110035,SF-PMB,AG-634,2024-09-17,20500,3157.5,23657.5,0.28,12,69,106.46,2458.55,1,Other,N,,Settled
LN-500036,CL-117296,SF-PLK,AG-658,2024-09-14,50000,5175,55175,0.25,24,69,248.29,3262.06,3,Business,N,,Active
LN-500037,CL-105422,SF-PTA,AG-617,2024-09-24,23000,3407.5,26407.5,0.26,12,69,118.83,2710.55,25,Vehicle repair,N,,Settled
LN-500038,CL-118365,SF-MAH,AG-660,2024-09-04,35500,4657.5,"40,157.50",0.28,6,69,180.71,7499.72,27,Vehicle repair,N,,Settled
LN-500039,CL-116096,SF-BFN,AG-649,20/09/2024,50000,5175,"55,175.00",0.27,18,69,248.29,4078.96,25,School fees,N,,Settled
LN-500040,CL-103471,SF-PTA,AG-616,2024-09-15,31000,4207.5,35207.5,0.25,24,69,158.43,2106.51,26,Home improvement,N,,Settled
LN-500041,CL-102608,SF-JHB,AG-603,2024-09-21,29500,4057.5,33557.5,0.27,12,69,151.01,3442.11,25,Home improvement,N,,Settled
LN-500042,CL-101995,SF-JHB,AG-601,2024-09-26,10000,2107.5,12107.5,0.27,36,69,54.48,617.78,26,Medical,N,,Active
LN-500043,CL-112389,SF-CPT,AG-639,2024-09-13,17500,2857.5,20357.5,0.27,36,69,91.61,991.71,6,Other,N,,Settled
LN-500044,CL-105076,SF-PTA,AG-618,13/09/2024,27500,3857.5,31357.5,0.26,12,69,141.11,3205.7,27,Medical,N,,Settled
LN-500045,CL-115901,SF-BFN,AG-650,2024-09-15,30500,4157.5,34657.5,0.25,18,69,155.96,2553.66,3,Vehicle repair,N,,Settled
LN-500046,CL-101268,SF-JHB,AG-608,2024-09-15,22000,3307.5,25307.5,0.26,24,69,113.88,1546.31,26,Funeral,N,,Settled
LN-500047,CL-105957,SF-PTA,AG-618,2024-09-19,11500,2257.5,13757.5,0.27,36,69,61.91,692.56,26,Vehicle repair,N,,Written off
LN-500048,CL-106528,SF-DBN,AG-621,2024-09-23,26500,3757.5,30257.5,0.27,12,69,136.16,3110.41,27,Other,N,,Settled
LN-500049,CL-109380,SF-PMB,AG-634,17/09/2024,37500,4857.5,42357.5,0.28,12,69,190.61,"4,347.36",6,Home improvement,N,,Settled
LN-500050,CL-116998,SF-PLK,AG-655,2024-09-16,23000,3407.5,26407.5,0.26,18,69,118.83,1975.19,8,Other,N,,Settled
LN-500051,CL-113871,SF-GQE,AG-645,10/09/2024,23500,3457.5,"26,957.50",0.25,12,69,121.31,2752.46,25,Debt consolidation,N,,SETTLED
LN-500052,CL-106464,SF-DBN,AG-621,16/09/2024,50000,5175,"55,175.00",0.25,18,69,248.29,4024.6,2,Home improvement,N,,Settled
LN-500053,CL-114687,SF-GQE,AG-643,2024-09-24,50000,5175,55175,0.26,36,69,248.29,"2,540.32",10,Home improvement,N,,Active
LN-500054,CL-112404,SF-CPT,AG-642,2024-09-18,32000,4307.5,36307.5,0.28,18,69,163.38,2725.72,27,School fees,N,,Settled
LN-500055,CL-112011,SF-CPT,AG-638,2024-09-20,17500,2857.5,20357.5,0.28,24,69,91.61,1278,25,Vehicle repair,N,,Written off
LN-500056,CL-103199,SF-JHB,AG-607,2024-09-26,44000,5175,49175,0.28,6,69,221.29,9168.31,4,Business,N,,Settled
LN-500057,CL-111989,SF-CPT,AG-641,20/09/2024,50000,5175,55175,0.27,18,69,248.29,4078.96,8,Vehicle repair,N,,Settled
LN-500058,CL-107473,SF-DBN,AG-624,27/09/2024,21500,3257.5,24757.5,0.26,18,69,111.41,1856.08,3,Funeral,N,,Settled
LN-500059,CL-112021,SF-CPT,AG-642,2024-09-05,50000,5175,55175,0.25,18,69,248.29,4024.6,3,Funeral,N,,Settled
LN-500060,CL-108340,SF-DBN,AG-628,2024-09-28,38000,4907.5,42907.5,0.27,24,69,193.08,2595.4,27,School fees,N,,Settled
LN-500061,CL-115265,SF-BFN,AG-649,15/09/2024,42000,5175,47175,0.26,24,69,212.29,2822.82,27,Home improvement,N,,Written off
LN-500062,CL-116243,SF-PLK,AG-655,2024-09-01,35000,4607.5,39607.5,0.26,24,69,178.23,2381.07,2,Business,N,,Settled
LN-500063,CL-100720,SF-JHB,AG-610,2024-09-08,6500,1757.5,8257.5,0.27,36,69,37.16,443.27,20,Medical,N,,Active
LN-500064,CL-104828,SF-PTA,AG-613,2024-09-21,38500,4957.5,43457.5,0.27,12,69,195.56,4437.23,28,Business,N,,Settled
LN-500065,CL-115284,SF-BFN,AG-649,2024-09-25,22500,3357.5,25857.5,0.27,12,69,116.36,2668.13,25,Other,N,,Settled
LN-500066,CL-108421,SF-DBN,AG-626,2024-09-18,15500,2657.5,18157.5,0.25,18,69,81.71,1370.74,27,Vehicle repair,N,,Settled
LN-500067,CL-100947,SF-JHB,AG-602,2024-09-01,19500,3057.5,22557.5,0.26,12,69,101.51,2325.43,26,Business,N,,SETTLED
LN-500068,CL-111383,SF-CPT,AG-641,2024-09-09,44000,5175,49175,0.27,24,69,221.29,2964.44,16,Medical,N,,Written off
LN-500069,CL-118700,SF-MAH,AG-661,2024-09-24,43000,5175,"48,175.00",0.27,24,69,216.79,2905.56,14,Business,N,,Settled
LN-500070,CL-116365,SF-PLK,AG-657,2024-09-08,35000,4607.5,39607.5,0.26,24,69,178.23,2381.07,26,Business,N,,Settled
LN-500071,CL-115628,SF-BFN,AG-652,2024-09-28,12500,2357.5,14857.5,0.25,18,69,66.86,1134.16,12,Medical,N,,Settled
LN-500072,CL-108739,SF-DBN,AG-626,2024-09-16,30500,4157.5,34657.5,0.27,18,69,155.96,2587.81,5,Medical,N,,Settled
LN-500073,CL-111718,SF-CPT,AG-635,2024-09-25,50000,5175,55175,0.26,18,69,248.29,4051.73,26,Home improvement,N,,Settled
LN-500074,CL-115338,SF-BFN,AG-650,2024-09-04,23000,3407.5,26407.5,0.26,18,69,118.83,1975.19,3,Home improvement,N,,Settled
LN-500075,CL-115768,SF-BFN,AG-650,2024-09-09,50000,5175,55175,0.26,18,69,248.29,4051.73,26,Debt consolidation,N,,Settled
LN-500076,CL-102330,SF-JHB,AG-609,2024-09-27,19500,3057.5,22557.5,0.28,24,69,101.51,1408.66,2,Home improvement,N,,Settled
LN-500077,CL-107160,SF-DBN,AG-623,23/09/2024,30000,4107.5,34107.5,0.27,12,69,153.48,3497.4,3,School fees,N,,settled
LN-500078,CL-112609,SF-CPT,AG-641,13/09/2024,50000,5175,55175,0.25,24,69,248.29,3262.06,26,School fees,N,,WRITTEN OFF
LN-500079,CL-109552,SF-PMB,AG-633,2024-09-03,30000,4107.5,34107.5,0.26,24,69,153.48,"2,060.01",26,Funeral,N,,SETTLED
LN-500080,CL-112575,SF-CPT,AG-642,2024-09-14,23500,3457.5,26957.5,0.26,12,69,121.31,2765.56,25,Funeral,N,,Settled
LN-500081,CL-114443,SF-GQE,AG-645,2024-09-04,11000,2207.5,13207.5,0.25,24,69,59.43,833.34,2,Home improvement,N,,Settled
LN-500082,CL-117295,SF-PLK,AG-654,2024-09-26,46000,5175,51175,0.26,18,69,230.29,3762.99,26,Funeral,N,,settled
LN-500083,CL-115308,SF-BFN,AG-653,2024-09-26,37500,4857.5,42357.5,0.27,36,69,190.61,1988.86,9,Funeral,N,,Settled
LN-500084,CL-117864,SF-MAH,AG-662,26/09/2024,37000,4807.5,41807.5,0.27,24,69,188.13,2530.64,4,Other,N,,Written off
LN-500085,CL-118871,SF-MAH,AG-662,2024-09-03,50000,5175,55175,0.28,18,69,248.29,4106.31,25,Other,N,,Settled
LN-500086,CL-106576,SF-DBN,AG-622,2024-09-14,30000,4107.5,34107.5,0.26,24,69,153.48,2060.01,2,Other,N,,Settled
LN-500087,CL-116676,SF-PLK,AG-656,2024-09-03,30500,4157.5,34657.5,0.27,24,69,155.96,2109.64,27,School fees,N,,Settled
LN-500088,CL-112704,SF-CPT,AG-636,13/09/2024,20000,3107.5,23107.5,0.27,36,69,103.98,1116.35,27,Vehicle repair,N,,Active
LN-500089,CL-115365,SF-BFN,AG-651,2024-09-09,7500,1857.5,9357.5,0.27,12,69,42.11,1009.59,25,Funeral,N,,Settled
LN-500090,CL-110071,SF-PMB,AG-634,2024-09-04,17000,2807.5,19807.5,0.28,24,69,89.13,1245.34,2,Funeral,N,,Settled
LN-500091,CL-110910,SF-CPT,AG-639,2024-09-06,13000,2407.5,15407.5,0.25,18,69,69.33,1173.59,7,Medical,N,,Settled
LN-500092,CL-114524,SF-GQE,AG-646,2024-09-27,17000,2807.5,19807.5,0.28,12,69,89.13,2069.68,25,Funeral,N,,Settled
LN-500093,CL-101532,SF-JHB,AG-611,18/09/2024,22000,3307.5,"25,307.50",0.28,12,69,113.88,2625.21,10,Business,N,,Settled
LN-500094,CL-102867,SF-JHB,AG-607,2024-09-06,33500,4457.5,37957.5,0.25,18,69,170.81,2790.24,2,Vehicle repair,N,,Settled
LN-500095,CL-101527,SF-JHB,AG-611,2024-09-18,50000,5175,55175,0.27,24,69,248.29,3317.72,4,Medical,N,,Settled
LN-500096,CL-115901,SF-BFN,AG-650,2024-09-08,50000,5175,55175,0.28,18,69,248.29,"4,106.31",3,Vehicle repair,N,,Settled
LN-500097,CL-102384,SF-JHB,AG-606,2024-09-05,16500,2757.5,19257.5,0.24,6,69,86.66,3593.62,3,Other,N,,SETTLED
LN-500098,CL-117151,SF-PLK,AG-656,2024-09-15,15000,2607.5,17607.5,0.26,6,69,79.23,3309.33,6,Other,N,,Settled
LN-500099,CL-107311,SF-DBN,AG-626,12/09/2024,44500,5175,49675,0.28,12,69,223.54,5086.47,14,Medical,N,,Settled
LN-500100,CL-116007,SF-BFN,AG-651,2024-09-10,37500,4857.5,42357.5,0.27,18,69,190.61,3147.42,25,Funeral,N,,Settled
LN-500101,CL-118094,SF-MAH,AG-659,2024-09-28,35000,4607.5,39607.5,0.28,18,69,178.23,2967.19,27,Business,N,,Settled
LN-500102,CL-110361,SF-PMB,AG-631,2024-09-06,50000,5175,55175,0.28,24,69,248.29,3345.76,9,Business,N,,Settled
LN-500103,CL-114981,SF-BFN,AG-653,2024-09-19,26000,3707.5,"29,707.50",0.28,18,69,133.68,2242.78,27,Debt consolidation,N,,Settled
LN-500104,CL-115915,SF-BFN,AG-649,2024-09-02,18000,2907.5,20907.5,0.25,6,69,94.08,3906.12,17,Debt consolidation,N,,Settled
LN-500105,CL-109208,SF-PMB,AG-633,16/09/2024,50000,5175,55175,0.26,6,69,248.29,10222.92,4,Home improvement,N,,Settled
LN-500106,CL-106575,SF-DBN,AG-624,06/09/2024,50000,5175,55175,0.24,36,69,248.29,2481.96,25,Vehicle repair,N,,Active
LN-500107,CL-115760,SF-BFN,AG-649,24/09/2024,37000,4807.5,41807.5,0.27,12,69,188.13,4271.38,26,Vehicle repair,N,,Settled
LN-500108,CL-113076,SF-GQE,AG-644,13/09/2024,16500,2757.5,19257.5,0.25,12,69,86.66,1985.97,10,Vehicle repair,N,,Settled
LN-500109,CL-113478,SF-GQE,AG-648,2024-09-09,21000,3207.5,24207.5,0.26,36,69,108.93,1153.27,27,Other,N,,Active
LN-500110,CL-111721,SF-CPT,AG-638,2024-09-27,9000,2007.5,11007.5,0.25,18,69,49.53,858.15,2,Home improvement,N,,Settled
LN-500111,CL-112231,SF-CPT,AG-638,19/09/2024,22000,3307.5,25307.5,0.25,36,69,113.88,1189.11,27,Debt consolidation,N,,Settled
LN-500112,CL-109137,SF-PMB,AG-633,24/09/2024,50000,5175,55175,0.28,18,69,248.29,4106.31,27,Vehicle repair,N,,Settled
LN-500113,CL-103295,SF-JHB,AG-603,2024-09-07,40000,5107.5,45107.5,0.25,12,69,202.98,4559.19,2,Vehicle repair,N,,Settled
LN-500114,CL-100953,SF-JHB,AG-610,2024-09-26,50000,5175,"55,175.00",0.27,6,69,248.29,10250.72,27,Funeral,N,,Settled
LN-500115,CL-116080,SF-BFN,AG-651,2024-09-09,36000,4707.5,40707.5,0.27,12,69,183.18,"4,160.81",27,Home improvement,N,,Settled
LN-500116,CL-103606,SF-PTA,AG-619,2024-09-22,45500,5175,50675,0.26,18,69,228.04,3726.9,27,Vehicle repair,N,,SETTLED
LN-500117,CL-100395,SF-JHB,AG-611,2024-09-06,27000,3807.5,30807.5,0.27,18,69,138.63,2308,27,Medical,N,,Settled
LN-500118,CL-101277,SF-JHB,AG-601,01/09/2024,41000,5175,46175,0.28,18,69,207.79,3447.76,26,School fees,N,,Settled
LN-500119,CL-118806,SF-MAH,AG-661,2024-09-26,13000,2407.5,15407.5,0.26,6,69,69.33,2904.46,25,Other,N,,Settled
LN-500120,CL-108889,SF-PMB,AG-632,2024-09-09,32000,4307.5,36307.5,0.27,18,69,163.38,2707.73,26,Other,N,,Settled
LN-500121,CL-117075,SF-PLK,AG-655,2024-09-24,50000,5175,55175,0.27,18,69,248.29,4078.96,27,Medical,N,,Settled
LN-500122,CL-102085,SF-JHB,AG-604,26/09/2024,17500,2857.5,20357.5,0.28,18,69,91.61,1558.62,26,Medical,N,,Settled
LN-500123,CL-116361,SF-PLK,AG-654,01/09/2024,15500,2657.5,18157.5,0.27,12,69,81.71,1894.14,3,School fees,N,,SETTLED
LN-500124,CL-109128,SF-PMB,AG-634,2024-09-07,44500,5175,"49,675.00",0.24,24,69,223.54,2918.91,25,Other,N,,Settled
LN-500125,CL-102734,SF-JHB,AG-604,15/09/2024,17000,2807.5,19807.5,0.28,24,69,89.13,1245.34,27,Other,N,,Settled
LN-500126,CL-117977,SF-MAH,AG-659,14/09/2024,19000,3007.5,22007.5,0.26,18,69,99.03,1657.58,27,Other,N,,SETTLED
LN-500127,CL-110637,SF-CPT,AG-642,10/09/2024,27000,3807.5,30807.5,0.26,24,69,138.63,1867.37,3,Other,N,,Settled
LN-500128,CL-114666,SF-GQE,AG-648,2024-09-08,37000,4807.5,41807.5,0.28,12,69,188.13,4291.81,25,Home improvement,N,,Settled
LN-500129,CL-105194,SF-PTA,AG-617,2024-09-23,37000,4807.5,41807.5,0.28,6,69,188.13,7805.03,4,School fees,N,,Settled
LN-500130,CL-103197,SF-JHB,AG-609,2024-09-09,50000,5175,55175,0.26,18,69,248.29,4051.73,27,Other,N,,Settled
LN-500131,CL-107764,SF-DBN,AG-627,11/09/2024,37500,4857.5,42357.5,0.25,12,69,190.61,4285.44,27,Vehicle repair,N,,Settled
LN-500132,CL-103532,SF-PTA,AG-613,2024-09-09,18500,2957.5,21457.5,0.26,6,69,96.56,4017.85,27,Funeral,N,,Settled
LN-500133,CL-108964,SF-PMB,AG-632,2024-09-22,50000,5175,55175,0.25,24,69,248.29,3262.06,27,Debt consolidation,N,,Written off
LN-500134,CL-109445,SF-PMB,AG-634,2024-09-25,13500,2457.5,15957.5,0.24,18,69,71.81,"1,205.21",4,School fees,N,,Settled
LN-500135,CL-106533,SF-DBN,AG-622,24/09/2024,27000,3807.5,30807.5,0.27,12,69,138.63,3165.69,7,Business,N,,Settled
LN-500136,CL-113140,SF-GQE,AG-644,2024-09-09,18500,2957.5,21457.5,0.27,12,69,96.56,2225.85,4,Home improvement,N,,SETTLED
LN-500137,CL-108118,SF-DBN,AG-629,2024-09-22,25500,3657.5,29157.5,0.27,6,69,131.21,5449.58,25,Business,N,,Settled
LN-500138,CL-109682,SF-PMB,AG-633,2024-09-20,26500,3757.5,30257.5,0.27,12,69,136.16,3110.41,27,Medical,N,,Settled
LN-500139,CL-100301,SF-JHB,AG-609,2024-09-22,40500,5157.5,45657.5,0.27,12,69,205.46,4658.37,3,Other,N,,settled
LN-500140,CL-104810,SF-PTA,AG-613,2024-09-26,27000,3807.5,30807.5,0.27,36,69,138.63,1465.36,27,School fees,N,,Written off
LN-500141,CL-114220,SF-GQE,AG-648,15/09/2024,50000,5175,55175,0.26,18,69,248.29,4051.73,27,Other,N,,settled
LN-500142,CL-107181,SF-DBN,AG-626,26/09/2024,50000,5175,55175,0.25,12,69,248.29,5561.35,5,Debt consolidation,N,,Settled
LN-500143,CL-114722,SF-BFN,AG-651,21/09/2024,16000,2707.5,18707.5,0.25,18,69,84.18,"1,410.17",25,School fees,N,,Settled
LN-500144,CL-106583,SF-DBN,AG-628,2024-09-01,18000,2907.5,20907.5,0.27,12,69,94.08,2170.57,27,Business,N,,Settled
LN-500145,CL-104253,SF-PTA,AG-619,13/09/2024,50000,5175,55175,0.26,18,69,248.29,4051.73,4,Debt consolidation,N,,Settled
LN-500146,CL-114546,SF-GQE,AG-644,2024-09-04,31500,4257.5,"35,757.50",0.26,12,69,160.91,3645.83,4,Business,N,,settled
LN-500147,CL-109904,SF-PMB,AG-632,2024-09-15,24000,3507.5,27507.5,0.27,12,69,123.78,2833.98,3,Funeral,N,,Settled
LN-500148,CL-105560,SF-PTA,AG-615,2024-09-01,50000,5175,55175,0.28,36,69,248.29,2599.52,3,Medical,N,,Active
LN-500149,CL-114602,SF-GQE,AG-644,2024-09-01,23000,3407.5,26407.5,0.26,12,69,118.83,2710.55,27,Other,N,,settled
LN-500150,CL-106349,SF-DBN,AG-627,2024-09-04,27500,3857.5,31357.5,0.25,24,69,141.11,1883.71,25,Debt consolidation,N,,Settled
LN-500151,CL-116685,SF-PLK,AG-655,2024-09-19,12000,2307.5,14307.5,0.24,12,69,64.38,1486.3,25,Medical,N,,Settled
LN-500152,CL-113189,SF-GQE,AG-644,2024-09-09,50000,5175,55175,0.28,24,69,248.29,3345.76,13,School fees,N,,SETTLED
LN-500153,CL-105695,SF-PTA,AG-620,12/09/2024,36000,4707.5,40707.5,0.27,24,69,183.18,2465.87,27,School fees,N,,Settled
LN-500154,CL-114669,SF-GQE,AG-644,2024-09-04,14000,2507.5,16507.5,0.25,6,69,74.28,"3,098.59",27,School fees,N,,Settled
LN-500155,CL-107054,SF-DBN,AG-625,2024-09-11,41000,5175,46175,0.26,12,69,207.79,4687.89,26,Medical,N,,Settled
LN-500156,CL-100520,SF-JHB,AG-608,2024-09-03,50000,5175,55175,0.28,12,69,248.29,5642.01,12,Funeral,N,,Settled
LN-500157,CL-101558,SF-JHB,AG-605,2024-09-10,35500,4657.5,40157.5,0.27,12,69,180.71,4105.53,25,Funeral,N,,Settled
LN-500158,CL-101743,SF-JHB,AG-611,2024-09-11,50000,5175,"55,175.00",0.25,12,69,248.29,5561.35,3,Medical,N,,Settled
LN-500159,CL-115482,SF-BFN,AG-651,18/09/2024,49000,5175,54175,0.28,18,69,243.79,4033.14,9,Other,N,,Settled
LN-500160,CL-100043,SF-JHB,AG-608,2024-09-02,23000,3407.5,26407.5,0.26,6,69,118.83,4928.81,25,Medical,N,,Settled
LN-500161,CL-114757,SF-BFN,AG-650,17/09/2024,17500,2857.5,20357.5,0.28,24,69,91.61,1278,4,Other,N,,Settled
LN-500162,CL-100064,SF-JHB,AG-603,07/09/2024,15500,2657.5,18157.5,0.27,24,69,81.71,1138.12,8,Debt consolidation,N,,Settled
LN-500163,CL-108230,SF-DBN,AG-623,13/09/2024,35500,4657.5,40157.5,0.27,12,69,180.71,4105.53,6,Home improvement,N,,SETTLED
LN-500164,CL-110653,SF-CPT,AG-641,14/09/2024,25000,3607.5,28607.5,0.26,12,69,128.73,2930.61,4,School fees,N,,Settled
LN-500165,CL-103512,SF-PTA,AG-613,2024-09-26,37000,4807.5,41807.5,0.26,24,69,188.13,2509.49,2,Funeral,N,,Settled
LN-500166,CL-108313,SF-DBN,AG-626,2024-09-18,22000,3307.5,"25,307.50",0.26,12,69,113.88,2600.51,4,Funeral,N,,Settled
LN-500167,CL-100549,SF-JHB,AG-611,2024-09-06,31000,4207.5,35207.5,0.27,12,69,158.43,3607.97,19,Funeral,N,,Written off
LN-500168,CL-115777,SF-BFN,AG-650,03/09/2024,23000,3407.5,26407.5,0.26,12,69,118.83,2710.55,13,Vehicle repair,N,,Settled
LN-500169,CL-101388,SF-JHB,AG-603,2024-09-20,29000,4007.5,33007.5,0.27,12,69,148.53,"3,386.83",7,Funeral,N,,Settled
LN-500170,CL-110208,SF-PMB,AG-632,2024-09-10,39500,5057.5,44557.5,0.28,36,69,200.51,2112.57,26,Other,N,,Active
LN-500171,CL-106938,SF-DBN,AG-629,06/09/2024,27500,3857.5,31357.5,0.27,12,69,141.11,3220.97,26,Funeral,N,,Settled
LN-500172,CL-103716,SF-PTA,AG-620,07/09/2024,8500,1957.5,10457.5,0.26,6,69,47.06,1993.51,25,Other,N,,Settled
LN-500173,CL-105419,SF-PTA,AG-613,2024-09-13,42500,5175,47675,0.26,18,69,214.54,3510.35,25,Other,N,,Settled
LN-500174,CL-107881,SF-DBN,AG-626,2024-09-18,19500,3057.5,22557.5,0.27,12,69,101.51,2336.42,25,School fees,N,,Settled
LN-500175,CL-101508,SF-JHB,AG-611,2024-09-11,33500,4457.5,"37,957.50",0.27,18,69,170.81,2827.64,27,Funeral,N,,Written off
LN-500176,CL-101994,SF-JHB,AG-609,2024-09-24,50000,5175,"55,175.00",0.25,12,69,248.29,5561.35,27,Home improvement,N,,Settled
LN-500177,CL-117672,SF-PLK,AG-658,2024-09-09,36500,4757.5,41257.5,0.25,12,69,185.66,4175.94,27,School fees,N,,Written off
LN-500178,CL-105577,SF-PTA,AG-619,2024-09-10,32500,4357.5,36857.5,0.27,24,69,165.86,2239.18,7,School fees,N,,Active
LN-500179,CL-108126,SF-DBN,AG-625,2024-09-22,14500,2557.5,17057.5,0.26,24,69,76.76,1064.72,27,Home improvement,N,,Settled
LN-500180,CL-112110,SF-CPT,AG-635,2024-09-13,12500,2357.5,14857.5,0.27,36,69,66.86,742.42,25,Debt consolidation,N,,Settled
LN-500181,CL-115659,SF-BFN,AG-651,07/09/2024,14000,2507.5,"16,507.50",0.28,24,69,74.28,1049.36,26,Home improvement,N,,Settled
LN-500182,CL-109349,SF-PMB,AG-633,2024-09-01,19500,3057.5,22557.5,0.28,6,69,101.51,4243.02,4,School fees,N,,Settled
LN-500183,CL-109698,SF-PMB,AG-632,2024-09-13,27500,3857.5,31357.5,0.28,12,69,141.11,3236.3,27,Debt consolidation,N,,settled
LN-500184,CL-119074,SF-MAH,AG-659,12/09/2024,25500,3657.5,29157.5,0.26,12,69,131.21,2985.63,11,Funeral,N,,settled
LN-500185,CL-110716,SF-CPT,AG-635,20/09/2024,50000,5175,55175,0.26,6,69,248.29,10222.92,13,Other,N,,Settled
