assessment_id,loan_id,assessed_at,assessor_agent_id,declared_gross_income_zar,declared_net_income_zar,declared_expenses_zar,existing_obligations_zar,regulated_expense_norm_zar,disposable_income_zar,disposable_after_instalment_zar
AF-700020,LN-500020,2024-09-24,AG-660,5550,5058,1515,1968,1536.01,1575,-439.12
AF-700021,LN-500021,2024-09-22,AG-623,9300,8488,1961,3063,1808.72,3464,295.58
AF-700022,LN-500022,2024-09-26,AG-640,8400,7040,1772,3306,1747.52,1962,646.22
AF-700023,LN-500023,2024-09-02,AG-649,15300,13136,2441,3802,2216.72,6893,5088.52
AF-700024,LN-500024,2024-09-27,AG-626,16150,14655,2242,5603,2274.52,6810,4765.13
AF-700025,LN-500025,2024-09-18,AG-617,14100,12811,2272,3689,2135.12,6850,4372.61
AF-700026,LN-500026,2024-09-25,AG-623,4200,3804,1330,1019,1431.38,1455,564.01
AF-700027,LN-500027,2024-09-15,AG-655,6350,5578,1602,2388,1608.12,1588,213.56
AF-700028,LN-500028,2024-09-08,AG-610,15200,13383,2357,2225,2209.92,8801,3712.15
AF-700029,LN-500029,2024-09-20,AG-644,30400,26878,3374,13759,3222.97,9745,5693.27
AF-700030,LN-500030,2024-09-06,AG-623,11100,9401,2023,5276,1931.12,2102,-621.41
AF-700031,LN-500031,2024-09-09,AG-658,9600,8028,1847,2876,1829.12,3305,1636.56
AF-700032,LN-500032,2024-09-06,AG-612,11900,9967,2034,2058,1985.52,5875,2138.73
AF-700033,LN-500033,2024-09-24,AG-649,7050,5806,1575,641,1655.72,3590,2965.71
AF-700034,LN-500034,2024-09-23,AG-624,7300,6015,1829,2147,1672.72,2039,802.62
AF-700035,LN-500035,2024-09-14,AG-634,11100,9974,1931,4240,1931.12,3803,1344.45
AF-700036,LN-500036,2024-09-13,AG-658,26150,21967,2701,8475,2929.3,10791,7528.94
AF-700037,LN-500037,2024-09-23,AG-617,10500,9051,1816,2349,1890.32,4886,2175.45
AF-700038,LN-500038,2024-09-02,AG-660,9650,8579,1700,1212,1832.52,5667,-1832.72
AF-700039,LN-500039,2024-09-20,AG-649,14750,12977,2246,4378,2179.32,6353,2274.04
AF-700040,LN-500040,2024-09-14,AG-616,8900,7471,1928,2480,1781.52,3063,956.49
AF-700041,LN-500041,2024-09-18,AG-603,8150,7362,1749,3331,1730.52,2282,-1160.11
AF-700042,LN-500042,2024-09-26,AG-601,6200,5616,1497,1281,1586.38,2838,2220.22
AF-700043,LN-500043,2024-09-13,AG-639,5600,4738,1561,0,1539.88,3177,2185.29
AF-700044,LN-500044,2024-09-10,AG-618,26750,22455,3255,3023,2970.76,16177,12971.3
AF-700045,LN-500045,2024-09-13,AG-650,25150,22518,2850,6973,2860.2,12695,10141.34
AF-700046,LN-500046,2024-09-12,AG-608,10200,8754,1947,2788,1869.92,4019,2472.69
AF-700047,LN-500047,2024-09-19,AG-618,11100,9306,1890,3244,1931.12,4172,3479.44
AF-700048,LN-500048,2024-09-22,AG-621,8800,7752,1706,1340,1774.72,4706,1595.59
AF-700049,LN-500049,2024-09-16,AG-634,10600,8866,1872,1979,1897.12,5015,667.64
AF-700050,LN-500050,2024-09-15,AG-655,10450,9597,1885,4032,1886.92,3680,1704.81
AF-700051,LN-500051,2024-09-08,AG-645,10850,9539,2100,2393,1914.12,5046,2293.54
AF-700052,LN-500052,2024-09-15,AG-621,13100,11905,2073,1090,2067.12,8742,4717.4
AF-700053,LN-500053,2024-09-21,AG-643,28300,24886,3223,5543,3077.86,16120,13579.68
AF-700054,LN-500054,2024-09-15,AG-642,15550,14086,2430,2876,2233.72,8780,6054.28
AF-700055,LN-500055,2024-09-18,AG-638,6300,5266,1640,2890,1604.72,736,-542
AF-700056,LN-500056,2024-09-26,AG-607,17750,15547,2604,2948,2383.32,9995,826.69
AF-700057,LN-500057,2024-09-17,AG-641,20150,16717,2426,4416,2546.52,"9,875.00",5796.04
AF-700058,LN-500058,2024-09-24,AG-624,12550,11542,2107,4230,2029.72,5205,3348.92
AF-700059,LN-500059,2024-09-05,AG-642,20150,17897,2627,3371,2546.52,11899,7874.4
AF-700060,LN-500060,2024-09-28,AG-628,12150,10032,1857,3155,2002.52,5020,2424.6
AF-700061,LN-500061,2024-09-13,AG-649,20850,18275,2839,7647,2594.12,7789,4966.18
AF-700062,LN-500062,2024-08-30,AG-655,16500,13701,2288,6327,2298.32,5086,2704.93
AF-700063,LN-500063,2024-09-05,AG-610,4200,3681,1380,802,1431.38,1499,1055.73
AF-700064,LN-500064,2024-09-19,AG-613,13950,12119,2275,3056,2124.92,6788,2350.77
AF-700065,LN-500065,2024-09-25,AG-649,6800,5797,1643,2045,1638.72,2109,-559.13
AF-700066,LN-500066,2024-09-16,AG-626,12500,11018,2216,87,2026.32,8715,7344.26
AF-700067,LN-500067,2024-08-29,AG-602,6400,5596,1774,1114,1611.52,"2,708.00",382.57
AF-700068,LN-500068,2024-09-09,AG-641,16850,14805,2515,5266,2322.12,7024,4059.56
AF-700069,LN-500069,2024-09-23,AG-661,16550,14984,2291,7118,2301.72,5575,2669.44
AF-700070,LN-500070,2024-09-06,AG-657,13150,12061,2023,4591,2070.52,5447,3065.93
AF-700071,LN-500071,2024-09-26,AG-652,10650,9719,2036,1704,1900.52,5979,4844.84
AF-700072,LN-500072,2024-09-15,AG-626,8200,6999,1823,2090,1733.92,3086,498.19
AF-700073,LN-500073,2024-09-24,AG-635,14000,12150,2072,4799,2128.32,5279,1227.27
AF-700074,LN-500074,2024-09-03,AG-650,9050,8062,1776,1210,1791.72,"5,076.00",3100.81
AF-700075,LN-500075,2024-09-09,AG-650,14050,11641,2201,2406,2131.72,7034,2982.27
AF-700076,LN-500076,2024-09-26,AG-609,6100,5148,1648,2902,1578.63,598,-810.66
AF-700077,LN-500077,2024-09-22,AG-623,16050,13240,2248,2073,2267.72,8919,5421.6
AF-700078,LN-500078,2024-09-13,AG-641,14700,13261,2291,2159,2175.92,8811,5548.94
AF-700079,LN-500079,2024-08-31,AG-633,14950,13385,2369,3753,2192.92,7263,5202.99
AF-700080,LN-500080,2024-09-11,AG-642,5900,5328,1678,1886,1563.13,1764,-1001.56
AF-700081,LN-500081,2024-09-01,AG-645,5100,4427,1675,2496,1501.13,256,-577.34
AF-700082,LN-500082,2024-09-25,AG-654,12050,10142,1844,4063,1995.72,4235,472.01
AF-700083,LN-500083,2024-09-23,AG-653,14700,13390,2427,6026,2175.92,4937,2948.14
AF-700084,LN-500084,2024-09-23,AG-662,17450,15712,2310,5500,2362.92,7902,5371.36
AF-700085,LN-500085,2024-09-01,AG-662,20950,18308,2745,2714,2600.92,12849,8742.69
AF-700086,LN-500086,2024-09-12,AG-622,12800,11589,2060,6502,2046.72,3027,966.99
AF-700087,LN-500087,2024-09-01,AG-656,11250,9502,2123,4472,1941.32,2907,797.36
AF-700088,LN-500088,2024-09-11,AG-636,8000,7277,1764,4090,1720.32,1423,306.65
AF-700089,LN-500089,2024-09-09,AG-651,6850,5990,1665,239,1642.12,4086,3076.41
AF-700090,LN-500090,2024-09-04,AG-634,5250,4793,1543,2809,1512.76,441,-804.34
AF-700091,LN-500091,2024-09-05,AG-639,12500,10819,2033,956,2026.32,7830,6656.41
AF-700092,LN-500092,2024-09-24,AG-646,10050,8365,2048,2579,1859.72,3738,1668.32
AF-700093,LN-500093,2024-09-15,AG-611,7900,7205,1734,3499,1713.52,1972,-653.21
AF-700094,LN-500094,2024-09-05,AG-607,10550,9529,2027,4120,1893.72,3382,591.76
AF-700095,LN-500095,2024-09-15,AG-611,13300,12224,2284,4655,2080.72,5285,1967.28
AF-700096,LN-500096,2024-09-06,AG-650,25150,21874,3020,3726,2860.2,15128,11021.69
AF-700097,LN-500097,2024-09-03,AG-606,12700,11005,2001,2751,2039.92,6253,2659.38
AF-700098,LN-500098,2024-09-13,AG-656,8100,7257,1601,4221,1727.12,1435,-1874.33
AF-700099,LN-500099,2024-09-10,AG-626,16750,15239,2365,2295,2315.32,10579,5492.53
AF-700100,LN-500100,2024-09-08,AG-651,9000,7867,1812,4021,1788.32,2034,-1113.42
AF-700101,LN-500101,2024-09-27,AG-659,11450,10105,2130,4404,1954.92,3571,603.81
AF-700102,LN-500102,2024-09-05,AG-631,49250,41543,4725,22059,4525.51,"14,759.00",11413.24
AF-700103,LN-500103,2024-09-19,AG-653,8450,6998,1707,943,1750.92,4348,2105.22
AF-700104,LN-500104,2024-09-01,AG-649,9900,9076,1990,2865,1849.52,4221,314.88
AF-700105,LN-500105,2024-09-14,AG-633,34900,28888,3901,0,3533.92,24987,14764.08
AF-700106,LN-500106,2024-09-04,AG-624,30350,25663,3231,4279,3219.52,18153,15671.04
AF-700107,LN-500107,2024-09-22,AG-649,13200,11182,2046,3794,2073.92,5342,1070.62
AF-700108,LN-500108,2024-09-11,AG-644,5550,5054,1459,1444,1536.01,2151,165.03
AF-700109,LN-500109,2024-09-09,AG-648,5650,4685,1539,1677,1543.76,1469,315.73
AF-700110,LN-500110,2024-09-25,AG-638,8700,7477,1834,3400,1767.92,2243,1384.85
AF-700111,LN-500111,2024-09-19,AG-638,10100,8597,1901,4765,1863.12,1931,741.89
AF-700112,LN-500112,2024-09-23,AG-633,17950,15451,2323,8539,2396.92,4589,482.69
AF-700113,LN-500113,2024-09-05,AG-603,10100,8531,2017,2628,1863.12,3886,-673.19
AF-700114,LN-500114,2024-09-23,AG-610,26050,23744,3129,2819,2922.39,17796,7545.28
AF-700115,LN-500115,2024-09-09,AG-651,10850,9268,1838,2572,1914.12,"4,858.00",697.19
AF-700116,LN-500116,2024-09-21,AG-619,13300,11576,2044,5530,2080.72,4002,275.1
AF-700117,LN-500117,2024-09-04,AG-611,14150,11701,2225,6408,2138.52,3068,760
AF-700118,LN-500118,2024-08-30,AG-601,11000,10070,1936,3632,1924.32,4502,1054.24
AF-700119,LN-500119,2024-09-26,AG-661,9500,8550,1872,1680,1822.32,4998,2093.54
AF-700120,LN-500120,2024-09-08,AG-632,8000,6816,1685,1435,1720.32,3696,988.27
AF-700121,LN-500121,2024-09-22,AG-655,13250,11479,2121,5046,2077.32,4312,233.04
AF-700122,LN-500122,2024-09-25,AG-604,17400,15432,2382,7960,2359.52,5090,3531.38
AF-700123,LN-500123,2024-09-01,AG-654,6150,5503,1472,1950,1582.51,2081,186.86
AF-700124,LN-500124,2024-09-04,AG-634,12200,10240,2184,1554,2005.92,6502,3583.09
AF-700125,LN-500125,2024-09-13,AG-604,7250,6501,1536,2756,1669.32,2209,963.66
AF-700126,LN-500126,2024-09-12,AG-659,5900,5424,1518,2114,1563.13,"1,792.00",134.42
AF-700127,LN-500127,2024-09-09,AG-642,18150,16354,2662,5857,2410.52,7835,5967.63
AF-700128,LN-500128,2024-09-07,AG-648,9650,8019,1804,1688,1832.52,4527,235.19
AF-700129,LN-500129,2024-09-23,AG-617,9850,8845,1870,5756,1846.12,1219,-6586.03
AF-700130,LN-500130,2024-09-06,AG-609,18350,15599,2440,0,2424.12,13159,9107.27
AF-700131,LN-500131,2024-09-09,AG-627,22550,18861,2957,7971,2709.72,7933,3647.56
AF-700132,LN-500132,2024-09-07,AG-613,14250,11945,2071,4597,2145.32,5277,1259.15
AF-700133,LN-500133,2024-09-19,AG-632,15150,12764,2334,5519,2206.52,4911,1648.94
AF-700134,LN-500134,2024-09-25,AG-634,12900,11135,2087,4179,2053.52,4869,3663.79
AF-700135,LN-500135,2024-09-24,AG-622,13150,11240,2091,5906,2070.52,3243,77.31
AF-700136,LN-500136,2024-09-08,AG-644,14200,12365,2137,2887,2141.92,7341,5115.15
AF-700137,LN-500137,2024-09-22,AG-629,12250,10530,2243,1824,2009.32,6463,1013.42
AF-700138,LN-500138,2024-09-20,AG-633,19500,17055,2390,8592,2502.32,6073,2962.59
AF-700139,LN-500139,2024-09-19,AG-609,12250,10060,2024,6180,2009.32,1856,-2802.37
AF-700140,LN-500140,2024-09-26,AG-613,10250,9033,1797,6191,1873.32,1045,-420.36
AF-700141,LN-500141,2024-09-15,AG-648,27700,23669,3294,5778,3036.4,14597,10545.27
AF-700142,LN-500142,2024-09-24,AG-626,28700,24352,3226,4087,3105.5,17039,11477.65
AF-700143,LN-500143,2024-09-21,AG-651,10600,9445,1973,4574,1897.12,2898,1487.83
AF-700144,LN-500144,2024-08-30,AG-628,10450,8760,2053,367,1886.92,6340,4169.43
AF-700145,LN-500145,2024-09-10,AG-619,17650,16028,2387,5951,2376.52,7690,3638.27
AF-700146,LN-500146,2024-09-02,AG-644,10000,8209,1991,2116,1856.32,4102,456.17
AF-700147,LN-500147,2024-09-13,AG-632,19450,16619,2544,6405,2498.92,7670,4836.02
AF-700148,LN-500148,2024-08-29,AG-615,24150,21267,2615,11188,2818.52,7464,4864.48
AF-700149,LN-500149,2024-09-01,AG-644,6650,5659,1776,2502,1628.52,1381,-1329.55
AF-700150,LN-500150,2024-09-04,AG-627,11650,10326,1861,336,1968.52,8129,6245.29
AF-700151,LN-500151,2024-09-18,AG-655,6100,5580,1539,2690,1578.63,1351,-135.3
AF-700152,LN-500152,2024-09-06,AG-644,21550,19136,2685,2481,2641.72,13970,10624.24
AF-700153,LN-500153,2024-09-09,AG-620,19100,17567,2723,2799,2475.12,"12,045.00",9579.13
AF-700154,LN-500154,2024-09-04,AG-644,11050,10004,1833,0,1927.72,8171,5072.41
AF-700155,LN-500155,2024-09-11,AG-625,14500,12379,2281,3679,2162.32,"6,419.00",1731.11
AF-700156,LN-500156,2024-09-02,AG-608,30300,27367,3264,8429,3216.06,15674,10031.99
AF-700157,LN-500157,2024-09-08,AG-605,11700,10716,2170,2098,1971.92,6448,2342.47
AF-700158,LN-500158,2024-09-09,AG-611,21900,19733,2849,6917,2665.52,"9,967.00",4405.65
AF-700159,LN-500159,2024-09-15,AG-651,20550,17263,2515,5195,2573.72,9553,5519.86
AF-700160,LN-500160,2024-09-02,AG-608,5550,5088,1427,2242,1536.01,1419,-3509.81
AF-700161,LN-500161,2024-09-15,AG-650,15050,12670,2061,1643,2199.72,8966,7688
AF-700162,LN-500162,2024-09-05,AG-603,8450,7680,1949,1602,1750.92,4129,2990.88
AF-700163,LN-500163,2024-09-13,AG-623,16550,15031,2134,6779,2301.72,6118,2012.47
AF-700164,LN-500164,2024-09-14,AG-641,12150,10473,2121,4334,2002.52,4018,1087.39
AF-700165,LN-500165,2024-09-23,AG-613,11650,10701,1997,1062,1968.52,7642,5132.51
AF-700166,LN-500166,2024-09-16,AG-626,10750,9649,1919,3919,1907.32,3811,1210.49
AF-700167,LN-500167,2024-09-03,AG-611,10700,9817,1783,1736,1903.92,"6,298.00",2690.03
AF-700168,LN-500168,2024-09-01,AG-650,13550,11738,2006,3968,2097.72,5764,3053.45
AF-700169,LN-500169,2024-09-19,AG-603,11350,9781,2073,1461,1948.12,6247,2860.17
AF-700170,LN-500170,2024-09-09,AG-632,12800,10931,2152,4847,2046.72,3932,1819.43
AF-700171,LN-500171,2024-09-04,AG-629,11150,9264,2028,1930,1934.52,5306,2085.03
AF-700172,LN-500172,2024-09-04,AG-620,6400,5286,1740,0,1611.52,3546,1552.49
AF-700173,LN-500173,2024-09-10,AG-613,11000,9052,2086,3564,1924.32,3402,-108.35
AF-700174,LN-500174,2024-09-15,AG-626,8350,6883,1879,2321,1744.12,"2,683.00",346.58
AF-700175,LN-500175,2024-09-11,AG-611,10300,9074,1893,6426,1876.72,755,-2072.64
AF-700176,LN-500176,2024-09-24,AG-609,44600,40857,4141,21975,4204.19,14741,9179.65
AF-700177,LN-500177,2024-09-07,AG-658,15550,14289,2350,2276,2233.72,9663,5487.06
AF-700178,LN-500178,2024-09-07,AG-619,21850,18136,2572,4378,2662.12,11186,8946.82
AF-700179,LN-500179,2024-09-22,AG-625,8900,7791,1994,2360,1781.52,3437,2372.28
AF-700180,LN-500180,2024-09-11,AG-635,5400,4854,1628,1327,1524.38,"1,899.00",1156.58
AF-700181,LN-500181,2024-09-05,AG-651,11600,9714,1907,4943,1965.12,2864,1814.64
AF-700182,LN-500182,2024-08-29,AG-633,8400,7518,1792,1814,1747.52,3912,-331.02
AF-700183,LN-500183,2024-09-11,AG-632,7150,6137,1583,624,1662.52,3930,693.7
AF-700184,LN-500184,2024-09-10,AG-659,9800,8833,1742,1026,1842.72,6065,3079.37
AF-700185,LN-500185,2024-09-20,AG-635,25400,21930,2945,12905,2877.47,6080,-4142.92
AF-700186,LN-500186,2024-09-09,AG-629,18350,15090,2596,7594,2424.12,4900,2330.34
AF-700187,LN-500187,2024-09-03,AG-619,17150,15659,2472,2438,2342.52,10749,8859.85
AF-700188,LN-500188,2024-09-13,AG-618,4200,3713,1449,1610,1431.38,654,163.56
AF-700189,LN-500189,2024-09-08,AG-624,4200,3761,1574,1232,1431.38,955,-1557.91
AF-700190,LN-500190,2024-09-04,AG-653,17800,15637,2586,4530,2386.72,8521,7121.38
AF-700191,LN-500191,2024-09-06,AG-604,9500,8139,1734,404,1822.32,6001,3248.54
AF-700192,LN-500192,2024-09-03,AG-634,16150,14747,2209,7227,2274.52,5311,3575.71
AF-700193,LN-500193,2024-09-20,AG-624,14250,13024,2309,6565,2145.32,4150,71.04
AF-700194,LN-500194,2024-09-16,AG-615,10600,9380,1777,4137,1897.12,3466,2048.11
AF-700195,LN-500195,2024-09-14,AG-617,11950,10465,2190,4029,1988.92,4246,-1189.55
AF-700196,LN-500196,2024-09-02,AG-617,8750,7299,1743,0,1771.32,5556,4041.86
AF-700197,LN-500197,2024-09-10,AG-615,15700,14113,2469,6234,2243.92,5410,3620.57
AF-700198,LN-500198,2024-09-09,AG-611,7050,6374,1740,1872,1655.72,2762,25.68
AF-700199,LN-500199,2024-09-01,AG-610,5400,4470,1423,2789,1524.38,258,-384.36
AF-700200,LN-500200,2024-09-14,AG-649,6250,5476,1560,4000,1590.26,-84,-1360.9
AF-700201,LN-500201,2024-09-10,AG-610,15000,12852,2387,4303,2196.32,6162,-4060.92
AF-700202,LN-500202,2024-09-15,AG-634,13050,11873,2210,4055,2063.72,5608,319.93
AF-700203,LN-500203,2024-09-02,AG-618,10950,9870,1863,935,1920.92,7072,4023.18
AF-700204,LN-500204,2024-09-15,AG-657,16000,13724,2138,5014,2264.32,"6,572.00",4002.18
AF-700205,LN-500205,2024-09-15,AG-618,11700,10561,1885,5918,1971.92,2758,-62.58
AF-700206,LN-500206,2024-09-03,AG-613,23650,21389,2653,3898,2784.52,14838,10731.69
AF-700207,LN-500207,2024-09-04,AG-644,9900,8729,1949,2817,1849.52,3963,3123.02
AF-700208,LN-500208,2024-09-01,AG-642,18150,15054,2275,4974,2410.52,7805,3780.4
AF-700209,LN-500209,2024-09-17,AG-637,21550,18250,2685,11454,2641.72,4111,1665.72
AF-700210,LN-500210,2024-09-02,AG-632,12900,10627,2141,2160,2053.52,"6,326.00",3008.28
AF-700211,LN-500211,2024-09-17,AG-604,8950,7654,1936,3169,1784.92,2549,1163.22
AF-700212,LN-500212,2024-09-12,AG-635,11700,10694,1842,4069,1971.92,4783,2189.91
AF-700213,LN-500213,2024-09-05,AG-605,10000,8426,1975,3498,1856.32,2953,-1616.57
AF-700214,LN-500214,2024-09-15,AG-605,11000,9461,1856,219,1924.32,7386,5775.47
AF-700215,LN-500215,2024-09-07,AG-657,12450,11135,2132,4573,2022.92,4430,1693.68
AF-700216,LN-500216,2024-09-06,AG-611,20850,19151,2857,5012,2594.12,"11,282.00",7175.69
AF-700217,LN-500217,2024-09-08,AG-657,30100,25303,3159,7729,3202.24,14415,12255.08
AF-700218,LN-500218,2024-09-16,AG-606,8500,7104,1862,2641,1754.32,2601,-1357.49
AF-700219,LN-500219,2024-09-03,AG-633,10250,8458,1742,2221,1873.32,"4,495.00",3687.12
AF-700220,LN-500220,2024-09-19,AG-606,7500,6788,1816,1014,1686.32,3958,-1999.05
AF-700221,LN-500221,2024-08-31,AG-625,13100,11021,2218,4329,2067.12,4474,-1141.05
AF-700222,LN-500222,2024-09-23,AG-635,7450,6659,1795,3770,1682.92,1094,-1373.89
AF-700223,LN-500223,2024-09-12,AG-606,10500,9373,2040,3610,1890.32,3723,1718.29
AF-700224,LN-500224,2024-09-24,AG-656,27550,23783,3120,4805,3026.04,15858,11833.4
AF-700225,LN-500225,2024-09-20,AG-630,11950,10984,2082,3230,1988.92,5672,984.11
AF-700226,LN-500226,2024-09-10,AG-642,18650,16663,2260,6117,2444.52,8286,2670.95
AF-700227,LN-500227,2024-09-05,AG-626,8450,6970,1704,4151,1750.92,1115,-1663.7
AF-700228,LN-500228,2024-09-23,AG-632,7950,6857,1849,767,1716.92,4241,1970.59
AF-700229,LN-500229,2024-08-30,AG-619,11400,10273,2100,1505,1951.52,6668,3965.97
AF-700230,LN-500230,2024-08-31,AG-629,15950,13422,2491,5128,2260.92,5803,2872.39
AF-700231,LN-500231,2024-09-27,AG-629,17050,14779,2344,839,2335.72,11596,7544.27
AF-700232,LN-500232,2024-09-04,AG-661,26300,22364,3249,6883,2939.66,12232,8125.69
AF-700233,LN-500233,2024-09-14,AG-659,12850,11282,1996,4046,2050.12,5240,3199.88
AF-700234,LN-500234,2024-09-12,AG-652,6200,5607,1582,2220,1586.38,1805,4.49
AF-700235,LN-500235,2024-09-25,AG-658,24800,21965,3109,0,2862.72,18856,16256.48
AF-700236,LN-500236,2024-09-10,AG-626,16300,14990,2340,2707,2284.72,9943,8557.22
AF-700237,LN-500237,2024-09-18,AG-653,35850,30086,3663,15749,3599.56,10674,5031.99
AF-700238,LN-500238,2024-09-15,AG-601,8650,7177,1668,2433,1764.52,3076,873.46
AF-700239,LN-500239,2024-09-12,AG-622,16450,14395,2327,2549,2294.92,9519,5440.04
AF-700240,LN-500240,2024-09-17,AG-642,10650,9431,2034,1156,1900.52,6241,1769.92
AF-700241,LN-500241,2024-09-01,AG-621,19250,16424,2378,6665,2485.32,"7,381.00",4063.28
AF-700242,LN-500242,2024-09-10,AG-643,22150,18673,2664,11132,2682.52,4877,770.69
AF-700243,LN-500243,2024-09-09,AG-661,19700,17476,2625,4092,2515.92,10759,5143.95
AF-700244,LN-500244,2024-09-21,AG-645,6700,5942,1740,2243,1631.92,1959,970.09
AF-700245,LN-500245,2024-09-05,AG-630,7100,5964,1792,1436,1659.12,2736,178.44
AF-700246,LN-500246,2024-09-16,AG-617,12000,10330,2145,1748,1992.32,"6,437.00",4794.37
AF-700247,LN-500247,2024-09-09,AG-645,9800,9000,2057,3322,1842.72,3621,1955.77
AF-700248,LN-500248,2024-09-08,AG-607,6850,6219,1512,1083,1642.12,"3,624.00",2914.16
AF-700249,LN-500249,2024-09-13,AG-613,9300,8361,1756,2798,1808.72,3807,2237.3
AF-700250,LN-500250,2024-09-18,AG-662,26300,22158,2748,4140,2939.66,15270,11952.28
AF-700251,LN-500251,2024-09-18,AG-661,10950,9434,1975,8,1920.92,7451,3860.19
AF-700252,LN-500252,2024-09-04,AG-659,9650,8464,2047,2262,1832.52,4155,2371.42
AF-700253,LN-500253,2024-09-26,AG-622,11550,9649,1972,2240,1961.72,5437,-317.06
AF-700254,LN-500254,2024-09-24,AG-606,22750,20750,2542,7794,2723.32,10414,4771.99
AF-700255,LN-500255,2024-09-03,AG-617,12800,11132,2278,2197,2046.72,6657,2385.62
AF-700256,LN-500256,2024-09-11,AG-620,5050,4373,1648,2132,1497.26,593,-580.59
AF-700257,LN-500257,2024-09-23,AG-618,6500,5600,1762,1585,1618.32,2253,1764.87
AF-700258,LN-500258,2024-08-31,AG-622,11050,9258,1885,4482,1927.72,2891,509.93
AF-700259,LN-500259,2024-09-21,AG-652,10250,8679,1881,1943,1873.32,4855,1998.04
AF-700260,LN-500260,2024-09-08,AG-608,10950,9514,2142,7008,1920.92,364,-1824.09
AF-700261,LN-500261,2024-09-22,AG-621,21350,19098,2757,10653,2628.12,5688,1878.48
AF-700262,LN-500262,2024-09-02,AG-602,14500,12239,2020,4403,2162.32,"5,816.00",4176.89
AF-700263,LN-500263,2024-09-27,AG-662,15750,14327,2110,7570,2247.32,4647,-5631.54
AF-700264,LN-500264,2024-09-18,AG-605,5250,4431,1590,1911,1512.76,930,174.62
AF-700265,LN-500265,2024-09-03,AG-637,16450,14421,2448,3636,2294.92,8337,6132.03
AF-700266,LN-500266,2024-09-07,AG-647,9950,8200,2007,5043,1852.92,1150,-1890.65
AF-700267,LN-500267,2024-09-19,AG-631,9950,8513,1805,4222,1852.92,2486,1628.35
AF-700268,LN-500268,2024-09-15,AG-612,18450,15959,2721,6133,2430.92,7105,4455.12
AF-700269,LN-500269,2024-09-21,AG-658,16100,14710,2375,9249,2271.12,3086,-965.73
AF-700270,LN-500270,2024-09-04,AG-631,8150,6740,1676,3096,1730.52,1968,-4293.53
AF-700271,LN-500271,2024-09-25,AG-608,8450,7715,1951,2932,1750.92,2832,1886.32
AF-700272,LN-500272,2024-09-22,AG-615,11750,10413,1874,7520,1975.32,"1,019.00",-2773.7
AF-700273,LN-500273,2024-09-03,AG-627,10100,8996,1957,3032,1863.12,4007,2186.95
AF-700274,LN-500274,2024-09-11,AG-615,10750,9872,1871,2663,1907.32,5338,3709.53
AF-700275,LN-500275,2024-08-29,AG-613,11800,10147,1966,1022,1978.72,7159,4786.8
AF-700276,LN-500276,2024-09-26,AG-605,6050,5106,1758,2127,1574.76,1221,476.54
AF-700277,LN-500277,2024-09-21,AG-642,11150,10237,1807,602,1934.52,7828,2175.43
AF-700278,LN-500278,2024-09-01,AG-619,5800,5035,1615,1642,1555.38,1778,263.79
AF-700279,LN-500279,2024-09-15,AG-606,17150,15778,2558,5086,2342.52,8134,-1589.43
AF-700280,LN-500280,2024-09-24,AG-618,15800,13522,2398,4545,2250.72,6579,2863.42
AF-700281,LN-500281,2024-09-27,AG-647,11650,10201,1882,3152,1968.52,5167,-4227.78
