activity_id,loan_id,activity_date,channel,outcome,cost_zar,arrears_bucket_at_time
CA-800205,LN-500219,2025-02-18,Call,Left message,27.93,1-30
CA-800206,LN-500233,2025-02-16,Call,Left message,28.52,1-30
CA-800207,LN-500234,2025-02-14,SMS,Number unobtainable,1.39,1-30
CA-800208,LN-500235,2025-02-04,SMS,Paid in full,1.14,1-30
CA-800209,LN-500307,2025-02-06,SMS,Left message,1.31,1-30
CA-800210,LN-500308,2025-02-24,Call,Left message,32.44,31-60
CA-800211,LN-500324,2025-02-22,SMS,Number unobtainable,1.15,1-30
CA-800212,LN-500331,2025-02-12,Call,No answer,29.98,1-30
CA-800213,LN-500355,2025-02-18,Call,Paid in full,28.95,1-30
CA-800214,LN-500358,2025-02-12,Call,Refused,28.99,1-30
CA-800215,LN-500363,2025-02-24,Letter,Number unobtainable,46.58,90+
CA-800216,LN-500363,2025-02-14,Field,Number unobtainable,317.17,90+
CA-800217,LN-500363,2025-02-28,Call,Partial payment,30.19,90+
CA-800218,LN-500363,2025-02-16,Call,Left message,27.69,90+
CA-800219,LN-500363,2025-02-25,Call,Partial payment,26.6,90+
CA-800220,LN-500384,2025-02-22,SMS,No answer,1.1,31-60
CA-800221,LN-500409,2025-02-19,Field,No answer,318.64,61-90
CA-800222,LN-500414,2025-02-23,Call,No answer,30.14,61-90
CA-800223,LN-500414,2025-02-19,Field,No answer,291.05,61-90
CA-800224,LN-500414,2025-02-03,Field,Number unobtainable,289.38,61-90
CA-800225,LN-500416,2025-02-26,Field,Left message,298.52,61-90
CA-800226,LN-500421,2025-02-07,Call,Refused,26.22,61-90
CA-800227,LN-500427,2025-02-05,Call,Left message,29.02,61-90
CA-800228,LN-500427,2025-02-23,Field,No answer,364.66,61-90
CA-800229,LN-500436,2025-02-05,Call,Left message,25.2,31-60
CA-800230,LN-500456,2025-02-20,SMS,Refused,1.32,1-30
CA-800231,LN-500496,2025-02-10,Call,Partial payment,28.06,90+
CA-800232,LN-500496,2025-02-06,Call,No answer,27.16,90+
CA-800233,LN-500496,2025-02-03,Letter,Refused,44.87,90+
CA-800234,LN-500497,2025-02-17,SMS,No answer,1.25,1-30
CA-800235,LN-500552,2025-02-10,SMS,Left message,1.18,31-60
CA-800236,LN-500559,2025-02-20,SMS,Left message,1.24,31-60
CA-800237,LN-500607,2025-02-08,SMS,Refused,1.16,31-60
CA-800238,LN-500607,2025-02-26,SMS,Refused,1.18,31-60
CA-800239,LN-500627,2025-02-10,Call,Left message,28.67,31-60
CA-800240,LN-500627,2025-02-23,SMS,Refused,1.17,31-60
CA-800241,LN-500649,2025-02-27,SMS,No answer,1.18,1-30
CA-800242,LN-500653,2025-02-19,SMS,Refused,1.04,31-60
CA-800243,LN-500693,2025-02-05,Call,Left message,26.88,1-30
CA-800244,LN-500710,2025-02-18,Call,No answer,25.78,90+
CA-800245,LN-500710,2025-02-03,Letter,Number unobtainable,53.04,90+
CA-800246,LN-500710,2025-02-09,Letter,Refused,45.86,90+
CA-800247,LN-500710,2025-02-10,Letter,Number unobtainable,46.45,90+
CA-800248,LN-500724,2025-02-14,Letter,Number unobtainable,43.52,61-90
CA-800249,LN-500724,2025-02-25,Call,Refused,25.89,61-90
CA-800250,LN-500724,2025-02-12,Call,Partial payment,26.26,61-90
CA-800251,LN-500726,2025-02-28,SMS,Refused,1.19,31-60
CA-800252,LN-500726,2025-02-22,Call,No answer,27.26,31-60
CA-800253,LN-500727,2025-02-28,Field,Left message,298.15,61-90
CA-800254,LN-500727,2025-02-16,Field,No answer,312.72,61-90
CA-800255,LN-500732,2025-02-16,Call,No answer,29.59,1-30
CA-800256,LN-500737,2025-02-14,Field,Number unobtainable,321.04,61-90
CA-800257,LN-500737,2025-02-14,Call,Left message,26.42,61-90
CA-800258,LN-500739,2025-02-26,SMS,Refused,1.07,1-30
CA-800259,LN-500764,2025-02-27,Call,Left message,30.27,90+
CA-800260,LN-500764,2025-02-21,Call,Promise to pay,30.99,90+
CA-800261,LN-500764,2025-02-08,Call,Number unobtainable,28.09,90+
CA-800262,LN-500798,2025-02-06,SMS,Refused,1.1,31-60
CA-800263,LN-500798,2025-02-27,SMS,Partial payment,1.17,31-60
CA-800264,LN-500807,2025-02-15,SMS,Number unobtainable,1.35,31-60
CA-800265,LN-500829,2025-02-22,Call,Number unobtainable,28.25,1-30
CA-800266,LN-500848,2025-02-21,Letter,Promise to pay,47.44,61-90
CA-800267,LN-500848,2025-02-26,Letter,Number unobtainable,53.98,61-90
CA-800268,LN-500859,2025-02-23,SMS,Number unobtainable,1.34,1-30
CA-800269,LN-500860,2025-02-12,Call,No answer,25.68,1-30
CA-800270,LN-500865,2025-02-04,SMS,Number unobtainable,1.28,31-60
CA-800271,LN-500884,2025-02-24,SMS,Number unobtainable,1.29,31-60
CA-800272,LN-500889,2025-02-20,SMS,No answer,1.22,31-60
CA-800273,LN-500889,2025-02-15,Call,Number unobtainable,27.14,31-60
CA-800274,LN-500891,2025-02-18,Letter,Refused,45.17,61-90
CA-800275,LN-500897,2025-02-24,SMS,Left message,1.14,1-30
CA-800276,LN-500898,2025-02-09,SMS,Left message,1.2,31-60
CA-800277,LN-500915,2025-02-12,Letter,Number unobtainable,38.44,61-90
CA-800278,LN-500915,2025-02-16,Call,Left message,25.24,61-90
CA-800279,LN-500915,2025-02-04,Call,Number unobtainable,26.27,61-90
CA-800280,LN-500934,2025-02-12,Call,No answer,30.87,61-90
CA-800281,LN-500952,2025-02-11,SMS,Left message,1.18,31-60
CA-800282,LN-500952,2025-02-25,SMS,Number unobtainable,1.23,31-60
CA-800283,LN-500959,2025-02-07,Call,Promise to pay,26.14,61-90
CA-800284,LN-500959,2025-02-12,Field,Number unobtainable,368.04,61-90
CA-800285,LN-500959,2025-02-04,Call,No answer,29.09,61-90
CA-800286,LN-500983,2025-02-13,SMS,No answer,1.37,1-30
CA-800287,LN-500987,2025-02-13,SMS,Refused,1.31,31-60
CA-800288,LN-501027,2025-02-22,Call,Partial payment,30.84,31-60
CA-800289,LN-501027,2025-02-14,SMS,Number unobtainable,1.09,31-60
CA-800290,LN-501032,2025-02-16,SMS,Refused,1.33,1-30
CA-800291,LN-501040,2025-02-09,Call,Refused,30.65,31-60
CA-800292,LN-501061,2025-02-16,Field,Refused,299.84,61-90
CA-800293,LN-501103,2025-02-22,Call,No answer,24.24,1-30
CA-800294,LN-501112,2025-02-21,SMS,Refused,1.24,1-30
CA-800295,LN-501118,2025-02-23,SMS,Refused,1.19,1-30
CA-800296,LN-501133,2025-02-04,Call,No answer,29.63,61-90
CA-800297,LN-501133,2025-02-09,Call,Left message,27.72,61-90
CA-800298,LN-501133,2025-02-07,Call,No answer,28.59,61-90
CA-800299,LN-501150,2025-02-11,Call,Paid in full,28.38,31-60
CA-800300,LN-501157,2025-02-13,SMS,Refused,1.19,1-30
CA-800301,LN-501185,2025-02-27,Call,No answer,29.75,31-60
CA-800302,LN-501185,2025-02-25,SMS,Left message,1.42,31-60
CA-800303,LN-501190,2025-02-21,Call,Left message,29.61,1-30
CA-800304,LN-501199,2025-02-24,Call,Number unobtainable,29.58,61-90
CA-800305,LN-501199,2025-02-20,Letter,Left message,45.94,61-90
CA-800306,LN-501207,2025-02-13,Field,No answer,302.12,61-90
CA-800307,LN-501207,2025-02-08,Field,Left message,360.29,61-90
CA-800308,LN-501207,2025-02-10,Field,No answer,345.54,61-90
CA-800309,LN-501208,2025-02-28,SMS,Number unobtainable,1.15,31-60
CA-800310,LN-501208,2025-02-07,Call,Refused,32.13,31-60
CA-800311,LN-501210,2025-02-13,Field,Left message,334.39,61-90
CA-800312,LN-501210,2025-02-28,Call,Refused,25.51,61-90
CA-800313,LN-501228,2025-02-06,SMS,Number unobtainable,1.31,1-30
CA-800314,LN-501230,2025-02-05,Call,No answer,29.46,31-60
CA-800315,LN-501261,2025-02-23,Call,No answer,27.21,1-30
CA-800316,LN-501269,2025-02-09,Call,No answer,23.98,1-30
CA-800317,LN-501273,2025-02-07,SMS,No answer,1.39,1-30
CA-800318,LN-501276,2025-02-22,Letter,Left message,54.93,61-90
CA-800319,LN-501290,2025-02-20,SMS,No answer,1.01,31-60
CA-800320,LN-501290,2025-02-27,SMS,Left message,1.2,31-60
CA-800321,LN-501312,2025-02-28,Call,Left message,25.09,61-90
CA-800322,LN-501321,2025-02-11,Call,Number unobtainable,28.57,31-60
CA-800323,LN-501321,2025-02-27,Call,Left message,31.03,31-60
CA-800324,LN-501323,2025-02-17,SMS,Refused,1.25,31-60
CA-800325,LN-501323,2025-02-23,SMS,Refused,1.08,31-60
CA-800326,LN-501357,2025-02-20,SMS,Refused,1.13,1-30
CA-800327,LN-501375,2025-02-14,Call,No answer,28.75,1-30
CA-800328,LN-501381,2025-02-04,Call,Left message,30.15,31-60
CA-800329,LN-501381,2025-02-28,SMS,No answer,1.24,31-60
CA-800330,LN-501412,2025-02-16,SMS,Number unobtainable,1.35,31-60
CA-800331,LN-501412,2025-02-28,Call,Promise to pay,28.69,31-60
CA-800332,LN-501524,2025-02-09,Call,Number unobtainable,26.25,61-90
CA-800333,LN-501524,2025-02-11,Call,Refused,29.03,61-90
CA-800334,LN-501524,2025-02-20,Field,Left message,365.12,61-90
CA-800335,LN-501554,2025-02-09,SMS,Partial payment,1.32,1-30
CA-800336,LN-501555,2025-02-26,Call,Left message,30.38,1-30
CA-800337,LN-501587,2025-02-12,Call,Left message,25.94,1-30
CA-800338,LN-501595,2025-02-09,SMS,Refused,1.03,1-30
CA-800339,LN-501620,2025-02-28,Call,Number unobtainable,26.21,61-90
CA-800340,LN-501622,2025-02-12,SMS,Left message,1.2,1-30
CA-800341,LN-501655,2025-02-19,Call,Number unobtainable,30.44,61-90
CA-800342,LN-501655,2025-02-20,Letter,Refused,46.46,61-90
CA-800343,LN-501655,2025-02-15,Letter,Promise to pay,47.21,61-90
CA-800344,LN-501697,2025-02-18,SMS,No answer,1.23,1-30
CA-800345,LN-501714,2025-02-09,SMS,Refused,1.21,1-30
CA-800346,LN-501727,2025-02-28,SMS,No answer,1.29,31-60
CA-800347,LN-501751,2025-02-18,SMS,Left message,1.22,31-60
CA-800348,LN-501751,2025-02-04,SMS,Number unobtainable,1.08,31-60
CA-800349,LN-501754,2025-02-23,Call,Left message,28.47,1-30
CA-800350,LN-501800,2025-02-25,SMS,Refused,1.04,1-30
CA-800351,LN-501817,2025-02-26,SMS,Left message,1.2,1-30
CA-800352,LN-501820,2025-02-23,SMS,Number unobtainable,1.23,1-30
CA-800353,LN-501855,2025-02-24,Call,Promise to pay,28.44,31-60
CA-800354,LN-501869,2025-02-14,SMS,Number unobtainable,1.08,1-30
CA-800355,LN-501876,2025-02-15,SMS,Number unobtainable,1.16,1-30
CA-800356,LN-501878,2025-02-07,Call,No answer,24.4,31-60
CA-800357,LN-501880,2025-02-12,Call,No answer,28.15,1-30
CA-800358,LN-501897,2025-02-12,SMS,No answer,1.15,1-30
CA-800359,LN-501920,2025-02-04,Call,Refused,25.66,1-30
CA-800360,LN-501936,2025-02-10,SMS,Refused,1.19,1-30
CA-800361,LN-502005,2025-02-05,SMS,No answer,1.16,1-30
CA-800362,LN-502012,2025-02-26,SMS,Left message,1.32,31-60
CA-800363,LN-502072,2025-02-24,SMS,Refused,1.34,31-60
CA-800364,LN-502072,2025-02-24,Call,Left message,28.3,31-60
CA-800365,LN-502103,2025-02-20,Call,Refused,26.89,31-60
CA-800366,LN-502103,2025-02-05,SMS,Refused,1.11,31-60
CA-800367,LN-502138,2025-02-06,Call,Number unobtainable,28.79,1-30
CA-800368,LN-502149,2025-02-03,SMS,Refused,1.3,1-30
CA-800369,LN-502153,2025-02-14,SMS,Number unobtainable,1.09,31-60
CA-800370,LN-502153,2025-02-08,SMS,No answer,1.28,31-60
CA-800371,LN-502185,2025-02-16,Call,No answer,28.1,1-30
CA-800372,LN-502199,2025-02-14,SMS,Refused,1.28,1-30
CA-800373,LN-502206,2025-02-09,SMS,Left message,1.13,1-30
CA-800374,LN-502228,2025-02-15,SMS,Number unobtainable,1.12,1-30
CA-800375,LN-502259,2025-02-21,SMS,Refused,1.17,31-60
CA-800376,LN-502259,2025-02-04,SMS,Refused,1.31,31-60
CA-800377,LN-502287,2025-02-21,SMS,Number unobtainable,1.28,1-30
CA-800378,LN-502310,2025-02-26,SMS,Refused,1.03,31-60
CA-800379,LN-502310,2025-02-04,SMS,Left message,1.26,31-60
CA-800380,LN-502312,2025-02-07,Call,No answer,27.28,1-30
CA-800381,LN-502377,2025-02-15,SMS,Left message,1.13,1-30
CA-800382,LN-502391,2025-02-27,SMS,No answer,1.28,31-60
CA-800383,LN-502405,2025-02-03,SMS,No answer,1.23,1-30
CA-800384,LN-502434,2025-02-12,Call,Refused,28.37,31-60
CA-800385,LN-502462,2025-02-25,SMS,Left message,1.27,1-30
CA-800386,LN-502493,2025-02-07,SMS,No answer,1.03,1-30
CA-800387,LN-502500,2025-02-04,Call,Number unobtainable,25.79,1-30
CA-800388,LN-502535,2025-02-15,Call,Number unobtainable,30.55,1-30
CA-800389,LN-502574,2025-02-04,Call,Left message,31.32,1-30
CA-800390,LN-502581,2025-02-16,Call,Left message,26.69,1-30
CA-800391,LN-502591,2025-02-16,SMS,No answer,1.19,1-30
