payment_id,loan_id,instalment_no,due_date,paid_date,amount_due_zar,amount_paid_zar,payment_method,status,failure_reason
RP-900069,LN-500069,1,24/10/2024,2024-10-29,2905.56,2905.56,EFT,PAID,
RP-900070,LN-500070,1,2024-10-08,2024-10-09,2381.07,2381.07,Debit order,Paid,
RP-900071,LN-500071,1,2024-10-28,2024-11-03,1134.16,1134.16,Debit order,Paid,
RP-900072,LN-500072,1,16/10/2024,2024-10-16,2587.81,2587.81,Debit order,Paid,
RP-900073,LN-500073,1,2024-10-25,2024-11-03,4051.73,"4,051.73",Debit order,Paid,
RP-900074,LN-500074,1,2024-10-04,2024-10-09,1975.19,1975.19,Debit order,Paid,
RP-900075,LN-500075,1,2024-10-09,,4051.73,0,EFT,Failed,Debit order disputed
RP-900076,LN-500076,1,2024-10-27,2024-11-02,1408.66,1408.66,Debit order,Paid,
RP-900077,LN-500077,1,2024-10-23,2024-10-30,3497.4,3497.4,Debit order,Paid,
RP-900078,LN-500078,1,2024-10-13,,3262.06,0,Debit order,Failed,Account closed
RP-900079,LN-500079,1,2024-10-03,2024-10-12,2060.01,2060.01,Cash,Paid,
RP-900080,LN-500080,1,2024-10-14,2024-10-20,2765.56,2765.56,Debit order,Paid,
RP-900081,LN-500081,1,2024-10-04,2024-10-06,833.34,833.34,Debit order,PAID,
RP-900082,LN-500082,1,2024-10-26,2024-10-27,3762.99,3762.99,Debit order,Paid,
RP-900083,LN-500083,1,2024-10-26,,1988.86,0,Debit order,FAILED,Payment stopped
RP-900084,LN-500084,1,26/10/2024,,2530.64,0,Debit order,Failed,Insufficient funds
RP-900085,LN-500085,1,2024-10-03,2024-10-03,4106.31,4106.31,Debit order,Paid,
RP-900086,LN-500086,1,2024-10-14,2024-10-21,2060.01,2060.01,Debit order,Paid,
RP-900087,LN-500087,1,2024-10-03,2024-10-03,2109.64,2109.64,Debit order,Paid,
RP-900088,LN-500088,1,2024-10-13,2024-10-18,1116.35,1116.35,Debit order,Paid,
RP-900089,LN-500089,1,2024-10-09,,1009.59,0,Debit order,Failed,Account closed
RP-900090,LN-500090,1,2024-10-04,2024-10-10,1245.34,1245.34,Debit order,Paid,
RP-900091,LN-500091,1,2024-10-06,2024-10-06,1173.59,1173.59,Cash,Paid,
RP-900092,LN-500092,1,2024-10-27,2024-11-05,2069.68,2069.68,Debit order,Paid,
RP-900093,LN-500093,1,2024-10-18,,2625.21,0,Debit order,Failed,Payment stopped
RP-900094,LN-500094,1,2024-10-06,2024-10-09,2790.24,2790.24,Debit order,Paid,
RP-900095,LN-500095,1,18/10/2024,,3317.72,0,Debit order,FAILED,Debit order disputed
RP-900096,LN-500096,1,2024-10-08,2024-10-11,4106.31,4106.31,EFT,Paid,
RP-900097,LN-500097,1,2024-10-05,2024-10-07,3593.62,3593.62,Debit order,Paid,
RP-900098,LN-500098,1,2024-10-15,2024-10-23,3309.33,3309.33,EFT,Paid,
RP-900099,LN-500099,1,2024-10-12,2024-10-19,5086.47,5086.47,Debit order,Paid,
RP-900100,LN-500100,1,2024-10-10,2024-10-16,3147.42,3147.42,EFT,Paid,
RP-900101,LN-500101,1,2024-10-28,2024-11-02,2967.19,2967.19,Debit order,Paid,
RP-900102,LN-500102,1,2024-10-06,2024-10-09,3345.76,3345.76,Debit order,Paid,
RP-900103,LN-500103,1,2024-10-19,2024-10-25,2242.78,2242.78,Debit order,Paid,
RP-900104,LN-500104,1,2024-10-02,2024-10-08,3906.12,3906.12,Debit order,Paid,
RP-900105,LN-500105,1,2024-10-16,2024-10-21,10222.92,10222.92,Debit order,Paid,
RP-900106,LN-500106,1,2024-10-06,2024-10-07,2481.96,2481.96,Debit order,Paid,
RP-900107,LN-500107,1,2024-10-24,2024-11-01,4271.38,4271.38,Debit order,Paid,
RP-900108,LN-500108,1,2024-10-13,2024-10-20,1985.97,1985.97,Debit order,Paid,
RP-900109,LN-500109,1,2024-10-09,2024-10-18,1153.27,1153.27,Debit order,Paid,
RP-900110,LN-500110,1,2024-10-27,2024-11-03,858.15,858.15,Debit order,Paid,
RP-900111,LN-500111,1,2024-10-19,2024-10-28,1189.11,1189.11,Debit order,Paid,
RP-900112,LN-500112,1,2024-10-24,2024-10-26,4106.31,4106.31,Cash,Paid,
RP-900113,LN-500113,1,2024-10-07,2024-10-13,4559.19,4559.19,Debit order,Paid,
RP-900114,LN-500114,1,2024-10-26,2024-11-02,10250.72,10250.72,Debit order,Paid,
RP-900115,LN-500115,1,09/10/2024,,4160.81,0,Debit order,Failed,Account closed
RP-900116,LN-500116,1,2024-10-22,2024-10-24,3726.9,3726.9,EFT,Paid,
RP-900117,LN-500117,1,06/10/2024,2024-10-08,2308,2308,Debit order,Paid,
RP-900118,LN-500118,1,01/10/2024,2024-10-02,3447.76,3447.76,Cash,PAID,
RP-900119,LN-500119,1,26/10/2024,2024-11-01,2904.46,2904.46,Debit order,Paid,
RP-900120,LN-500120,1,2024-10-09,2024-10-09,2707.73,2707.73,Debit order,Paid,
RP-900121,LN-500121,1,2024-10-24,2024-11-02,4078.96,4078.96,Debit order,Paid,
RP-900122,LN-500122,1,2024-10-26,2024-10-31,1558.62,1558.62,Debit order,paid,
RP-900123,LN-500123,1,2024-10-01,2024-10-07,1894.14,1894.14,Debit order,Paid,
RP-900124,LN-500124,1,2024-10-07,2024-10-14,2918.91,2918.91,Debit order,Paid,
RP-900125,LN-500125,1,15/10/2024,2024-10-19,1245.34,1245.34,Debit order,Paid,
RP-900126,LN-500126,1,2024-10-14,2024-10-18,1657.58,1657.58,Debit order,Paid,
RP-900127,LN-500127,1,2024-10-10,,1867.37,0,Debit order,Failed,Account closed
RP-900128,LN-500128,1,08/10/2024,2024-10-15,4291.81,4291.81,Debit order,PAID,
RP-900129,LN-500129,1,2024-10-23,2024-10-31,7805.03,7805.03,EFT,Paid,
RP-900130,LN-500130,1,2024-10-09,2024-10-16,4051.73,4051.73,Debit order,Paid,
RP-900131,LN-500131,1,2024-10-11,2024-10-13,4285.44,4285.44,Debit order,Paid,
RP-900132,LN-500132,1,2024-10-09,2024-10-16,4017.85,4017.85,Debit order,Paid,
RP-900133,LN-500133,1,22/10/2024,2024-10-25,3262.06,3262.06,Debit order,Paid,
RP-900134,LN-500134,1,25/10/2024,,1205.21,0,Cash,FAILED,Insufficient funds
RP-900135,LN-500135,1,24/10/2024,,3165.69,0,Debit order,Failed,No authority
RP-900136,LN-500136,1,2024-10-09,2024-10-15,2225.85,2225.85,Cash,Paid,
RP-900137,LN-500137,1,22/10/2024,2024-10-28,5449.58,5449.58,Debit order,paid,
RP-900138,LN-500138,1,2024-10-20,2024-10-26,3110.41,"3,110.41",Debit order,Paid,
RP-900139,LN-500139,1,2024-10-22,,4658.37,0,Debit order,Failed,Payment stopped
RP-900140,LN-500140,1,2024-10-26,2024-10-26,1465.36,1465.36,Debit order,Paid,
RP-900141,LN-500141,1,15/10/2024,2024-10-23,4051.73,4051.73,EFT,Paid,
RP-900142,LN-500142,1,2024-10-26,2024-10-27,5561.35,5561.35,Debit order,PAID,
RP-900143,LN-500143,1,2024-10-21,2024-10-22,1410.17,1410.17,Debit order,Paid,
RP-900144,LN-500144,1,2024-10-01,2024-10-02,2170.57,2170.57,Debit order,Paid,
RP-900145,LN-500145,1,13/10/2024,2024-10-15,4051.73,4051.73,Debit order,Paid,
RP-900146,LN-500146,1,2024-10-04,2024-10-05,3645.83,3645.83,Debit order,Paid,
RP-900147,LN-500147,1,15/10/2024,2024-10-17,2833.98,2833.98,Debit order,Paid,
RP-900148,LN-500148,1,01/10/2024,2024-10-03,2599.52,2599.52,Debit order,Paid,
RP-900149,LN-500149,1,01/10/2024,2024-10-10,2710.55,2710.55,Debit order,Paid,
RP-900150,LN-500150,1,2024-10-04,2024-10-04,1883.71,1883.71,Debit order,Paid,
RP-900151,LN-500151,1,19/10/2024,2024-10-26,1486.3,963.77,Debit order,Partial,
RP-900152,LN-500152,1,2024-10-09,2024-10-13,3345.76,3345.76,EFT,Paid,
RP-900153,LN-500153,1,12/10/2024,2024-10-12,2465.87,2465.87,Debit order,Paid,
RP-900154,LN-500154,1,2024-10-04,2024-10-12,3098.59,3098.59,Debit order,Paid,
RP-900155,LN-500155,1,11/10/2024,,4687.89,0,EFT,Failed,Debit order disputed
RP-900156,LN-500156,1,2024-10-03,2024-10-07,5642.01,5642.01,Debit order,Paid,
RP-900157,LN-500157,1,2024-10-10,2024-10-12,4105.53,4105.53,Debit order,Paid,
RP-900158,LN-500158,1,2024-10-11,2024-10-14,5561.35,5561.35,Debit order,Paid,
RP-900159,LN-500159,1,2024-10-18,2024-10-26,4033.14,4033.14,Debit order,Paid,
RP-900160,LN-500160,1,2024-10-02,2024-10-04,4928.81,4928.81,Debit order,Paid,
RP-900161,LN-500161,1,2024-10-17,,1278,0,Debit order,Failed,Account closed
RP-900162,LN-500162,1,2024-10-07,2024-10-11,1138.12,1138.12,Debit order,Paid,
RP-900163,LN-500163,1,2024-10-13,2024-10-18,4105.53,4105.53,Debit order,Paid,
RP-900164,LN-500164,1,2024-10-14,2024-10-22,2930.61,2930.61,Debit order,Paid,
RP-900165,LN-500165,1,2024-10-26,2024-10-26,2509.49,2509.49,Debit order,Paid,
RP-900166,LN-500166,1,2024-10-18,2024-10-23,2600.51,2600.51,Debit order,Paid,
RP-900167,LN-500167,1,06/10/2024,2024-10-09,3607.97,3607.97,Debit order,Paid,
RP-900168,LN-500168,1,2024-10-03,2024-10-07,2710.55,2710.55,Debit order,Paid,
RP-900169,LN-500169,1,2024-10-20,2024-10-26,3386.83,3386.83,Debit order,Paid,
RP-900170,LN-500170,1,2024-10-10,2024-10-19,2112.57,2112.57,Debit order,Paid,
RP-900171,LN-500171,1,06/10/2024,2024-10-06,3220.97,3220.97,Debit order,Paid,
RP-900172,LN-500172,1,07/10/2024,2024-10-10,1993.51,1993.51,Debit order,Paid,
RP-900173,LN-500173,1,2024-10-13,2024-10-22,3510.35,2404.48,Debit order,Partial,
RP-900174,LN-500174,1,2024-10-18,2024-10-25,2336.42,2336.42,Debit order,Paid,
RP-900175,LN-500175,1,2024-10-11,2024-10-13,2827.64,2827.64,Debit order,Paid,
RP-900176,LN-500176,1,2024-10-24,2024-10-26,5561.35,3842.56,Debit order,Partial,
RP-900177,LN-500177,1,09/10/2024,2024-10-18,4175.94,"4,175.94",Debit order,Paid,
RP-900178,LN-500178,1,2024-10-10,2024-10-15,2239.18,2239.18,Debit order,Paid,
RP-900179,LN-500179,1,2024-10-22,2024-10-30,1064.72,1064.72,Debit order,Paid,
RP-900180,LN-500180,1,2024-10-13,2024-10-17,742.42,742.42,Debit order,Paid,
RP-900181,LN-500181,1,2024-10-07,2024-10-11,1049.36,1049.36,EFT,Paid,
RP-900182,LN-500182,1,2024-10-01,2024-10-02,4243.02,4243.02,Debit order,Paid,
RP-900183,LN-500183,1,2024-10-13,2024-10-16,3236.3,3236.3,Debit order,Paid,
RP-900184,LN-500184,1,2024-10-12,2024-10-16,2985.63,2985.63,Debit order,Paid,
RP-900185,LN-500185,1,20/10/2024,2024-10-22,10222.92,10222.92,EFT,Paid,
RP-900186,LN-500186,1,2024-10-12,2024-10-20,2569.66,2569.66,Debit order,paid,
RP-900187,LN-500187,1,2024-10-03,2024-10-06,1889.15,1889.15,Debit order,Paid,
RP-900188,LN-500188,1,2024-10-14,2024-10-16,490.44,490.44,Debit order,Paid,
RP-900189,LN-500189,1,2024-10-08,2024-10-12,2512.91,2512.91,Cash,Paid,
RP-900190,LN-500190,1,2024-10-05,2024-10-12,1399.62,1399.62,Cash,Paid,
RP-900191,LN-500191,1,2024-10-07,2024-10-16,2752.46,2752.46,Debit order,Paid,
RP-900192,LN-500192,1,2024-10-03,2024-10-11,1735.29,1735.29,Debit order,Paid,
RP-900193,LN-500193,1,2024-10-22,2024-10-22,4078.96,4078.96,Debit order,Paid,
RP-900194,LN-500194,1,2024-10-16,2024-10-24,1417.89,1417.89,EFT,Paid,
RP-900195,LN-500195,1,2024-10-17,2024-10-21,5435.55,5435.55,Debit order,Paid,
RP-900196,LN-500196,1,2024-10-04,2024-10-05,1514.14,1514.14,Cash,Paid,
RP-900197,LN-500197,1,2024-10-12,2024-10-19,1789.43,1789.43,Cash,Paid,
RP-900198,LN-500198,1,2024-10-09,2024-10-13,2736.32,2736.32,Debit order,Paid,
RP-900199,LN-500199,1,2024-10-01,,642.36,0,Debit order,Failed,Debit order disputed
RP-900200,LN-500200,1,2024-10-16,2024-10-17,1276.9,1276.9,Debit order,Paid,
RP-900201,LN-500201,1,13/10/2024,2024-10-22,10222.92,10222.92,Debit order,Paid,
RP-900202,LN-500202,1,2024-10-15,2024-10-23,5288.07,5288.07,Debit order,Paid,
RP-900203,LN-500203,1,2024-10-02,2024-10-08,3048.82,3048.82,Debit order,Paid,
RP-900204,LN-500204,1,2024-10-15,2024-10-18,2569.82,"2,569.82",Debit order,Paid,
RP-900205,LN-500205,1,2024-10-18,2024-10-18,2820.58,2820.58,EFT,Paid,
RP-900206,LN-500206,1,2024-10-05,2024-10-07,4106.31,4106.31,Debit order,PAID,
RP-900207,LN-500207,1,2024-10-04,2024-10-08,839.98,839.98,Debit order,Paid,
RP-900208,LN-500208,1,03/10/2024,2024-10-07,4024.6,4024.6,Debit order,Paid,
RP-900209,LN-500209,1,18/10/2024,2024-10-20,2445.28,2445.28,EFT,Paid,
RP-900210,LN-500210,1,2024-10-02,2024-10-05,3317.72,3317.72,Debit order,PAID,
RP-900211,LN-500211,1,17/10/2024,,1385.78,0,Debit order,failed,Debit order disputed
RP-900212,LN-500212,1,14/10/2024,2024-10-20,2593.09,2593.09,Debit order,Paid,
RP-900213,LN-500213,1,2024-10-08,2024-10-10,4569.57,4569.57,Debit order,Paid,
RP-900214,LN-500214,1,2024-10-17,2024-10-20,1610.53,1610.53,Debit order,PAID,
RP-900215,LN-500215,1,2024-10-08,2024-10-09,2736.32,2736.32,Debit order,PAID,
RP-900216,LN-500216,1,2024-10-09,2024-10-17,4106.31,4106.31,Debit order,Paid,
RP-900217,LN-500217,1,10/10/2024,2024-10-11,2159.92,2159.92,Debit order,Paid,
RP-900218,LN-500218,1,2024-10-16,2024-10-17,3958.49,3958.49,Debit order,Paid,
RP-900219,LN-500219,1,2024-10-03,2024-10-10,807.88,807.88,EFT,Paid,
RP-900220,LN-500220,1,2024-10-22,2024-10-29,5957.05,5957.05,EFT,Paid,
RP-900221,LN-500221,1,2024-10-03,2024-10-03,5615.05,5615.05,Debit order,Paid,
RP-900222,LN-500222,1,2024-10-24,2024-10-27,2467.89,2467.89,Debit order,Paid,
RP-900223,LN-500223,1,2024-10-14,2024-10-23,2004.71,2004.71,Debit order,Paid,
RP-900224,LN-500224,1,24/10/2024,2024-10-26,4024.6,4024.6,Debit order,Paid,
RP-900225,LN-500225,1,2024-10-20,2024-10-27,4687.89,4687.89,Debit order,Paid,
RP-900226,LN-500226,1,2024-10-12,2024-10-18,5615.05,5615.05,Debit order,Paid,
RP-900227,LN-500227,1,2024-10-08,2024-10-08,2778.7,2778.7,Debit order,Paid,
RP-900228,LN-500228,1,2024-10-23,2024-11-01,2270.41,2270.41,Debit order,Paid,
RP-900229,LN-500229,1,01/10/2024,2024-10-10,2702.03,2702.03,Debit order,Paid,
RP-900230,LN-500230,1,2024-10-02,2024-10-02,2930.61,2930.61,Cash,paid,
RP-900231,LN-500231,1,27/10/2024,2024-11-05,4051.73,4051.73,Debit order,Paid,
RP-900232,LN-500232,1,2024-10-05,2024-10-09,4106.31,4106.31,Debit order,Paid,
RP-900233,LN-500233,1,17/10/2024,2024-10-21,2040.12,2040.12,Debit order,Paid,
RP-900234,LN-500234,1,2024-10-14,2024-10-16,1800.51,"1,800.51",Debit order,Paid,
RP-900235,LN-500235,1,2024-10-28,,2599.52,0,Debit order,Failed,Payment stopped
RP-900236,LN-500236,1,12/10/2024,2024-10-19,1385.78,1385.78,EFT,Paid,
RP-900237,LN-500237,1,2024-10-20,2024-10-24,5642.01,5642.01,EFT,Paid,
RP-900238,LN-500238,1,2024-10-17,2024-10-26,2202.54,2202.54,Debit order,Paid,
RP-900239,LN-500239,1,2024-10-15,2024-10-15,4078.96,"4,078.96",Debit order,Paid,
RP-900240,LN-500240,1,20/10/2024,2024-10-23,4471.08,"4,471.08",Debit order,PAID,
RP-900241,LN-500241,1,2024-10-01,2024-10-04,3317.72,3317.72,EFT,Paid,
RP-900242,LN-500242,1,2024-10-11,2024-10-15,4106.31,4106.31,Debit order,Paid,
RP-900243,LN-500243,1,2024-10-12,2024-10-18,5615.05,5615.05,Debit order,Paid,
RP-900244,LN-500244,1,2024-10-22,2024-10-24,988.91,988.91,Cash,Paid,
RP-900245,LN-500245,1,2024-10-06,2024-10-14,2557.56,2557.56,EFT,Paid,
RP-900246,LN-500246,1,17/10/2024,2024-10-25,1642.63,1642.63,Debit order,Paid,
RP-900247,LN-500247,1,11/10/2024,2024-10-16,1665.23,1665.23,Debit order,paid,
RP-900248,LN-500248,1,2024-10-11,2024-10-14,709.84,709.84,Debit order,Paid,
RP-900249,LN-500249,1,2024-10-15,2024-10-18,1569.7,1569.7,Debit order,Paid,
RP-900250,LN-500250,1,2024-10-20,2024-10-27,3317.72,3317.72,Debit order,Paid,
RP-900251,LN-500251,1,2024-10-21,2024-10-24,3590.81,3590.81,EFT,Paid,
RP-900252,LN-500252,1,2024-10-07,2024-10-12,1783.58,"1,783.58",Debit order,Paid,
RP-900253,LN-500253,1,2024-10-26,2024-11-02,5754.06,5754.06,Debit order,Paid,
RP-900254,LN-500254,1,2024-10-25,2024-10-28,5642.01,5642.01,Debit order,PAID,
RP-900255,LN-500255,1,2024-10-04,2024-10-06,4271.38,4271.38,Debit order,Paid,
RP-900256,LN-500256,1,2024-10-13,2024-10-13,1173.59,1173.59,Debit order,Paid,
RP-900257,LN-500257,1,2024-10-26,2024-10-27,488.13,488.13,Debit order,paid,
RP-900258,LN-500258,1,2024-10-03,2024-10-07,2381.07,2381.07,Debit order,Paid,
RP-900259,LN-500259,1,2024-10-24,2024-10-31,2856.96,2856.96,Debit order,Paid,
RP-900260,LN-500260,1,2024-10-08,,2188.09,0,Debit order,FAILED,Payment stopped
RP-900261,LN-500261,1,2024-10-22,2024-10-24,3809.52,3809.52,Debit order,Paid,
RP-900262,LN-500262,1,2024-10-04,2024-10-05,1639.11,1639.11,Debit order,Paid,
RP-900263,LN-500263,1,28/10/2024,2024-11-03,10278.54,10278.54,Debit order,Paid,
RP-900264,LN-500264,1,2024-10-19,2024-10-23,755.38,755.38,EFT,PAID,
RP-900265,LN-500265,1,2024-10-04,2024-10-11,2204.97,2204.97,Debit order,Paid,
RP-900266,LN-500266,1,10/10/2024,2024-10-19,3040.65,3040.65,Cash,Paid,
RP-900267,LN-500267,1,2024-10-20,2024-10-28,857.65,857.65,Debit order,Paid,
RP-900268,LN-500268,1,15/10/2024,2024-10-19,2649.88,2649.88,Debit order,Paid,
RP-900269,LN-500269,1,2024-10-23,2024-10-25,4051.73,4051.73,Debit order,Paid,
RP-900270,LN-500270,1,2024-10-07,2024-10-10,6261.53,6261.53,EFT,paid,
RP-900271,LN-500271,1,2024-10-27,2024-11-04,945.68,945.68,Debit order,Paid,
RP-900272,LN-500272,1,25/10/2024,2024-10-31,3792.7,3792.7,Debit order,Paid,
RP-900273,LN-500273,1,2024-10-06,2024-10-09,1820.05,1820.05,Debit order,Paid,
RP-900274,LN-500274,1,13/10/2024,2024-10-14,1628.47,1628.47,Debit order,paid,
RP-900275,LN-500275,1,2024-10-01,2024-10-07,2372.2,2372.2,Debit order,Paid,
RP-900276,LN-500276,1,27/10/2024,2024-11-05,744.46,744.46,Debit order,Paid,
RP-900277,LN-500277,1,2024-10-23,2024-10-29,5652.57,5652.57,Debit order,PAID,
RP-900278,LN-500278,1,2024-10-03,2024-10-11,1514.21,1514.21,Debit order,Paid,
RP-900279,LN-500279,1,16/10/2024,2024-10-23,9723.43,9723.43,Debit order,Paid,
RP-900280,LN-500280,1,2024-10-27,2024-10-29,3715.58,3715.58,Debit order,Paid,
RP-900281,LN-500281,1,2024-10-28,2024-10-31,9394.78,9394.78,Debit order,Paid,
RP-900282,LN-500282,1,2024-10-22,2024-10-31,2985.63,2985.63,Debit order,Paid,
RP-900283,LN-500283,1,05/10/2024,2024-10-06,5615.05,5615.05,Debit order,Paid,
RP-900284,LN-500284,1,2024-10-28,2024-10-30,3317.72,3317.72,Debit order,Paid,
RP-900285,LN-500285,1,2024-10-18,2024-10-21,3871.27,3871.27,Debit order,Paid,
RP-900286,LN-500286,1,2024-10-03,,2041.56,0,Debit order,Failed,Insufficient funds
RP-900287,LN-500287,1,2024-10-16,2024-10-16,2133.99,2133.99,Debit order,Paid,
RP-900288,LN-500288,1,2024-10-11,2024-10-18,1428.61,1428.61,Debit order,Paid,
RP-900289,LN-500289,1,02/10/2024,2024-10-07,3345.76,3345.76,EFT,Paid,
RP-900290,LN-500290,1,2024-10-04,2024-10-10,3262.06,3262.06,Debit order,Paid,
RP-900291,LN-500291,1,2024-10-03,2024-10-05,1390.15,1390.15,Debit order,Paid,
RP-900292,LN-500292,1,2024-10-04,2024-10-04,1547.43,1547.43,EFT,Paid,
