snapshot_date,loan_id,days_past_due,outstanding_balance_zar,arrears_amount_zar,arrears_bucket
2024-10-31,LN-500158,0,50665.11,0,Current
2024-10-31,LN-500159,0,50975.5,0,Current
2024-10-31,LN-500160,0,22330.26,0,Current
2024-10-31,LN-500161,30,20495.62,1278,1-30
2024-10-31,LN-500162,0,17308.33,0,Current
2024-10-31,LN-500163,0,36841.49,0,Current
2024-10-31,LN-500164,0,26257.22,0,Current
2024-10-31,LN-500165,0,39870.47,0,Current
2024-10-31,LN-500166,0,23228.34,0,Current
2024-10-31,LN-500167,0,32300.24,0,Current
2024-10-31,LN-500168,0,"24,237.96",0,Current
2024-10-31,LN-500169,0,30281.9,0,Current
2024-10-31,LN-500170,0,42972.47,0,Current
2024-10-31,LN-500171,0,28768.16,0,Current
2024-10-31,LN-500172,0,"8,842.89",0,Current
2024-10-31,LN-500173,30,45850.99,3510.35,1-30
2024-10-31,LN-500174,0,20694.82,0,Current
2024-10-31,LN-500175,0,35731.97,0,Current
2024-10-31,LN-500176,30,"52,143.27",5561.35,1-30
2024-10-31,LN-500177,0,37885.2,0,Current
2024-10-31,LN-500178,0,35133.78,0,Current
2024-10-31,LN-500179,0,"16,267.19",0,Current
2024-10-31,LN-500180,0,14335.86,0,Current
2024-10-31,LN-500181,0,15728.27,0,Current
2024-10-31,LN-500182,0,19055.14,0,Current
2024-10-31,LN-500183,0,28754.98,0,Current
2024-10-31,LN-500184,0,26762.04,0,Current
2024-10-31,LN-500185,0,"46,656.16",0,Current
2024-10-31,LN-500186,0,22702.75,0,Current
2024-10-31,LN-500187,0,38747.58,0,Current
2024-10-31,LN-500188,0,6822.76,0,Current
2024-10-31,LN-500189,0,11156.85,0,Current
2024-10-31,LN-500190,0,28678.13,0,Current
2024-10-31,LN-500191,0,24754.05,0,Current
2024-10-31,LN-500192,0,26733.07,0,Current
2024-10-31,LN-500193,0,51939.96,0,Current
2024-10-31,LN-500194,0,22036.88,0,Current
2024-10-31,LN-500195,0,49769.43,0,Current
2024-10-31,LN-500196,0,13120.05,0,Current
2024-10-31,LN-500197,0,36624.83,0,Current
2024-10-31,LN-500198,0,24215.8,0,Current
2024-10-31,LN-500199,30,10005.18,642.36,1-30
2024-10-31,LN-500200,0,"15,532.59",0,Current
2024-10-31,LN-500201,0,46656.16,0,Current
2024-10-31,LN-500202,0,47888.52,0,Current
2024-10-31,LN-500203,0,47806.53,0,Current
2024-10-31,LN-500204,0,53237.82,0,Current
2024-10-31,LN-500205,0,25247.59,0,Current
2024-10-31,LN-500206,0,51916.44,0,Current
2024-10-31,LN-500207,0,12595.57,0,Current
2024-10-31,LN-500208,0,51986.71,0,Current
2024-10-31,LN-500209,0,38821.43,0,Current
2024-10-31,LN-500210,0,"52,594.63",0,Current
2024-10-31,LN-500211,30,22704.14,1385.78,1-30
2024-10-31,LN-500212,0,33173.03,0,Current
2024-10-31,LN-500213,0,40859.45,0,Current
2024-10-31,LN-500214,0,25183.98,0,Current
2024-10-31,LN-500215,0,24215.8,0,Current
2024-10-31,LN-500216,0,51916.44,0,Current
2024-10-31,LN-500217,0,33545.56,0,Current
2024-10-31,LN-500218,0,35311.56,0,Current
2024-10-31,LN-500219,0,12071.05,0,Current
2024-10-31,LN-500220,0,26967.26,0,Current
2024-10-31,LN-500221,0,50618.93,0,Current
2024-10-31,LN-500222,0,31072.19,0,Current
2024-10-31,LN-500223,0,17667.32,0,Current
2024-10-31,LN-500224,0,51986.71,0,Current
2024-10-31,LN-500225,0,42381.45,0,Current
2024-10-31,LN-500226,0,50618.93,0,Current
2024-10-31,LN-500227,0,24731.48,0,Current
2024-10-31,LN-500228,0,20199.45,0,Current
2024-10-31,LN-500229,30,12098.46,0,1-30
2024-10-31,LN-500230,0,26257.22,0,Current
2024-10-31,LN-500231,0,51963.38,0,Current
2024-10-31,LN-500232,0,"51,916.44",0,Current
2024-10-31,LN-500233,0,42482.64,0,Current
2024-10-31,LN-500234,0,7904.62,0,Current
2024-10-31,LN-500235,30,55447.87,2599.52,1-30
2024-10-31,LN-500236,0,21512.37,0,Current
2024-10-31,LN-500237,0,50595.74,0,Current
2024-10-31,LN-500238,0,27435.5,0,Current
2024-10-31,LN-500239,30,51939.96,0,1-30
2024-10-31,LN-500240,0,40392.02,0,Current
2024-10-31,LN-500241,0,52594.63,0,Current
2024-10-31,LN-500242,0,51916.44,0,Current
2024-10-31,LN-500243,0,50618.93,0,Current
2024-10-31,LN-500244,0,11915.36,0,Current
2024-10-31,LN-500245,0,22713.15,0,Current
2024-10-31,LN-500246,0,25708.5,0,Current
2024-10-31,LN-500247,0,14646.5,0,Current
2024-10-31,LN-500248,0,13811.74,0,Current
2024-10-31,LN-500249,0,13624.4,0,Current
2024-10-31,LN-500250,0,52594.63,0,Current
2024-10-31,LN-500251,0,32314.99,0,Current
2024-10-31,LN-500252,0,15648.97,0,Current
2024-10-31,LN-500253,0,26037.57,0,Current
2024-10-31,LN-500254,0,50595.74,0,Current
2024-10-31,LN-500255,0,38355.25,0,Current
2024-10-31,LN-500256,0,14517.18,0,Current
2024-10-31,LN-500257,0,9033.26,0,Current
2024-10-31,LN-500258,0,"37,772.40",0,Current
2024-10-31,LN-500259,0,45963.79,0,Current
2024-10-31,LN-500260,30,29329.68,2188.09,1-30
2024-10-31,LN-500261,0,49160.07,0,Current
2024-10-31,LN-500262,0,20190.25,0,Current
2024-10-31,LN-500263,0,46608.33,0,Current
2024-10-31,LN-500264,0,11011.94,0,Current
2024-10-31,LN-500265,0,19703.61,0,Current
2024-10-31,LN-500266,0,27266.85,0,Current
2024-10-31,LN-500267,0,16997.4,0,Current
2024-10-31,LN-500268,0,41406.12,0,Current
2024-10-31,LN-500269,0,51963.38,0,Current
2024-10-31,LN-500270,0,28361.79,0,Current
2024-10-31,LN-500271,0,19130.21,0,Current
2024-10-31,LN-500272,0,"34,349.88",0,Current
2024-10-31,LN-500273,0,28868.69,0,Current
2024-10-31,LN-500274,0,"20,199.40",0,Current
2024-10-31,LN-500275,0,30050.23,0,Current
2024-10-31,LN-500276,0,8812.82,0,Current
2024-10-31,LN-500277,0,25572.73,0,Current
2024-10-31,LN-500278,0,23610.43,0,Current
2024-10-31,LN-500279,0,44074.11,0,Current
2024-10-31,LN-500280,0,47233.12,0,Current
2024-10-31,LN-500281,0,42850.94,0,Current
2024-10-31,LN-500282,0,26762.04,0,Current
2024-10-31,LN-500283,0,50618.93,0,Current
2024-10-31,LN-500284,0,52594.63,0,Current
2024-10-31,LN-500285,0,49608.9,0,Current
2024-10-31,LN-500286,30,27121.17,2041.56,1-30
2024-10-31,LN-500287,0,26942.32,0,Current
2024-10-31,LN-500288,0,17610.63,0,Current
2024-10-31,LN-500289,0,52570.52,0,Current
2024-10-31,LN-500290,0,52642.5,0,Current
2024-10-31,LN-500291,0,12122.42,0,Current
2024-10-31,LN-500292,30,"31,863.79",0,1-30
2024-10-31,LN-500293,0,48282.94,0,Current
2024-10-31,LN-500294,0,"50,642.05",0,Current
2024-10-31,LN-500295,30,21599.88,1310.78,1-30
2024-10-31,LN-500296,0,18348.47,0,Current
2024-10-31,LN-500297,0,"49,354.57",0,Current
2024-10-31,LN-500298,0,23722.32,0,Current
2024-10-31,LN-500299,0,51963.38,0,Current
2024-10-31,LN-500300,0,12563.55,0,Current
2024-10-31,LN-500301,0,"44,655.67",0,Current
2024-10-31,LN-500302,0,36858.32,0,Current
2024-10-31,LN-500303,0,20717.15,0,Current
2024-10-31,LN-500304,0,18356.88,0,Current
2024-10-31,LN-500305,0,39364.41,0,Current
2024-10-31,LN-500306,0,11107.72,0,Current
2024-10-31,LN-500307,0,8377.81,0,Current
2024-10-31,LN-500308,0,30050.23,0,Current
2024-10-31,LN-500309,0,50618.93,0,Current
2024-10-31,LN-500310,0,18676.48,0,Current
2024-10-31,LN-500311,0,19685.65,0,Current
2024-10-31,LN-500312,0,33676.14,0,Current
2024-10-31,LN-500313,0,16791.7,0,Current
2024-10-31,LN-500314,0,36336.91,0,Current
2024-10-31,LN-500315,0,50595.74,0,Current
2024-10-31,LN-500316,0,25728.86,0,Current
2024-10-31,LN-500317,0,19414.29,0,Current
2024-10-31,LN-500318,0,"40,896.84",0,Current
2024-10-31,LN-500319,0,34163.23,0,Current
2024-10-31,LN-500320,0,48282.94,0,Current
2024-10-31,LN-500321,0,32834.76,0,Current
2024-10-31,LN-500322,0,26733.07,0,Current
2024-10-31,LN-500323,0,37137.68,0,Current
2024-10-31,LN-500324,0,24249,0,Current
2024-10-31,LN-500325,0,24754.05,0,Current
2024-10-31,LN-500326,0,"25,720.17",0,Current
2024-10-31,LN-500327,0,40900.84,0,Current
2024-10-31,LN-500328,0,28343.94,0,Current
2024-10-31,LN-500329,0,17300.39,0,Current
2024-10-31,LN-500330,0,40859.45,0,Current
2024-10-31,LN-500331,0,35658.06,0,Current
2024-10-31,LN-500332,0,22798.43,0,Current
2024-10-31,LN-500333,0,21199.39,0,Current
2024-10-31,LN-500334,0,34823.16,0,Current
2024-10-31,LN-500335,0,32107.69,0,Current
2024-10-31,LN-500336,0,37346.08,0,Current
2024-10-31,LN-500337,0,13500.62,0,Current
2024-10-31,LN-500338,0,"52,594.63",0,Current
2024-10-31,LN-500339,30,39891.97,0,1-30
2024-10-31,LN-500340,0,46656.16,0,Current
2024-10-31,LN-500341,0,43522.24,0,Current
2024-10-31,LN-500342,0,27254.4,0,Current
2024-10-31,LN-500343,0,45573.09,0,Current
2024-10-31,LN-500344,30,48436.44,0,1-30
2024-10-31,LN-500345,0,51939.96,0,Current
2024-10-31,LN-500346,0,8377.81,0,Current
2024-10-31,LN-500347,0,13656.94,0,Current
2024-10-31,LN-500348,0,11407.86,0,Current
2024-10-31,LN-500349,0,10366.77,0,Current
2024-10-31,LN-500350,0,"30,442.95",0,Current
2024-10-31,LN-500351,0,50595.74,0,Current
2024-10-31,LN-500352,0,20694.82,0,Current
2024-10-31,LN-500353,0,20685.34,0,Current
2024-10-31,LN-500354,0,32002.71,0,Current
2024-10-31,LN-500355,0,27758.99,0,Current
2024-10-31,LN-500356,30,23808.4,1788.36,1-30
2024-10-31,LN-500357,0,8842.89,0,Current
2024-10-31,LN-500358,0,51963.38,0,Current
2024-10-31,LN-500359,30,33194.58,2029.27,1-30
2024-10-31,LN-500360,0,28509.07,0,Current
2024-10-31,LN-500361,0,18600.08,0,Current
2024-10-31,LN-500362,0,12092.27,0,Current
2024-10-31,LN-500363,30,"15,526.46",960.66,1-30
2024-10-31,LN-500364,0,45370.84,0,Current
2024-10-31,LN-500365,0,52618.62,0,Current
2024-10-31,LN-500366,0,14005.21,0,Current
2024-10-31,LN-500367,0,20459.45,0,Current
2024-10-31,LN-500368,0,50642.05,0,Current
2024-10-31,LN-500369,0,"10,357.41",0,Current
2024-10-31,LN-500370,0,15015.07,0,Current
2024-10-31,LN-500371,0,11633.39,0,Current
2024-10-31,LN-500372,0,18676.48,0,Current
2024-10-31,LN-500373,0,38296.92,0,Current
2024-10-31,LN-500374,0,53212.28,0,Current
2024-10-31,LN-500375,0,8580.88,0,Current
2024-10-31,LN-500376,0,17679.45,0,Current
2024-10-31,LN-500377,0,19672.73,0,Current
2024-10-31,LN-500378,0,11102.63,0,Current
2024-10-31,LN-500379,0,20208.65,0,Current
2024-10-31,LN-500380,0,23737.65,0,Current
2024-10-31,LN-500381,0,29380.12,0,Current
2024-10-31,LN-500382,0,12621.47,0,Current
2024-10-31,LN-500383,30,34298.83,1614.93,1-30
2024-10-31,LN-500384,0,"35,674.32",0,Current
2024-10-31,LN-500385,0,37833.33,0,Current
2024-10-31,LN-500386,0,23357.58,0,Current
2024-10-31,LN-500387,0,26400.46,0,Current
2024-10-31,LN-500388,0,13630.64,0,Current
2024-10-31,LN-500389,0,25740.65,0,Current
2024-10-31,LN-500390,0,27793.89,0,Current
2024-10-31,LN-500391,0,52618.62,0,Current
2024-10-31,LN-500392,0,16650.51,0,Current
2024-10-31,LN-500393,0,51939.96,0,Current
2024-10-31,LN-500394,0,46656.16,0,Current
2024-10-31,LN-500395,0,45862.32,0,Current
2024-10-31,LN-500396,0,12595.57,0,Current
2024-10-31,LN-500397,0,10492.71,0,Current
2024-10-31,LN-500398,0,51939.96,0,Current
2024-10-31,LN-500399,0,31781.09,0,Current
2024-10-31,LN-500400,0,9968.44,0,Current
2024-10-31,LN-500401,0,35731.97,0,Current
2024-10-31,LN-500402,0,13636.87,0,Current
2024-10-31,LN-500403,0,18356.88,0,Current
2024-10-31,LN-500404,0,19633.33,0,Current
2024-10-31,LN-500405,0,"37,755.17",0,Current
2024-10-31,LN-500406,0,"19,172.53",0,Current
2024-10-31,LN-500407,0,26245.23,0,Current
2024-10-31,LN-500408,0,16567.62,0,Current
2024-10-31,LN-500409,0,"51,916.44",0,Current
2024-10-31,LN-500410,0,17840.74,0,Current
2024-10-31,LN-500411,0,13114.11,0,Current
2024-10-31,LN-500412,30,"23,256.26",1748.39,1-30
2024-10-31,LN-500413,0,25388.36,0,Current
2024-10-31,LN-500414,0,33309.4,0,Current
2024-10-31,LN-500415,0,50665.11,0,Current
2024-10-31,LN-500416,0,40314.13,0,Current
2024-10-31,LN-500417,0,16064.62,0,Current
2024-10-31,LN-500418,0,37155.51,0,Current
2024-10-31,LN-500419,0,11156.85,0,Current
2024-10-31,LN-500420,0,50642.05,0,Current
2024-10-31,LN-500421,0,25094.99,0,Current
2024-10-31,LN-500422,0,51916.44,0,Current
2024-10-31,LN-500423,0,15819.12,0,Current
2024-10-31,LN-500424,30,19391.37,3612.98,1-30
2024-10-31,LN-500425,30,41287.69,3126.51,1-30
2024-10-31,LN-500426,0,40716.07,0,Current
2024-10-31,LN-500427,0,24237.96,0,Current
2024-10-31,LN-500428,0,28781.29,0,Current
2024-10-31,LN-500429,0,19155.21,0,Current
2024-10-31,LN-500430,0,33066.74,0,Current
2024-10-31,LN-500431,0,52570.52,0,Current
2024-10-31,LN-500432,60,26016.91,1241,31-60
2024-10-31,LN-500433,0,22016.73,0,Current
2024-10-31,LN-500434,0,27447.92,0,Current
2024-10-31,LN-500435,0,47407.94,0,Current
2024-10-31,LN-500436,0,48761.74,0,Current
2024-10-31,LN-500437,30,55447.87,5561.35,1-30
2024-10-31,LN-500438,0,11016.99,0,Current
2024-10-31,LN-500439,0,49884.46,0,Current
2024-10-31,LN-500440,0,24720.16,0,Current
2024-10-31,LN-500441,0,24330.39,0,Current
2024-10-31,LN-500442,0,9089.38,0,Current
2024-10-31,LN-500443,0,50319,0,Current
2024-10-31,LN-500444,30,22704.14,1397.19,1-30
2024-10-31,LN-500445,0,23588.85,0,Current
2024-10-31,LN-500446,0,17602.66,0,Current
2024-10-31,LN-500447,0,"50,618.93",0,Current
2024-10-31,LN-500448,0,50618.93,0,Current
2024-10-31,LN-500449,0,13811.74,0,Current
2024-10-31,LN-500450,0,50618.93,0,Current
2024-10-31,LN-500451,30,15035.4,0,1-30
2024-10-31,LN-500452,0,40938.07,0,Current
2024-10-31,LN-500453,30,20088.44,2180.78,1-30
2024-10-31,LN-500454,0,27806.57,0,Current
2024-10-31,LN-500455,0,27771.67,0,Current
2024-10-31,LN-500456,0,48919.12,0,Current
2024-10-31,LN-500457,0,13824.76,0,Current
2024-10-31,LN-500458,0,36784.05,0,Current
2024-10-31,LN-500459,0,50665.11,0,Current
2024-10-31,LN-500460,0,13951.64,0,Current
2024-10-31,LN-500461,0,50595.74,0,Current
2024-10-31,LN-500462,0,32512.39,0,Current
2024-10-31,LN-500463,0,52642.5,0,Current
2024-10-31,LN-500464,30,19391.37,1183.46,1-30
2024-10-31,LN-500465,0,46656.16,0,Current
2024-10-31,LN-500466,0,31072.19,0,Current
2024-10-31,LN-500467,0,50642.05,0,Current
2024-10-31,LN-500468,0,50618.93,0,Current
2024-10-31,LN-500469,0,34870.75,0,Current
2024-10-31,LN-500470,0,31347.67,0,Current
2024-10-31,LN-500471,0,33676.14,0,Current
2024-10-31,LN-500472,0,15819.12,0,Current
2024-10-31,LN-500473,0,49701.5,0,Current
2024-10-31,LN-500474,0,10889.65,0,Current
2024-10-31,LN-500475,0,22798.43,0,Current
2024-10-31,LN-500476,0,46632.25,0,Current
2024-10-31,LN-500477,0,33143.2,0,Current
2024-10-31,LN-500478,0,51617.72,0,Current
2024-10-31,LN-500479,0,15656.13,0,Current
2024-10-31,LN-500480,30,12213.69,617.78,1-30
2024-10-31,LN-500481,0,33957.3,0,Current
2024-10-31,LN-500482,0,33813.99,0,Current
2024-10-31,LN-500483,0,34807.22,0,Current
2024-10-31,LN-500484,0,11162.57,0,Current
2024-10-31,LN-500485,0,"25,684.99",0,Current
2024-10-31,LN-500486,0,52570.52,0,Current
2024-10-31,LN-500487,0,52618.62,0,Current
2024-10-31,LN-500488,0,28347.23,0,Current
2024-10-31,LN-500489,0,15158.2,0,Current
2024-10-31,LN-500490,0,33309.4,0,Current
2024-10-31,LN-500491,30,28777.55,1767.96,1-30
2024-10-31,LN-500492,0,50618.93,0,Current
2024-10-31,LN-500493,60,50930.45,5113.4,31-60
2024-10-31,LN-500494,30,55447.87,3345.76,1-30
2024-10-31,LN-500495,0,24720.16,0,Current
2024-10-31,LN-500496,30,12213.69,942.96,1-30
2024-10-31,LN-500497,0,"52,618.62",0,Current
2024-10-31,LN-500498,0,13980.03,0,Current
2024-10-31,LN-500499,0,39468.53,0,Current
2024-10-31,LN-500500,0,14653.16,0,Current
2024-10-31,LN-500501,30,55447.87,4051.73,1-30
2024-10-31,LN-500502,0,19929.71,0,Current
2024-10-31,LN-500503,0,50595.74,0,Current
2024-10-31,LN-500504,0,52594.63,0,Current
2024-10-31,LN-500505,0,48369.45,0,Current
2024-10-31,LN-500506,0,13138.03,0,Current
2024-10-31,LN-500507,0,53212.28,0,Current
2024-10-31,LN-500508,0,22208.57,0,Current
2024-10-31,LN-500509,0,23305.91,0,Current
2024-10-31,LN-500510,0,52570.52,0,Current
2024-10-31,LN-500511,0,39346.39,0,Current
2024-10-31,LN-500512,0,39346.39,0,Current
2024-10-31,LN-500513,0,50595.74,0,Current
2024-10-31,LN-500514,30,28225.42,1721.03,1-30
2024-10-31,LN-500515,0,51939.96,0,Current
2024-10-31,LN-500516,0,43013.59,0,Current
2024-10-31,LN-500517,0,24659.47,0,Current
2024-10-31,LN-500518,0,9322.37,0,Current
2024-10-31,LN-500519,0,"33,309.40",0,Current
2024-10-31,LN-500520,0,29505.57,0,Current
2024-10-31,LN-500521,0,39373.98,0,Current
2024-10-31,LN-500522,0,33036.68,0,Current
2024-10-31,LN-500523,0,34609.51,0,Current
2024-10-31,LN-500524,0,21842.77,0,Current
2024-10-31,LN-500525,0,25764.14,0,Current
2024-10-31,LN-500526,0,34422.39,0,Current
2024-10-31,LN-500527,0,12207.24,0,Current
2024-10-31,LN-500528,0,45350.39,0,Current
2024-10-31,LN-500529,0,19676.63,0,Current
2024-10-31,LN-500530,0,42362.1,0,Current
2024-10-31,LN-500531,0,7874.91,0,Current
2024-10-31,LN-500532,0,45900.95,0,Current
2024-10-31,LN-500533,0,18609.61,0,Current
2024-10-31,LN-500534,0,22046.87,0,Current
2024-10-31,LN-500535,0,52570.52,0,Current
2024-10-31,LN-500536,0,15553.61,0,Current
2024-10-31,LN-500537,0,33492.22,0,Current
2024-10-31,LN-500538,0,28496.28,0,Current
2024-10-31,LN-500539,0,31134.86,0,Current
2024-10-31,LN-500540,0,34712.11,0,Current
2024-10-31,LN-500541,30,12455.8,982.66,1-30
2024-10-31,LN-500542,0,"19,198.56",0,Current
2024-10-31,LN-500543,0,19920.57,0,Current
2024-10-31,LN-500544,0,29001.18,0,Current
2024-10-31,LN-500545,0,38372.76,0,Current
