client_ref,home_branch_code,province,gender,age_band,employment_type,employer_sector,monthly_income_zar,payday_day
CL-100105,SF-JHB,Gauteng,F,35-44,Permanent,Retail,17000,16
CL-100106,SF-JHB,Gauteng,M,35-44,Permanent,Education,17650,25
CL-100107,SF-JHB,Gauteng,M,55-64,Permanent,Public sector,14100,16
CL-100108,SF-JHB,Gauteng,F,25-34,Government,Hospitality,16600,30
CL-100109,SF-JHB,Gauteng,F,25-34,Permanent,Transport,15300,25
CL-100110,SF-JHB,Gauteng,F,35-44,Permanent,Security,17750,25
CL-100111,SF-JHB,Gauteng,F,25-34,Permanent,Healthcare,5050,30
CL-100112,SF-JHB,Gauteng,M,25-34,Permanent,Healthcare,11700,18
CL-100113,SF-JHB,Gauteng,F,18-24,Permanent,Mining,18950,25
CL-100114,SF-JHB,Gauteng,F,25-34,Permanent,Transport,11150,25
CL-100115,SF-JHB,Gauteng,F,35-44,Government,Transport,11150,30
CL-100116,SF-JHB,Gauteng,M,25-34,Permanent,Hospitality,12950,14
CL-100117,SF-JHB,Gauteng,F,35-44,Permanent,Security,7000,16
CL-100118,SF-JHB,Gauteng,M,45-54,Permanent,Public sector,11800,25
CL-100119,SF-JHB,Gauteng,M,25-34,Government,Public sector,10850,2
CL-100120,SF-JHB,Gauteng,F,25-34,Permanent,Public sector,16250,30
CL-100121,SF-JHB,Gauteng,M,35-44,Permanent,Transport,7450,30
CL-100122,SF-JHB,Gauteng,F,55-64,Contract,Security,9250,25
CL-100123,SF-JHB,Gauteng,M,25-34,Permanent,Construction,18600,30
CL-100124,SF-JHB,Gauteng,F,35-44,Permanent,Retail,8500,25
CL-100125,SF-JHB,Gauteng,M,25-34,Permanent,Public sector,11550,27
CL-100126,SF-JHB,Gauteng,M,55-64,Contract,Manufacturing,9250,25
CL-100127,SF-JHB,Gauteng,F,25-34,Permanent,Transport,11700,25
CL-100128,SF-JHB,Gauteng,M,35-44,Contract,Healthcare,9350,25
CL-100129,SF-JHB,Gauteng,M,45-54,Permanent,Manufacturing,7850,25
CL-100130,SF-JHB,Gauteng,M,55-64,Permanent,Security,6850,25
CL-100131,SF-JHB,Gauteng,F,35-44,Permanent,Healthcare,16800,25
CL-100132,SF-JHB,Gauteng,F,25-34,Government,Public sector,16850,30
CL-100133,SF-JHB,Gauteng,M,25-34,Permanent,Education,14850,25
CL-100134,SF-JHB,Gauteng,M,55-64,Permanent,Public sector,43150,25
CL-100135,SF-JHB,Gauteng,F,25-34,Permanent,Construction,5450,25
CL-100136,SF-JHB,Gauteng,F,45-54,Permanent,Manufacturing,8950,3
CL-100137,SF-JHB,Gauteng,F,55-64,Permanent,Security,11400,25
CL-100138,SF-JHB,Gauteng,F,25-34,Contract,Manufacturing,17500,25
CL-100139,SF-JHB,Gauteng,F,55-64,Contract,Hospitality,9400,25
CL-100140,SF-JHB,Gauteng,F,55-64,Permanent,Retail,8750,25
CL-100141,SF-JHB,Gauteng,F,35-44,Permanent,Hospitality,27900,30
CL-100142,SF-JHB,Gauteng,M,35-44,Government,Mining,14100,30
CL-100143,SF-JHB,Gauteng,M,25-34,Government,Retail,23550,24
CL-100144,SF-JHB,Gauteng,F,18-24,Government,Manufacturing,22450,30
CL-100145,SF-JHB,Gauteng,M,45-54,Permanent,Construction,7750,30
CL-100146,SF-JHB,Gauteng,M,18-24,Government,Retail,14700,21
CL-100147,SF-JHB,Gauteng,F,25-34,Permanent,Transport,9900,30
CL-100148,SF-JHB,Gauteng,M,18-24,Permanent,Retail,17000,25
CL-100149,SF-JHB,Gauteng,M,25-34,Contract,Hospitality,15950,25
CL-100150,SF-JHB,Gauteng,M,55-64,Permanent,Mining,4250,25
CL-100151,SF-JHB,Gauteng,F,18-24,Permanent,Mining,17700,25
CL-100152,SF-JHB,Gauteng,F,35-44,Permanent,Education,27200,30
CL-100153,SF-JHB,Gauteng,M,55-64,Permanent,Hospitality,16450,25
CL-100154,SF-JHB,Gauteng,F,35-44,Contract,Construction,9350,8
CL-100155,SF-JHB,Gauteng,F,25-34,Permanent,Manufacturing,23950,25
CL-100156,SF-JHB,Gauteng,F,25-34,Permanent,Construction,17450,30
CL-100157,SF-JHB,Gauteng,M,25-34,Permanent,Education,6050,25
CL-100158,SF-JHB,Gauteng,M,18-24,Contract,Public sector,28450,25
CL-100159,SF-JHB,Gauteng,M,55-64,Permanent,Transport,19350,30
CL-100160,SF-JHB,Gauteng,M,18-24,Permanent,Manufacturing,24000,25
CL-100161,SF-JHB,Gauteng,M,45-54,Pensioner,Transport,26050,25
CL-100162,SF-JHB,Gauteng,F,45-54,Government,Manufacturing,9400,30
CL-100163,SF-JHB,Gauteng,F,35-44,Permanent,Manufacturing,10050,30
CL-100164,SF-JHB,Gauteng,M,45-54,Permanent,Transport,11700,8
CL-100165,SF-JHB,Gauteng,M,55-64,Permanent,Transport,11100,25
CL-100166,SF-JHB,Gauteng,F,25-34,Permanent,Education,21250,25
CL-100167,SF-JHB,Gauteng,M,35-44,Government,Public sector,16350,25
CL-100168,SF-JHB,Gauteng,F,35-44,Permanent,Transport,25700,25
CL-100169,SF-JHB,Gauteng,F,18-24,Permanent,Public sector,18350,25
CL-100170,SF-JHB,Gauteng,M,25-34,Permanent,Manufacturing,12200,25
CL-100171,SF-JHB,Gauteng,M,18-24,Permanent,Mining,7550,25
CL-100172,SF-JHB,Gauteng,F,25-34,Government,Public sector,10850,30
CL-100173,SF-JHB,Gauteng,M,18-24,Permanent,Education,12450,25
CL-100174,SF-JHB,Gauteng,F,35-44,Contract,Construction,8950,25
CL-100175,SF-JHB,Gauteng,F,25-34,Permanent,Transport,10800,30
CL-100176,SF-JHB,Gauteng,F,45-54,Permanent,Public sector,13600,25
CL-100177,SF-JHB,Gauteng,M,55-64,Contract,Manufacturing,12500,25
CL-100178,SF-JHB,Gauteng,F,25-34,Contract,Education,20650,25
CL-100179,SF-JHB,Gauteng,M,55-64,Permanent,Public sector,22450,25
CL-100180,SF-JHB,Gauteng,F,35-44,Permanent,Healthcare,20150,30
CL-100181,SF-JHB,Gauteng,M,45-54,Contract,Security,11550,30
CL-100182,SF-JHB,Gauteng,M,25-34,Contract,Mining,10950,25
CL-100183,SF-JHB,Gauteng,F,45-54,Contract,Transport,14850,20
CL-100184,SF-JHB,Gauteng,F,35-44,Permanent,Education,9400,25
CL-100185,SF-JHB,Gauteng,F,55-64,Permanent,Construction,7300,25
CL-100186,SF-JHB,Gauteng,M,25-34,Permanent,Mining,23000,25
CL-100187,SF-JHB,Gauteng,F,35-44,Permanent,Hospitality,12200,30
CL-100188,SF-JHB,Gauteng,F,18-24,Pensioner,Public sector,5850,25
CL-100189,SF-JHB,Gauteng,F,35-44,Contract,Retail,10050,25
CL-100190,SF-JHB,Gauteng,M,45-54,Government,Construction,12700,30
CL-100191,SF-JHB,Gauteng,F,35-44,Government,Manufacturing,8750,25
CL-100192,SF-JHB,Gauteng,F,18-24,Permanent,Construction,11450,25
CL-100193,SF-JHB,Gauteng,F,55-64,Permanent,Healthcare,23950,25
CL-100194,SF-JHB,Gauteng,M,55-64,Government,Security,33900,25
CL-100195,SF-JHB,Gauteng,F,25-34,Contract,Transport,10750,25
CL-100196,SF-JHB,Gauteng,M,35-44,Permanent,Healthcare,23500,30
CL-100197,SF-JHB,Gauteng,F,25-34,Permanent,Construction,14550,14
CL-100198,SF-JHB,Gauteng,F,25-34,Permanent,Hospitality,4200,25
CL-100199,SF-JHB,Gauteng,M,45-54,Permanent,Manufacturing,17600,25
CL-100200,SF-JHB,Gauteng,F,18-24,Contract,Security,17150,25
CL-100201,SF-JHB,Gauteng,F,35-44,Permanent,Hospitality,11800,25
CL-100202,SF-JHB,Gauteng,F,18-24,Contract,Security,17350,30
CL-100203,SF-JHB,Gauteng,F,18-24,Government,Hospitality,12750,25
CL-100204,SF-JHB,Gauteng,M,25-34,Permanent,Construction,16350,30
CL-100205,SF-JHB,Gauteng,F,18-24,Permanent,Security,9250,25
CL-100206,SF-JHB,Gauteng,F,35-44,Permanent,Transport,18300,30
CL-100207,SF-JHB,Gauteng,F,45-54,Government,Healthcare,16650,21
CL-100208,SF-JHB,Gauteng,M,25-34,Government,Transport,13500,25
CL-100209,SF-JHB,Gauteng,M,18-24,Contract,Mining,8550,30
CL-100210,SF-JHB,Gauteng,M,35-44,Permanent,Manufacturing,9200,25
CL-100211,SF-JHB,Gauteng,M,35-44,Permanent,Hospitality,12200,30
CL-100212,SF-JHB,Gauteng,M,55-64,Permanent,Security,8350,25
CL-100213,SF-JHB,Gauteng,F,25-34,Permanent,Transport,5450,30
CL-100214,SF-JHB,Gauteng,F,55-64,Government,Healthcare,17550,25
CL-100215,SF-JHB,Gauteng,M,25-34,Contract,Security,29400,30
CL-100216,SF-JHB,Gauteng,F,18-24,Permanent,Public sector,4350,25
CL-100217,SF-JHB,Gauteng,F,18-24,Permanent,Security,15600,20
CL-100218,SF-JHB,Gauteng,F,18-24,Permanent,Retail,10450,25
CL-100219,SF-JHB,Gauteng,F,25-34,Permanent,Retail,6600,25
CL-100220,SF-JHB,Gauteng,M,25-34,Permanent,Manufacturing,12150,30
CL-100221,SF-JHB,Gauteng,M,25-34,Government,Public sector,10550,25
CL-100222,SF-JHB,Gauteng,F,55-64,Permanent,Healthcare,13800,25
CL-100223,SF-JHB,Gauteng,F,25-34,Permanent,Public sector,14900,25
CL-100224,SF-JHB,Gauteng,M,25-34,Permanent,Education,13150,25
CL-100225,SF-JHB,Gauteng,M,35-44,Permanent,Education,11050,8
CL-100226,SF-JHB,Gauteng,F,35-44,Permanent,Mining,20700,25
CL-100227,SF-JHB,Gauteng,F,25-34,Permanent,Healthcare,11600,30
CL-100228,SF-JHB,Gauteng,M,35-44,Permanent,Transport,19550,25
CL-100229,SF-JHB,Gauteng,F,55-64,Permanent,Construction,10700,25
CL-100230,SF-JHB,Gauteng,F,55-64,Pensioner,Manufacturing,8650,25
CL-100231,SF-JHB,Gauteng,F,18-24,Permanent,Hospitality,21950,17
CL-100232,SF-JHB,Gauteng,F,45-54,Pensioner,Retail,12600,25
CL-100233,SF-JHB,Gauteng,M,45-54,Permanent,Public sector,19000,24
CL-100234,SF-JHB,Gauteng,F,45-54,Government,Healthcare,18100,25
CL-100235,SF-JHB,Gauteng,F,35-44,Contract,Healthcare,11550,25
CL-100236,SF-JHB,Gauteng,F,25-34,Permanent,Transport,10100,30
CL-100237,SF-JHB,Gauteng,F,18-24,Permanent,Mining,12550,25
CL-100238,SF-JHB,Gauteng,M,18-24,Contract,Education,10000,25
CL-100239,SF-JHB,Gauteng,M,25-34,Pensioner,Construction,30650,25
CL-100240,SF-JHB,Gauteng,F,18-24,Contract,Hospitality,8550,25
CL-100241,SF-JHB,Gauteng,F,25-34,Permanent,Transport,4950,25
CL-100242,SF-JHB,Gauteng,M,35-44,Permanent,Security,14400,25
CL-100243,SF-JHB,Gauteng,M,55-64,Contract,Education,14600,30
CL-100244,SF-JHB,Gauteng,M,55-64,Contract,Mining,13500,30
CL-100245,SF-JHB,Gauteng,M,35-44,Contract,Public sector,20900,30
CL-100246,SF-JHB,Gauteng,F,35-44,Permanent,Manufacturing,12700,25
CL-100247,SF-JHB,Gauteng,M,18-24,Permanent,Manufacturing,14950,25
CL-100248,SF-JHB,Gauteng,F,35-44,Permanent,Hospitality,5850,25
CL-100249,SF-JHB,Gauteng,F,35-44,Permanent,Education,13100,25
CL-100250,SF-JHB,Gauteng,F,25-34,Permanent,Manufacturing,7200,25
CL-100251,SF-JHB,Gauteng,M,55-64,Pensioner,Security,15650,25
CL-100252,SF-JHB,Gauteng,M,35-44,Permanent,Hospitality,11000,25
CL-100253,SF-JHB,Gauteng,F,45-54,Permanent,Construction,10500,25
CL-100254,SF-JHB,Gauteng,F,35-44,Government,Transport,7700,25
CL-100255,SF-JHB,Gauteng,F,35-44,Permanent,Public sector,11300,25
CL-100256,SF-JHB,Gauteng,F,45-54,Permanent,Healthcare,7850,21
CL-100257,SF-JHB,Gauteng,F,35-44,Permanent,Healthcare,8200,25
CL-100258,SF-JHB,Gauteng,F,25-34,Government,Retail,38900,30
CL-100259,SF-JHB,Gauteng,M,25-34,Government,Mining,7750,30
CL-100260,SF-JHB,Gauteng,F,25-34,Permanent,Retail,10700,30
CL-100261,SF-JHB,Gauteng,F,18-24,Permanent,Mining,8650,25
CL-100262,SF-JHB,Gauteng,F,45-54,Contract,Healthcare,32550,25
CL-100263,SF-JHB,Gauteng,M,55-64,Permanent,Public sector,6000,30
CL-100264,SF-JHB,Gauteng,F,35-44,Permanent,Retail,13250,30
CL-100265,SF-JHB,Gauteng,M,25-34,Pensioner,Construction,5000,30
CL-100266,SF-JHB,Gauteng,F,18-24,Government,Education,15200,2
CL-100267,SF-JHB,Gauteng,M,18-24,Permanent,Education,29800,25
CL-100268,SF-JHB,Gauteng,F,45-54,Pensioner,Hospitality,28950,25
CL-100269,SF-JHB,Gauteng,F,55-64,Permanent,Healthcare,21500,25
CL-100270,SF-JHB,Gauteng,M,45-54,Permanent,Construction,12000,25
CL-100271,SF-JHB,Gauteng,M,18-24,Permanent,Construction,5250,30
CL-100272,SF-JHB,Gauteng,M,45-54,Permanent,Construction,9050,25
CL-100273,SF-JHB,Gauteng,M,25-34,Government,Transport,13400,25
CL-100274,SF-JHB,Gauteng,M,45-54,Pensioner,Public sector,4400,25
CL-100275,SF-JHB,Gauteng,M,55-64,Contract,Retail,9750,25
CL-100276,SF-JHB,Gauteng,M,18-24,Government,Education,22300,25
CL-100277,SF-JHB,Gauteng,F,55-64,Government,Education,4200,25
CL-100278,SF-JHB,Gauteng,F,18-24,Permanent,Hospitality,9400,25
CL-100279,SF-JHB,Gauteng,M,55-64,Permanent,Hospitality,18900,22
CL-100280,SF-JHB,Gauteng,M,25-34,Permanent,Education,10350,3
CL-100281,SF-JHB,Gauteng,F,18-24,Government,Transport,11250,25
CL-100282,SF-JHB,Gauteng,M,55-64,Contract,Hospitality,6900,25
CL-100283,SF-JHB,Gauteng,F,35-44,Permanent,Healthcare,12900,25
CL-100284,SF-JHB,Gauteng,F,25-34,Permanent,Security,12600,23
CL-100285,SF-JHB,Gauteng,M,45-54,Permanent,Public sector,9250,7
CL-100286,SF-JHB,Gauteng,F,45-54,Government,Manufacturing,17900,25
CL-100287,SF-JHB,Gauteng,F,35-44,Permanent,Education,10600,25
CL-100288,SF-JHB,Gauteng,M,45-54,Permanent,Healthcare,18950,25
CL-100289,SF-JHB,Gauteng,M,45-54,Permanent,Healthcare,12000,30
CL-100290,SF-JHB,Gauteng,F,35-44,Government,Hospitality,18800,25
CL-100291,SF-JHB,Gauteng,F,55-64,Permanent,Healthcare,6650,25
CL-100292,SF-JHB,Gauteng,F,35-44,Permanent,Healthcare,28700,30
CL-100293,SF-JHB,Gauteng,M,18-24,Permanent,Manufacturing,13950,25
CL-100294,SF-JHB,Gauteng,M,18-24,Permanent,Manufacturing,9100,30
CL-100295,SF-JHB,Gauteng,M,25-34,Permanent,Security,5450,25
CL-100296,SF-JHB,Gauteng,M,55-64,Permanent,Public sector,9050,30
CL-100297,SF-JHB,Gauteng,F,25-34,Contract,Transport,4200,25
CL-100298,SF-JHB,Gauteng,F,25-34,Government,Construction,5750,30
CL-100299,SF-JHB,Gauteng,F,45-54,Permanent,Construction,11900,25
CL-100300,SF-JHB,Gauteng,F,25-34,Permanent,Healthcare,10600,25
CL-100301,SF-JHB,Gauteng,M,45-54,Pensioner,Transport,12250,30
CL-100302,SF-JHB,Gauteng,M,25-34,Permanent,Healthcare,14050,25
CL-100303,SF-JHB,Gauteng,M,45-54,Government,Public sector,15150,25
CL-100304,SF-JHB,Gauteng,F,25-34,Government,Public sector,8600,25
CL-100305,SF-JHB,Gauteng,F,25-34,Pensioner,Public sector,19600,25
CL-100306,SF-JHB,Gauteng,F,35-44,Permanent,Healthcare,11650,25
CL-100307,SF-JHB,Gauteng,M,45-54,Permanent,Hospitality,11800,1
CL-100308,SF-JHB,Gauteng,M,35-44,Contract,Mining,15350,27
CL-100309,SF-JHB,Gauteng,F,18-24,Permanent,Retail,6750,25
CL-100310,SF-JHB,Gauteng,F,25-34,Permanent,Mining,26050,25
CL-100311,SF-JHB,Gauteng,M,25-34,Permanent,Mining,14400,30
CL-100312,SF-JHB,Gauteng,F,25-34,Permanent,Retail,9150,25
CL-100313,SF-JHB,Gauteng,M,25-34,Permanent,Construction,10800,25
CL-100314,SF-JHB,Gauteng,M,35-44,Permanent,Hospitality,10900,25
CL-100315,SF-JHB,Gauteng,M,18-24,Permanent,Manufacturing,7150,25
CL-100316,SF-JHB,Gauteng,M,18-24,Permanent,Education,8750,25
CL-100317,SF-JHB,Gauteng,M,55-64,Government,Security,9750,25
CL-100318,SF-JHB,Gauteng,F,25-34,Government,Healthcare,11900,25
CL-100319,SF-JHB,Gauteng,M,55-64,Contract,Construction,9150,25
CL-100320,SF-JHB,Gauteng,M,55-64,Permanent,Retail,11550,25
CL-100321,SF-JHB,Gauteng,M,18-24,Permanent,Healthcare,8100,25
CL-100322,SF-JHB,Gauteng,M,55-64,Contract,Education,7050,25
CL-100323,SF-JHB,Gauteng,F,45-54,Permanent,Public sector,10950,25
CL-100324,SF-JHB,Gauteng,F,25-34,Permanent,Mining,9800,25
CL-100325,SF-JHB,Gauteng,M,35-44,Pensioner,Retail,9050,25
CL-100326,SF-JHB,Gauteng,F,25-34,Permanent,Retail,12900,25
CL-100327,SF-JHB,Gauteng,F,55-64,Contract,Public sector,20350,25
CL-100328,SF-JHB,Gauteng,F,18-24,Contract,Transport,12200,17
CL-100329,SF-JHB,Gauteng,F,35-44,Government,Transport,22150,25
CL-100330,SF-JHB,Gauteng,M,25-34,Permanent,Healthcare,6700,30
CL-100331,SF-JHB,Gauteng,F,25-34,Permanent,Education,15750,25
CL-100332,SF-JHB,Gauteng,F,18-24,Permanent,Transport,9250,25
CL-100333,SF-JHB,Gauteng,F,45-54,Permanent,Security,18800,25
CL-100334,SF-JHB,Gauteng,M,25-34,Permanent,Retail,18050,25
CL-100335,SF-JHB,Gauteng,M,45-54,Permanent,Mining,21400,25
CL-100336,SF-JHB,Gauteng,F,55-64,Permanent,Education,7850,25
CL-100337,SF-JHB,Gauteng,M,55-64,Permanent,Security,7350,25
CL-100338,SF-JHB,Gauteng,F,35-44,Permanent,Retail,14000,25
CL-100339,SF-JHB,Gauteng,F,45-54,Government,Hospitality,11400,25
CL-100340,SF-JHB,Gauteng,F,35-44,Government,Security,19300,25
CL-100341,SF-JHB,Gauteng,F,25-34,Pensioner,Mining,16000,25
CL-100342,SF-JHB,Gauteng,F,18-24,Permanent,Healthcare,26150,25
CL-100343,SF-JHB,Gauteng,F,45-54,Contract,Manufacturing,34050,30
CL-100344,SF-JHB,Gauteng,F,18-24,Permanent,Transport,6400,2
CL-100345,SF-JHB,Gauteng,F,45-54,Permanent,Public sector,22800,25
CL-100346,SF-JHB,Gauteng,M,35-44,Permanent,Retail,21950,25
CL-100347,SF-JHB,Gauteng,F,25-34,Contract,Construction,15450,25
CL-100348,SF-JHB,Gauteng,M,18-24,Permanent,Transport,10100,25
CL-100349,SF-JHB,Gauteng,F,25-34,Permanent,Education,28100,28
CL-100350,SF-JHB,Gauteng,F,25-34,Contract,Manufacturing,6650,30
CL-100351,SF-JHB,Gauteng,F,45-54,Permanent,Security,19400,27
CL-100352,SF-JHB,Gauteng,F,25-34,Permanent,Construction,9100,30
CL-100353,SF-JHB,Gauteng,F,25-34,Permanent,Public sector,24350,25
CL-100354,SF-JHB,Gauteng,M,25-34,Permanent,Mining,8350,30
