loan_id,writeoff_date,outstanding_at_writeoff_zar,recovery_to_date_zar
LN-504119,2025-07-31,47680.11,976.83
LN-504131,2025-07-31,24972.6,3671.8
LN-504233,2025-07-31,47874.85,1849.42
LN-504271,2025-07-31,16707.26,1539.72
LN-504315,2025-07-31,12358.69,109.39
LN-504377,2025-07-31,21772.72,1507.63
LN-504508,2025-07-31,53169.06,4210.74
LN-504648,2025-07-31,27072.28,3313.3
LN-504654,2025-07-31,28247.05,1325.2
LN-500140,2025-08-31,24788.97,442.8
LN-500190,2025-08-31,23794.46,2015.82
LN-500192,2025-08-31,20401.29,639.59
LN-500207,2025-08-31,10088.17,304.02
LN-500259,2025-08-31,34759.54,0
LN-500410,2025-08-31,14165.59,82.18
LN-500440,2025-08-31,12721.81,1364.86
LN-500462,2025-08-31,24428.49,1594.44
LN-500529,2025-08-31,9593.83,871.22
LN-500564,2025-08-31,2938.37,354.74
LN-500625,2025-08-31,20758.92,1823.25
LN-500768,2025-08-31,15114.36,1280.91
LN-501039,2025-08-31,23268.06,2298.56
LN-501077,2025-08-31,22062.41,418.83
LN-501095,2025-08-31,7491.4,779.47
LN-501575,2025-08-31,10673.22,935.28
LN-501615,2025-08-31,21257.79,372.04
LN-501803,2025-08-31,38591.75,4148.66
LN-501942,2025-08-31,23216.12,413.42
LN-501944,2025-08-31,20877.69,2007.93
LN-501979,2025-08-31,36498.56,3218.21
LN-502265,2025-08-31,14529.88,931.99
LN-502290,2025-08-31,24635.79,1612.13
LN-502304,2025-08-31,13554.02,1443.05
LN-502342,2025-08-31,25495.08,1439.31
LN-502392,2025-08-31,24308.49,1262.08
LN-502564,2025-08-31,14219.96,934.97
LN-502682,2025-08-31,25664.5,1390.52
LN-502691,2025-08-31,43009.68,3131.16
LN-503144,2025-08-31,16337.89,547.13
LN-503163,2025-08-31,25303.39,2443.88
LN-503233,2025-08-31,33527.15,4654.31
LN-503551,2025-08-31,42642.29,7155.03
LN-503563,2025-08-31,12475.08,833.09
LN-503656,2025-08-31,40980.61,1033.53
LN-503679,2025-08-31,48496.37,7148.11
LN-503698,2025-08-31,24093.28,3027.69
LN-503804,2025-08-31,29901.17,0
LN-503978,2025-08-31,14738.21,0
LN-504175,2025-08-31,52073.98,3488.87
LN-504180,2025-08-31,16945.21,1252.94
LN-504202,2025-08-31,29815.37,1535.73
LN-504290,2025-08-31,25365.72,2189.46
LN-504330,2025-08-31,25171.11,2545.85
LN-504350,2025-08-31,52514.97,6667.88
LN-504440,2025-08-31,11256.84,2205.38
LN-504519,2025-08-31,33662.09,2105.41
LN-504622,2025-08-31,19796.88,1041.16
LN-504681,2025-08-31,24412,1149.01
LN-504788,2025-08-31,10624.74,737.37
LN-504836,2025-08-31,25668.64,3559.16
LN-504985,2025-08-31,18244.9,2086.39
LN-505057,2025-08-31,30749.01,1901.9
LN-505147,2025-08-31,12983.27,1460.01
LN-505221,2025-08-31,56539.35,7989.86
LN-505272,2025-08-31,23922.85,1710.91
LN-505326,2025-08-31,24771.61,1194.4
LN-505360,2025-08-31,13573.54,0
LN-505423,2025-08-31,43447.62,6680.07
LN-505438,2025-08-31,43203.78,628.3
LN-500033,2025-09-30,9293.94,1719.74
LN-500047,2025-09-30,10065.55,123.45
LN-500260,2025-09-30,18051.35,1612.85
LN-500314,2025-09-30,17776.47,957.82
LN-500420,2025-09-30,19825.07,373.87
LN-500446,2025-09-30,11632.25,919.7
LN-500482,2025-09-30,14537.04,1431.74
LN-500573,2025-09-30,13378.91,695.61
LN-500905,2025-09-30,26761.79,0
LN-500984,2025-09-30,35990.48,3500.89
LN-501094,2025-09-30,40262.18,1762.57
LN-501258,2025-09-30,16036.15,1185.17
LN-501318,2025-09-30,13738.84,839.14
LN-501413,2025-09-30,43545.86,443.55
LN-501435,2025-09-30,28037.8,41.78
LN-501488,2025-09-30,8940.43,120.63
LN-501584,2025-09-30,16089,2349.55
LN-501919,2025-09-30,20508.35,297.61
LN-502119,2025-09-30,13929.9,453.4
LN-502358,2025-09-30,17493.86,1265.16
LN-502402,2025-09-30,8344.49,170.02
LN-502657,2025-09-30,20568.69,2936.99
LN-502772,2025-09-30,21476.81,1946.5
LN-502883,2025-09-30,17361.67,948.28
LN-502990,2025-09-30,15912.84,335.52
LN-503021,2025-09-30,12359.81,862.31
LN-503089,2025-09-30,18444.65,1586.63
LN-503166,2025-09-30,10725.82,457.36
LN-503440,2025-09-30,10015.7,366.13
LN-503471,2025-09-30,8502.22,1469.42
LN-503533,2025-09-30,25105.91,2001.97
LN-503624,2025-09-30,14163.68,867.15
LN-503754,2025-09-30,34525.34,3775.87
LN-503833,2025-09-30,46972.18,4059.48
LN-503843,2025-09-30,20404.9,418.83
LN-503886,2025-09-30,41669.99,4228
LN-503901,2025-09-30,18004.24,384.73
LN-503923,2025-09-30,7204.31,522.25
LN-503926,2025-09-30,26761.58,1704.72
LN-503970,2025-09-30,26614.86,664.72
LN-504008,2025-09-30,45322.67,1017.64
LN-504112,2025-09-30,6258.28,0
LN-504168,2025-09-30,13413.06,31.16
LN-504205,2025-09-30,10754.38,985.38
LN-504245,2025-09-30,50778.3,2379.06
LN-504260,2025-09-30,16444.98,124.4
LN-504375,2025-09-30,48684.9,5998.43
LN-504578,2025-09-30,49410.71,4488.3
LN-504581,2025-09-30,31293.77,1077.12
LN-504628,2025-09-30,13927.62,498.3
LN-504655,2025-09-30,10160.6,317.42
LN-504673,2025-09-30,36296.97,488.65
LN-504686,2025-09-30,14320.32,915.14
LN-504688,2025-09-30,52898.77,5536.24
LN-504820,2025-09-30,38079.25,2665.94
LN-504907,2025-09-30,48981.05,6425.66
LN-504992,2025-09-30,13034.44,1354.09
LN-505207,2025-09-30,23071.64,475.47
LN-505523,2025-09-30,25968.61,375.09
LN-505552,2025-09-30,37638.77,2974.25
LN-505650,2025-09-30,28351.01,2356.74
LN-505685,2025-09-30,15846.35,1459.48
LN-505745,2025-09-30,20898.83,545.12
LN-505758,2025-09-30,43214.88,4526.16
LN-505776,2025-09-30,53236.06,4506.08
LN-505841,2025-09-30,11893.74,1689.21
LN-505859,2025-09-30,32040.91,2157.53
LN-505917,2025-09-30,18805.55,1917.75
LN-505919,2025-09-30,24858.02,0
LN-505932,2025-09-30,40109.95,605.35
LN-506046,2025-09-30,23290.7,5.89
LN-506068,2025-09-30,52118.7,2417.96
LN-506180,2025-09-30,19560.58,1405
LN-506357,2025-09-30,43304.66,3692.31
LN-500411,2025-10-31,8905.32,742.18
LN-500543,2025-10-31,12779.12,75.32
LN-500595,2025-10-31,26635.4,2379.91
LN-500850,2025-10-31,19603.07,0
LN-500886,2025-10-31,21708.65,1177.47
LN-500969,2025-10-31,6934.03,540.22
LN-501088,2025-10-31,5864.43,566.69
LN-501162,2025-10-31,7249.84,271.15
LN-501769,2025-10-31,13204.75,1178.77
LN-501901,2025-10-31,10745.8,1146.85
LN-501982,2025-10-31,21909.34,1169.37
LN-502071,2025-10-31,15988.39,945.45
LN-502083,2025-10-31,13270.21,1328.13
LN-502180,2025-10-31,9614.24,529.69
LN-502256,2025-10-31,17992.37,1831.2
LN-502510,2025-10-31,12693.05,42.31
LN-502611,2025-10-31,20635.94,918.88
LN-502614,2025-10-31,23604.44,1518.6
LN-502794,2025-10-31,40481.25,1105.52
LN-502919,2025-10-31,32163.75,453.33
LN-503134,2025-10-31,5927.22,360.21
LN-503160,2025-10-31,41834.18,483.31
LN-503290,2025-10-31,8424.27,467.45
LN-503408,2025-10-31,27140.45,1687.15
LN-503525,2025-10-31,20557.37,579.36
LN-503587,2025-10-31,18534.7,1159.45
LN-503610,2025-10-31,20839.43,1942.51
LN-503645,2025-10-31,8525.18,735.13
LN-503767,2025-10-31,27489.31,5160.8
LN-503785,2025-10-31,9950.16,938.9
LN-503872,2025-10-31,43300.34,3847.61
LN-503918,2025-10-31,21112.87,1021.03
LN-503928,2025-10-31,37102.76,1569.86
LN-504126,2025-10-31,37001.49,1510.33
LN-504143,2025-10-31,13326.46,0
LN-504303,2025-10-31,27082.92,4581.85
LN-504412,2025-10-31,26726.18,3269.07
LN-504434,2025-10-31,35032.68,1477.95
LN-504509,2025-10-31,31675.23,0
LN-504518,2025-10-31,18275.96,1791.33
LN-504584,2025-10-31,12382.59,658.75
LN-504636,2025-10-31,12963.77,739.5
LN-504656,2025-10-31,12332.2,339.48
LN-504975,2025-10-31,32262.19,1027.5
LN-505092,2025-10-31,47259.37,430.5
LN-505250,2025-10-31,42211.24,1882.51
LN-505274,2025-10-31,18204.51,2982.6
LN-505343,2025-10-31,24956.11,2056.54
LN-505419,2025-10-31,50022.24,5731.72
LN-505521,2025-10-31,19515.37,2424.42
LN-505542,2025-10-31,26518.74,2099.19
LN-505558,2025-10-31,17606.95,1966.87
LN-505575,2025-10-31,10136.42,1773.38
LN-505725,2025-10-31,23315.9,1071.17
LN-505889,2025-10-31,22733.63,2589.65
LN-505978,2025-10-31,39981.61,7009.73
LN-506227,2025-10-31,43727.01,5058.71
LN-506329,2025-10-31,47038.87,2201.26
LN-506404,2025-10-31,52874.22,4792.64
LN-506413,2025-10-31,31063.58,2042.1
LN-506468,2025-10-31,56539.35,8311.23
LN-506551,2025-10-31,17140.84,63.87
LN-506867,2025-10-31,29378.4,5169.94
LN-506983,2025-10-31,52166.67,915.76
LN-507013,2025-10-31,28808.49,1443.87
LN-507094,2025-10-31,21982.29,1517.49
LN-507120,2025-10-31,41791.85,5399.53
LN-500477,2025-11-30,17033.54,294.39
LN-500531,2025-11-30,5270.69,69.34
LN-500532,2025-11-30,27332.67,3051.94
LN-500890,2025-11-30,32476.32,1764.41
LN-501137,2025-11-30,16745.32,1908.8
LN-501295,2025-11-30,22731.33,0
LN-501754,2025-11-30,30895.79,2403.14
LN-501825,2025-11-30,3632.65,507.34
LN-501832,2025-11-30,36445.6,3255
LN-502521,2025-11-30,29714.32,2394.9
LN-502587,2025-11-30,39391.64,1984.82
LN-502597,2025-11-30,5512.14,237.9
LN-502740,2025-11-30,11105.58,1328.66
LN-502785,2025-11-30,44916.27,2781.83
LN-502975,2025-11-30,5078.79,784.86
LN-503029,2025-11-30,12460.78,1000.57
LN-503235,2025-11-30,12631.24,1573.39
LN-503353,2025-11-30,22612.84,1695.86
LN-503479,2025-11-30,27931.9,1664.86
LN-503688,2025-11-30,13881.8,503.17
LN-503812,2025-11-30,30702.58,1693.19
LN-503849,2025-11-30,20790.6,391.86
LN-504192,2025-11-30,27641.57,2663.82
LN-504293,2025-11-30,17733.95,413.3
LN-504421,2025-11-30,16684.93,1005.57
LN-504546,2025-11-30,18579.37,491.87
LN-504642,2025-11-30,17806.81,1312.08
LN-504828,2025-11-30,21787.92,1443.27
LN-504867,2025-11-30,30889.72,1271.17
LN-504928,2025-11-30,50026.02,2086.29
LN-504983,2025-11-30,11656.75,1346.99
LN-505046,2025-11-30,21061.81,633.44
LN-505112,2025-11-30,44945.64,4429.64
LN-505169,2025-11-30,32524.83,2433.75
LN-505224,2025-11-30,35004.16,933.67
LN-505306,2025-11-30,19671.55,985.55
LN-505327,2025-11-30,42871.14,3457.48
LN-505460,2025-11-30,46904.49,2609.34
LN-505504,2025-11-30,41964.97,2440.26
LN-505695,2025-11-30,17475.6,1721.1
LN-505759,2025-11-30,39373.8,6512.15
LN-505858,2025-11-30,20015.66,0
LN-505921,2025-11-30,24144.04,1852.82
LN-505966,2025-11-30,40705.35,4280.94
LN-506015,2025-11-30,14009.67,715.57
LN-506018,2025-11-30,38193.09,4084.13
LN-506088,2025-11-30,31739.75,495.56
LN-506204,2025-11-30,15955.98,951.52
LN-506235,2025-11-30,47473.45,478.74
LN-506332,2025-11-30,14817.54,2027.17
LN-506377,2025-11-30,26195.26,183.59
LN-506504,2025-11-30,26622.91,1387.17
LN-506519,2025-11-30,54576.63,8969.83
LN-506635,2025-11-30,22496.45,1203.67
LN-506667,2025-11-30,31479.19,1882.88
LN-506673,2025-11-30,33101.83,2584.87
LN-506737,2025-11-30,19468.13,2718.89
LN-506745,2025-11-30,44040.22,5001.71
LN-506806,2025-11-30,51983.28,835.59
LN-506827,2025-11-30,42055.74,2404.55
LN-506854,2025-11-30,9505.03,701.52
LN-506948,2025-11-30,42882.42,2530.7
LN-506976,2025-11-30,15514.62,1089.78
LN-507100,2025-11-30,9290.57,481.75
LN-507108,2025-11-30,36901.14,7841.52
LN-507287,2025-11-30,22935.09,345.81
LN-507314,2025-11-30,23241.53,1285.47
LN-507320,2025-11-30,25057.9,2201.53
LN-507450,2025-11-30,28473,3382.35
LN-507489,2025-11-30,27665.73,1889.96
LN-507496,2025-11-30,32009.16,4016.62
LN-507499,2025-11-30,17826.36,1072.43
LN-507571,2025-11-30,31700.3,2604.13
LN-507581,2025-11-30,54953.87,1383.15
LN-507613,2025-11-30,25533.25,2897.84
LN-507626,2025-11-30,44918.6,4745.09
LN-507645,2025-11-30,18627.06,566.77
LN-507663,2025-11-30,37409.18,0
LN-507750,2025-11-30,25069.72,562.51
LN-507782,2025-11-30,42913.15,0
LN-507822,2025-11-30,22384.9,1864.11
LN-507862,2025-11-30,56539.35,8593.31
LN-507949,2025-11-30,24412,1816.45
LN-500055,2025-12-31,9815.58,337.11
LN-500068,2025-12-31,27425.55,1512.62
LN-501066,2025-12-31,13183.41,133.82
LN-501079,2025-12-31,24740.84,1021.54
LN-501347,2025-12-31,11669.25,849.64
LN-501470,2025-12-31,31075.83,1059.32
LN-501476,2025-12-31,12919.18,358.81
LN-501511,2025-12-31,9188.15,377.13
LN-501564,2025-12-31,23450.02,2027.4
LN-501626,2025-12-31,9959.16,754.47
LN-501676,2025-12-31,23036.17,0
LN-501960,2025-12-31,29955.61,3682.7
LN-502433,2025-12-31,21081.75,2100.91
LN-502607,2025-12-31,5235.34,199.95
LN-503001,2025-12-31,36369.82,0
LN-503114,2025-12-31,24970.12,4038.78
LN-503242,2025-12-31,10814.92,1800.7
LN-503699,2025-12-31,10131.78,0
LN-503852,2025-12-31,22655.66,2107.43
LN-504016,2025-12-31,14709.09,2205.64
LN-504084,2025-12-31,22573.05,1942.96
LN-504124,2025-12-31,43637.5,3056.19
LN-504190,2025-12-31,17043.25,1379.49
LN-504495,2025-12-31,31594.02,3416.9
LN-504558,2025-12-31,33759,1563.64
LN-504599,2025-12-31,26319,1863.34
LN-504763,2025-12-31,12462.51,0
LN-504895,2025-12-31,14426.68,189.32
LN-504960,2025-12-31,12458.66,120.61
LN-505114,2025-12-31,16977.02,1098.95
LN-505144,2025-12-31,38315.07,2686.23
LN-505218,2025-12-31,9019.62,0
LN-505234,2025-12-31,35027.92,260.32
LN-505357,2025-12-31,20707.18,1202.91
LN-505499,2025-12-31,14068.49,259.34
LN-505530,2025-12-31,17777.26,1752.52
LN-505548,2025-12-31,25648.93,4650.21
LN-505595,2025-12-31,48941.85,3952.06
LN-505999,2025-12-31,14405.51,11.16
LN-506066,2025-12-31,23935.34,3706.52
LN-506182,2025-12-31,39268.5,3397.87
LN-506253,2025-12-31,20220.46,616.02
LN-506269,2025-12-31,14695.21,1143.35
LN-506318,2025-12-31,26003.47,2439.71
LN-506337,2025-12-31,24500.84,2939.63
LN-506344,2025-12-31,30920.35,2201.8
LN-506351,2025-12-31,15682.45,1183.07
LN-506573,2025-12-31,25322.16,2875.42
LN-506581,2025-12-31,44866.74,0
LN-506605,2025-12-31,47764.13,6299.15
LN-506642,2025-12-31,41002.77,2560.82
LN-506680,2025-12-31,44013.11,6203.74
LN-506845,2025-12-31,21590.05,2160.22
LN-506935,2025-12-31,7449.05,471.88
LN-506971,2025-12-31,26231.22,1315.24
LN-506978,2025-12-31,24057.19,2848.43
LN-507001,2025-12-31,11674.58,0
LN-507047,2025-12-31,50022.23,2104.34
LN-507091,2025-12-31,11516.51,241.63
LN-507124,2025-12-31,13128.77,417.58
LN-507177,2025-12-31,19803.16,1113.45
LN-507504,2025-12-31,41231.69,146.72
LN-507517,2025-12-31,25740.3,2969.25
LN-507526,2025-12-31,18336.67,0
LN-507745,2025-12-31,44180.08,0
LN-507794,2025-12-31,39823.07,1160.96
LN-507798,2025-12-31,14345.2,1193.7
LN-507844,2025-12-31,47213.43,6033.33
LN-507990,2025-12-31,10077.57,777.58
LN-507996,2025-12-31,13759.75,1934.74
LN-508035,2025-12-31,31700.3,515.38
LN-508050,2025-12-31,29529.87,4027.11
LN-508079,2025-12-31,56539.35,7925.06
LN-508080,2025-12-31,44328.62,3837.37
LN-508094,2025-12-31,56539.35,6341.66
LN-508113,2025-12-31,32813.87,674.93
LN-508140,2025-12-31,41060.58,3269.92
LN-508146,2025-12-31,56539.35,3476.84
LN-508170,2025-12-31,16103.6,568.39
LN-508220,2025-12-31,33996.46,2619.29
LN-508238,2025-12-31,24972.6,2498.46
LN-508281,2025-12-31,44434.39,2126.57
LN-508343,2025-12-31,36004.81,2809.49
LN-508370,2025-12-31,17123.6,2514.49
LN-508385,2025-12-31,13162.89,1566.84
LN-508406,2025-12-31,25533.25,0
LN-508458,2025-12-31,13980.5,692
LN-508554,2025-12-31,41590.7,567.29
LN-508624,2025-12-31,24836.23,1067.61
LN-508665,2025-12-31,10956.55,839.96
LN-508744,2025-12-31,46608.05,6379.93
LN-508769,2025-12-31,38558.83,7553.01
LN-500327,2026-01-31,20613.82,2157
LN-500398,2026-01-31,18529.11,0
LN-500401,2026-01-31,13738.54,759.11
LN-500861,2026-01-31,5959.55,305.67
LN-500880,2026-01-31,8813.69,479.62
LN-501107,2026-01-31,23953.75,3046.77
LN-501158,2026-01-31,20516.78,2209.8
LN-501191,2026-01-31,23346.26,1942.06
LN-501275,2026-01-31,30975.55,2091.4
LN-501348,2026-01-31,7264.98,553.39
LN-501361,2026-01-31,13954.86,0
LN-501531,2026-01-31,14635.7,618.12
LN-502034,2026-01-31,39333.06,1285.25
LN-502095,2026-01-31,34859.58,922.5
LN-502422,2026-01-31,15845.76,2094.74
LN-502481,2026-01-31,8909.36,823.26
LN-502588,2026-01-31,18026.61,241.31
LN-502637,2026-01-31,32612.09,3047.65
LN-502888,2026-01-31,5452.4,566.11
LN-503115,2026-01-31,10153.01,762.75
LN-503124,2026-01-31,10327.33,1294.04
LN-503328,2026-01-31,11817.17,167.61
LN-503345,2026-01-31,6301.57,0
LN-503583,2026-01-31,18696.45,2355.65
LN-503594,2026-01-31,9698.31,216.31
LN-503949,2026-01-31,31820.63,3856.69
LN-504046,2026-01-31,25869.42,2239.67
LN-504127,2026-01-31,24258.28,2033.44
LN-504141,2026-01-31,15661.72,1466.13
LN-504150,2026-01-31,4869.43,234.54
LN-504163,2026-01-31,8968.19,606.6
LN-504217,2026-01-31,28763.74,3130.86
LN-504221,2026-01-31,23640.42,2632.89
LN-504289,2026-01-31,31510.36,1637.66
LN-504318,2026-01-31,10276.3,691.46
LN-504586,2026-01-31,24969.92,2143.18
LN-504660,2026-01-31,25025.45,2688.34
LN-504939,2026-01-31,12866.3,0
LN-504984,2026-01-31,18498.19,581.84
LN-504999,2026-01-31,16625.11,778.24
LN-505054,2026-01-31,43637.5,1985.46
LN-505305,2026-01-31,6619.59,622.58
LN-505344,2026-01-31,11416.14,1248.29
LN-505394,2026-01-31,19190.48,18.44
LN-505408,2026-01-31,16852.8,0.38
LN-505463,2026-01-31,22600,3575.81
LN-505526,2026-01-31,23366.88,1120.95
LN-505628,2026-01-31,14463.51,0
LN-505659,2026-01-31,13577.88,1694.32
LN-505907,2026-01-31,44553.3,3826.64
LN-505941,2026-01-31,13120.02,776.88
LN-506044,2026-01-31,9435.66,331.13
