trip_id,trip_date,lane_id,direction,vehicle_id,driver_id,origin_depot_code,planned_depart,actual_depart,planned_arrive,actual_arrive,distance_km,load_kg,load_m3,is_empty
TRP-500045,2024-09-02,LN-116,Outbound,VEH-2084,DRV-482,KES-DBN,2024-09-02 10:00,2024-09-02 10:17,2024-09-02 11:12,2024-09-02 11:35,82,7920,26.36,N
TRP-500046,2024-09-02,LN-116,Return,VEH-2082,DRV-465,KES-DBN,02/09/2024 12:00,02/09/2024 12:41,02/09/2024 13:12,02/09/2024 13:54,81,7345,33.62,N
TRP-500047,2024-09-02,LN-116,Outbound,VEH-2077,DRV-480,KES-DBN,02/09/2024 13:00,02/09/2024 13:00,02/09/2024 14:12,02/09/2024 14:21,81,12866,49.4,N
TRP-500048,2024-09-02,LN-116,Return,VEH-2075,DRV-471,KES-DBN,2024-09-02 14:00,2024-09-02 15:20,2024-09-02 15:12,2024-09-02 16:21,80,9823,46.12,N
TRP-500049,2024-09-02,LN-117,Outbound,VEH-2077,DRV-469,KES-DBN,2024-09-02 05:00,2024-09-02 05:30,2024-09-02 07:24,2024-09-02 07:40,180,13405,39.26,N
TRP-500050,2024-09-02,LN-117,Return,VEH-2077,DRV-463,KES-DBN,02/09/2024 17:00,02/09/2024 17:00,02/09/2024 19:24,02/09/2024 19:11,178,0,0,Y
TRP-500051,2024-09-02,LN-119,Outbound,VEH-2101,DRV-501,KES-CPT,2024-09-02 09:00,2024-09-02 09:01,2024-09-03 02:00,2024-09-03 01:28,1381,14642,106.24,N
TRP-500052,2024-09-02,LN-119,Return,VEH-2095,DRV-485,KES-CPT,03/09/2024 06:00,03/09/2024 07:17,03/09/2024 23:00,04/09/2024 00:23,1367,0,0,Y
TRP-500053,2024-09-02,LN-119,Outbound,VEH-2098,DRV-502,KES-CPT,2024-09-02 06:00,2024-09-02 06:08,2024-09-02 23:00,2024-09-02 23:42,1387,32355,60.59,N
TRP-500054,2024-09-02,LN-119,Return,VEH-2094,DRV-512,KES-CPT,2024-09-03 04:00,2024-09-03 04:00,2024-09-03 21:00,2024-09-03 23:15,1372,14509,110.02,N
TRP-500055,2024-09-02,LN-120,Outbound,VEH-2109,DRV-497,KES-CPT,02/09/2024 14:00,02/09/2024 14:26,02/09/2024 23:00,02/09/2024 23:10,763,12909,77.42,N
TRP-500056,2024-09-02,LN-120,Return,VEH-2109,DRV-502,KES-CPT,2024-09-03 03:00,2024-09-03 03:48,2024-09-03 12:00,2024-09-03 13:24,761,9459,73.75,N
TRP-500057,2024-09-02,LN-121,Outbound,VEH-2109,DRV-508,KES-CPT,2024-09-02 10:00,2024-09-02 10:00,2024-09-02 15:00,2024-09-02 14:58,428,18570,55.72,N
TRP-500058,2024-09-02,LN-121,Return,VEH-2105,DRV-494,KES-CPT,2024-09-03 00:00,2024-09-03 00:24,2024-09-03 05:00,2024-09-03 05:03,437,0,0,Y
TRP-500059,2024-09-02,LN-122,Outbound,VEH-2114,DRV-501,KES-CPT,2024-09-02 09:00,2024-09-02 09:26,2024-09-02 10:30,2024-09-02 10:52,108,10461,55.54,N
TRP-500060,2024-09-02,LN-122,Return,VEH-2115,DRV-505,KES-CPT,2024-09-02 17:00,2024-09-02 17:12,2024-09-02 18:30,2024-09-02 18:38,109,11150,47.05,N
TRP-500061,2024-09-02,LN-122,Outbound,VEH-2108,DRV-510,KES-CPT,2024-09-02 10:00,2024-09-02 10:04,2024-09-02 11:30,2024-09-02 11:39,110,9257,76.14,N
TRP-500062,2024-09-02,LN-122,Return,VEH-2102,DRV-512,KES-CPT,2024-09-02 20:00,2024-09-02 20:54,2024-09-02 21:30,2024-09-02 22:27,111,0,0,Y
TRP-500063,2024-09-02,LN-123,Outbound,VEH-2108,DRV-500,KES-CPT,2024-09-02 05:00,2024-09-02 05:27,2024-09-02 05:54,2024-09-02 06:22,59,19555,62.89,N
TRP-500064,2024-09-02,LN-123,Return,VEH-2109,DRV-486,KES-CPT,2024-09-02 14:00,2024-09-02 14:00,2024-09-02 14:54,2024-09-02 14:52,58,20034,61.47,N
TRP-500065,2024-09-02,LN-125,Outbound,VEH-2092,DRV-505,KES-CPT,2024-09-02 07:00,2024-09-02 07:24,2024-09-02 19:00,2024-09-02 21:00,1007,26740,103.6,N
TRP-500066,2024-09-02,LN-125,Return,VEH-2094,DRV-512,KES-CPT,2024-09-03 03:00,2024-09-03 03:16,2024-09-03 15:00,2024-09-03 14:55,991,0,0,Y
TRP-500067,2024-09-02,LN-126,Outbound,VEH-2054,DRV-426,KES-JHB,02/09/2024 06:00,02/09/2024 06:02,02/09/2024 15:00,02/09/2024 15:33,178,1259,4.45,N
TRP-500068,2024-09-02,LN-126,Outbound,VEH-2049,DRV-448,KES-JHB,02/09/2024 12:00,02/09/2024 12:04,02/09/2024 21:00,02/09/2024 21:00,188,4569,26.63,N
TRP-500069,2024-09-02,LN-126,Outbound,VEH-2035,DRV-436,KES-JHB,2024-09-02 11:00,2024-09-02 11:42,2024-09-02 20:00,2024-09-02 20:01,192,8276,43.15,N
TRP-500070,2024-09-02,LN-126,Outbound,VEH-2034,DRV-425,KES-JHB,2024-09-02 13:00,2024-09-02 13:03,2024-09-02 22:00,2024-09-02 21:45,185,6831,39.93,N
TRP-500071,2024-09-02,LN-126,Outbound,VEH-2050,DRV-406,KES-JHB,2024-09-02 09:00,2024-09-02 09:00,2024-09-02 18:00,2024-09-02 16:39,188,1311,5.17,N
TRP-500072,2024-09-02,LN-126,Outbound,VEH-2041,DRV-432,KES-JHB,2024-09-02 09:00,2024-09-02 09:15,2024-09-02 18:00,2024-09-02 18:03,189,8840,24.19,N
TRP-500073,2024-09-02,LN-126,Outbound,VEH-2038,DRV-433,KES-JHB,2024-09-02 08:00,2024-09-02 08:00,2024-09-02 17:00,2024-09-02 16:32,190,10990,36.04,N
TRP-500074,2024-09-02,LN-126,Outbound,VEH-2046,DRV-451,KES-JHB,2024-09-02 08:00,2024-09-02 09:17,2024-09-02 17:00,2024-09-02 18:33,185,3930,29.05,N
TRP-500075,2024-09-02,LN-127,Outbound,VEH-2039,DRV-431,KES-JHB,2024-09-02 08:00,2024-09-02 08:51,2024-09-02 17:30,2024-09-02 18:37,219,9469,49.02,N
TRP-500076,2024-09-02,LN-127,Outbound,VEH-2051,DRV-412,KES-JHB,2024-09-02 08:00,2024-09-02 08:08,2024-09-02 17:30,2024-09-02 16:54,206,857,5.09,N
TRP-500077,2024-09-02,LN-127,Outbound,VEH-2038,DRV-418,KES-JHB,2024-09-02 05:00,2024-09-02 05:00,2024-09-02 14:30,2024-09-02 13:43,214,9491,34.8,N
TRP-500078,2024-09-02,LN-128,Outbound,VEH-2075,DRV-482,KES-DBN,2024-09-02 11:00,2024-09-02 11:29,2024-09-02 19:30,2024-09-02 19:50,165,10716,36.24,N
TRP-500079,2024-09-02,LN-128,Outbound,VEH-2077,DRV-471,KES-DBN,02/09/2024 05:00,02/09/2024 05:00,02/09/2024 13:30,02/09/2024 13:30,165,8681,32.68,N
TRP-500080,2024-09-02,LN-128,Outbound,VEH-2085,DRV-473,KES-DBN,2024-09-02 12:00,2024-09-02 12:57,2024-09-02 20:30,2024-09-02 22:04,167,4691,34.47,N
TRP-500081,2024-09-02,LN-129,Outbound,VEH-2114,DRV-491,KES-CPT,2024-09-02 09:00,2024-09-02 09:00,2024-09-02 17:00,2024-09-02 17:31,153,8579,49.12,N
TRP-500082,2024-09-02,LN-129,Outbound,VEH-2115,DRV-496,KES-CPT,2024-09-02 10:00,2024-09-02 11:00,2024-09-02 18:00,2024-09-02 19:10,144,10440,43.35,N
TRP-500083,2024-09-02,LN-129,Outbound,VEH-2124,DRV-501,KES-CPT,2024-09-02 05:00,2024-09-02 05:56,2024-09-02 13:00,2024-09-02 12:56,147,871,6.55,N
TRP-500084,2024-09-02,LN-129,Outbound,VEH-2113,DRV-499,KES-CPT,2024-09-02 06:00,2024-09-02 06:00,2024-09-02 14:00,2024-09-02 13:29,150,12214,45.96,N
TRP-500085,2024-09-03,LN-101,Outbound,VEH-2026,DRV-437,KES-JHB,2024-09-03 08:00,2024-09-03 08:19,2024-09-03 15:30,2024-09-03 15:04,557,23760,82,N
TRP-500086,2024-09-03,LN-101,Return,VEH-2023,DRV-441,KES-JHB,2024-09-04 04:00,2024-09-04 04:00,2024-09-04 11:30,2024-09-04 11:26,556,19721,71.6,N
TRP-500087,2024-09-03,LN-101,Outbound,VEH-2003,DRV-429,KES-JHB,2024-09-03 07:00,2024-09-03 07:00,2024-09-03 14:30,2024-09-03 14:29,568,24961,89.97,N
TRP-500088,2024-09-03,LN-101,Return,VEH-2006,DRV-449,KES-JHB,2024-09-04 04:00,2024-09-04 04:39,2024-09-04 11:30,2024-09-04 12:08,566,14822,102.24,N
TRP-500089,2024-09-03,LN-101,Outbound,VEH-2007,DRV-407,KES-JHB,2024-09-03 06:00,2024-09-03 06:26,2024-09-03 13:30,2024-09-03 13:52,555,29005,114.66,N
TRP-500090,2024-09-03,LN-101,Return,VEH-2018,DRV-452,KES-JHB,2024-09-04 00:00,2024-09-04 00:28,2024-09-04 07:30,2024-09-04 08:32,556,0,0,Y
TRP-500091,2024-09-03,LN-102,Outbound,VEH-2013,DRV-429,KES-JHB,2024-09-03 11:00,2024-09-03 11:19,2024-09-04 04:00,2024-09-04 04:24,1402,13190,114.8,N
TRP-500092,2024-09-03,LN-102,Return,VEH-2007,DRV-426,KES-JHB,04/09/2024 13:00,04/09/2024 13:33,05/09/2024 06:00,05/09/2024 05:54,1380,0,0,Y
TRP-500093,2024-09-03,LN-102,Outbound,VEH-2002,DRV-420,KES-JHB,2024-09-03 13:00,2024-09-03 13:18,2024-09-04 06:00,2024-09-04 06:30,1378,33660,97.61,N
TRP-500094,2024-09-03,LN-102,Return,VEH-2015,DRV-425,KES-JHB,2024-09-04 08:00,2024-09-04 08:00,2024-09-05 01:00,2024-09-05 02:52,1375,0,0,Y
TRP-500095,2024-09-03,LN-103,Outbound,VEH-2005,DRV-430,KES-JHB,2024-09-03 10:00,2024-09-03 10:02,2024-09-03 23:00,2024-09-03 21:39,1046,31143,87.65,N
TRP-500096,2024-09-03,LN-103,Return,VEH-2008,DRV-428,KES-JHB,04/09/2024 02:00,04/09/2024 02:02,04/09/2024 15:00,04/09/2024 15:19,1040,0,0,Y
TRP-500097,2024-09-03,LN-104,Outbound,VEH-2032,DRV-425,KES-JHB,03/09/2024 06:00,03/09/2024 06:00,03/09/2024 11:00,03/09/2024 10:55,398,8050,70.39,N
TRP-500098,2024-09-03,LN-104,Return,VEH-2028,DRV-435,KES-JHB,2024-09-03 23:00,2024-09-03 23:00,2024-09-04 04:00,2024-09-04 03:30,399,0,0,Y
TRP-500099,2024-09-03,LN-105,Outbound,VEH-2025,DRV-419,KES-JHB,2024-09-03 08:00,2024-09-03 08:55,2024-09-03 12:00,2024-09-03 12:37,318,23760,59.21,N
TRP-500100,2024-09-03,LN-105,Return,VEH-2028,DRV-452,KES-JHB,2024-09-03 23:00,2024-09-04 00:00,2024-09-04 03:00,2024-09-04 03:52,332,20802,43.73,N
TRP-500101,2024-09-03,LN-106,Outbound,VEH-2020,DRV-424,KES-JHB,2024-09-03 12:00,2024-09-03 12:14,2024-09-03 16:30,2024-09-03 16:33,358,16714,113.78,N
TRP-500102,2024-09-03,LN-106,Return,VEH-2016,DRV-438,KES-JHB,2024-09-03 23:00,2024-09-03 23:10,2024-09-04 03:30,2024-09-04 03:33,354,0,0,Y
TRP-500103,2024-09-03,LN-107,Outbound,VEH-2031,DRV-407,KES-JHB,2024-09-03 12:00,2024-09-03 12:41,2024-09-03 13:48,2024-09-03 14:22,121,20052,52.62,N
TRP-500104,2024-09-03,LN-107,Return,VEH-2029,DRV-423,KES-JHB,2024-09-03 18:00,2024-09-03 18:50,2024-09-03 19:48,2024-09-03 20:30,121,21845,71.11,N
TRP-500105,2024-09-03,LN-107,Outbound,VEH-2035,DRV-452,KES-JHB,2024-09-03 05:00,2024-09-03 05:00,2024-09-03 06:48,2024-09-03 06:41,121,12898,52.88,N
TRP-500106,2024-09-03,LN-107,Return,VEH-2038,DRV-401,KES-JHB,03/09/2024 22:00,03/09/2024 22:03,03/09/2024 23:48,03/09/2024 23:47,120,11973,54.64,N
TRP-500107,2024-09-03,LN-108,Outbound,VEH-2011,DRV-451,KES-JHB,2024-09-03 07:00,2024-09-03 07:00,2024-09-03 12:30,2024-09-03 11:52,479,27363,68.43,N
TRP-500108,2024-09-03,LN-108,Return,VEH-2016,DRV-405,KES-JHB,2024-09-03 19:00,2024-09-03 19:49,2024-09-04 00:30,2024-09-04 01:38,466,0,0,Y
TRP-500109,2024-09-03,LN-109,Outbound,VEH-2013,DRV-444,KES-JHB,2024-09-03 10:00,2024-09-03 11:20,2024-09-03 22:00,2024-09-04 00:29,976,33040,99.47,N
TRP-500110,2024-09-03,LN-109,Return,VEH-2007,DRV-401,KES-JHB,2024-09-04 08:00,2024-09-04 08:16,2024-09-04 20:00,2024-09-04 19:45,977,0,0,Y
TRP-500111,2024-09-03,LN-110,Outbound,VEH-2031,DRV-425,KES-JHB,03/09/2024 05:00,03/09/2024 05:17,03/09/2024 09:00,03/09/2024 09:05,298,23760,57.54,N
TRP-500112,2024-09-03,LN-110,Return,VEH-2027,DRV-428,KES-JHB,2024-09-03 22:00,2024-09-03 22:16,2024-09-04 02:00,2024-09-04 02:25,304,0,0,Y
TRP-500113,2024-09-03,LN-111,Outbound,VEH-2042,DRV-412,KES-JHB,03/09/2024 05:00,03/09/2024 05:00,03/09/2024 07:12,03/09/2024 07:09,167,7232,28.28,N
TRP-500114,2024-09-03,LN-111,Return,VEH-2049,DRV-440,KES-JHB,2024-09-03 17:00,2024-09-03 17:00,2024-09-03 19:12,2024-09-03 19:10,172,0,0,Y
TRP-500115,2024-09-03,LN-113,Outbound,VEH-2064,DRV-455,KES-DBN,2024-09-03 14:00,2024-09-03 15:45,2024-09-03 21:30,2024-09-03 22:28,579,27665,112.39,N
TRP-500116,2024-09-03,LN-113,Return,VEH-2059,DRV-462,KES-DBN,2024-09-04 01:00,2024-09-04 01:05,2024-09-04 08:30,2024-09-04 07:54,589,33660,76.83,N
TRP-500117,2024-09-03,LN-113,Outbound,VEH-2073,DRV-459,KES-DBN,2024-09-03 13:00,2024-09-03 13:16,2024-09-03 20:30,2024-09-03 20:28,552,10196,79.06,N
TRP-500118,2024-09-03,LN-113,Return,VEH-2074,DRV-464,KES-DBN,2024-09-04 02:00,2024-09-04 02:41,2024-09-04 09:30,2024-09-04 10:02,567,0,0,Y
TRP-500119,2024-09-03,LN-116,Outbound,VEH-2068,DRV-463,KES-DBN,2024-09-03 06:00,2024-09-03 06:17,2024-09-03 07:12,2024-09-03 07:32,82,20667,52.03,N
TRP-500120,2024-09-03,LN-116,Return,VEH-2073,DRV-477,KES-DBN,2024-09-03 13:00,2024-09-03 13:29,2024-09-03 14:12,2024-09-03 14:48,80,20277,52.39,N
TRP-500121,2024-09-03,LN-116,Outbound,VEH-2067,DRV-479,KES-DBN,2024-09-03 08:00,2024-09-03 08:00,2024-09-03 09:12,2024-09-03 09:10,80,7605,74.04,N
TRP-500122,2024-09-03,LN-116,Return,VEH-2074,DRV-474,KES-DBN,2024-09-03 20:00,2024-09-03 20:44,2024-09-03 21:12,2024-09-03 21:51,77,0,0,Y
TRP-500123,2024-09-03,LN-117,Outbound,VEH-2079,DRV-473,KES-DBN,2024-09-03 08:00,2024-09-03 09:43,2024-09-03 10:24,2024-09-03 12:10,181,13381,60,N
TRP-500124,2024-09-03,LN-117,Return,VEH-2076,DRV-466,KES-DBN,2024-09-03 14:00,2024-09-03 14:48,2024-09-03 16:24,2024-09-03 17:25,173,12220,40.34,N
TRP-500125,2024-09-03,LN-119,Outbound,VEH-2101,DRV-504,KES-CPT,2024-09-03 11:00,2024-09-03 11:55,2024-09-04 04:00,2024-09-04 03:18,1416,16166,114.96,N
TRP-500126,2024-09-03,LN-119,Return,VEH-2098,DRV-496,KES-CPT,04/09/2024 09:00,04/09/2024 09:28,05/09/2024 02:00,05/09/2024 02:08,1368,28504,117,N
TRP-500127,2024-09-03,LN-120,Outbound,VEH-2106,DRV-499,KES-CPT,2024-09-03 05:00,2024-09-03 05:00,2024-09-03 14:00,2024-09-03 13:41,748,9487,79.44,N
TRP-500128,2024-09-03,LN-120,Return,VEH-2105,DRV-497,KES-CPT,2024-09-03 22:00,2024-09-03 22:52,2024-09-04 07:00,2024-09-04 07:20,744,9570,78.39,N
TRP-500129,2024-09-03,LN-121,Outbound,VEH-2108,DRV-508,KES-CPT,2024-09-03 12:00,2024-09-03 12:14,2024-09-03 17:00,2024-09-03 16:18,426,17441,53.35,N
TRP-500130,2024-09-03,LN-121,Return,VEH-2109,DRV-500,KES-CPT,2024-09-03 22:00,2024-09-03 22:55,2024-09-04 03:00,2024-09-04 03:36,445,22643,74.25,N
TRP-500131,2024-09-03,LN-121,Outbound,VEH-2108,DRV-492,KES-CPT,2024-09-03 12:00,2024-09-03 12:00,2024-09-03 17:00,2024-09-03 16:56,430,22458,51.89,N
TRP-500132,2024-09-03,LN-121,Return,VEH-2102,DRV-490,KES-CPT,03/09/2024 18:00,03/09/2024 18:47,03/09/2024 23:00,04/09/2024 00:32,426,7350,70.1,N
TRP-500133,2024-09-03,LN-122,Outbound,VEH-2102,DRV-500,KES-CPT,03/09/2024 10:00,03/09/2024 10:49,03/09/2024 11:30,03/09/2024 12:14,112,17006,59.19,N
TRP-500134,2024-09-03,LN-122,Return,VEH-2104,DRV-509,KES-CPT,2024-09-03 17:00,2024-09-03 17:52,2024-09-03 18:30,2024-09-03 19:26,112,21211,56.06,N
TRP-500135,2024-09-03,LN-122,Outbound,VEH-2107,DRV-499,KES-CPT,2024-09-03 11:00,2024-09-03 11:31,2024-09-03 12:30,2024-09-03 13:01,109,9966,82,N
TRP-500136,2024-09-03,LN-122,Return,VEH-2108,DRV-496,KES-CPT,2024-09-03 13:00,2024-09-03 13:09,2024-09-03 14:30,2024-09-03 14:36,110,21037,53.67,N
TRP-500137,2024-09-03,LN-123,Outbound,VEH-2119,DRV-502,KES-CPT,2024-09-03 14:00,2024-09-03 14:08,2024-09-03 14:54,2024-09-03 15:02,61,5800,27.08,N
TRP-500138,2024-09-03,LN-123,Return,VEH-2120,DRV-496,KES-CPT,2024-09-03 18:00,2024-09-03 18:46,2024-09-03 18:54,2024-09-03 19:33,60,6053,28.5,N
TRP-500139,2024-09-03,LN-123,Outbound,VEH-2110,DRV-492,KES-CPT,03/09/2024 12:00,03/09/2024 12:51,03/09/2024 12:54,03/09/2024 13:44,60,12945,35.29,N
TRP-500140,2024-09-03,LN-123,Return,VEH-2115,DRV-483,KES-CPT,2024-09-03 20:00,2024-09-03 20:16,2024-09-03 20:54,2024-09-03 21:08,60,12596,45.81,N
TRP-500141,2024-09-03,LN-125,Outbound,VEH-2096,DRV-508,KES-CPT,2024-09-03 06:00,2024-09-03 06:00,2024-09-03 18:00,2024-09-03 17:26,1027,32879,99.87,N
