customer_id,customer_name,sector,contract_type,home_depot_code,sla_hours,billing_terms_days
CUS-7061,Springfield Manufacturing,Automotive,Spot,KES-JHB,72,45
CUS-7062,Pinetown Distributors,Pharmaceutical,Spot,KES-CPT,72,45
CUS-7063,Epping Supplies,Retail,Spot,KES-CPT,72,45
CUS-7064,Cape Union Supplies,Automotive,Spot,KES-DBN,72,30
CUS-7065,Isando Steel,Automotive,Spot,KES-CPT,72,30
CUS-7066,Boland Foods,Retail,Spot,KES-DBN,72,30
CUS-7067,Bellville Industries,FMCG,Spot,KES-CPT,72,30
CUS-7068,Germiston Trading,Industrial,Spot,KES-CPT,72,45
CUS-7069,Highveld Industries,FMCG,Spot,KES-DBN,72,60
CUS-7070,Midrand Industries,Retail,Spot,KES-JHB,72,60
CUS-7071,Bellville Steel,Agriculture,Spot,KES-DBN,72,30
CUS-7072,Springfield Distributors,FMCG,Spot,KES-JHB,72,60
CUS-7073,Riverhorse Industries,Retail,Spot,KES-CPT,72,30
CUS-7074,Riverhorse Distributors,Agriculture,Spot,KES-JHB,72,30
CUS-7075,Midrand Foods,FMCG,Spot,KES-JHB,72,60
CUS-7076,Isando Trading,Industrial,Spot,KES-DBN,72,60
CUS-7077,Drakens Foods,Agriculture,Spot,KES-JHB,72,30
CUS-7078,  Highveld Steel,FMCG,Spot,KES-DBN,72,45
CUS-7079,Sandton Trading,Industrial,Spot,KES-CPT,72,30
CUS-7080,  Cape Union Trading,Retail,Spot,KES-CPT,72,60
CUS-7081,Atlantis Manufacturing,Automotive,Spot,KES-CPT,72,60
CUS-7082,Karoo Trading,Agriculture,Spot,KES-JHB,72,30
CUS-7083,Atlantis Wholesalers,Pharmaceutical,Spot,KES-JHB,72,30
CUS-7084,Epping Foods (Pty) Ltd,FMCG,Spot,KES-CPT,72,60
CUS-7085,Boland Manufacturing,Automotive,Spot,KES-DBN,72,30
CUS-7086,Atlantis Logistics Partners,Agriculture,Spot,KES-JHB,72,45
CUS-7087,Germiston Steel,Agriculture,Spot,KES-JHB,72,60
CUS-7088,Midrand Supplies,Agriculture,Spot,KES-JHB,72,30
CUS-7089,Silverton Trading,Industrial,Spot,KES-CPT,72,60
CUS-7090,Springfield Foods,Automotive,Spot,KES-CPT,72,45
CUS-7091,Montague Steel,Building materials,Spot,KES-CPT,72,60
CUS-7092,Zambezi Foods,Automotive,Spot,KES-DBN,72,30
CUS-7093,Isando Supplies,Retail,Spot,KES-DBN,72,60
CUS-7094,Drakens Manufacturing,Retail,Spot,KES-DBN,72,45
CUS-7095,Highveld Distributors,Pharmaceutical,Spot,KES-DBN,72,30
CUS-7096,Boland Trading,Pharmaceutical,Spot,KES-CPT,72,45
CUS-7097,Montague Logistics Partners,Retail,Spot,KES-CPT,72,60
CUS-7098,Midrand Wholesalers,Industrial,Spot,KES-CPT,72,45
CUS-7099,Pinetown Trading,FMCG,Spot,KES-JHB,72,45
CUS-7100,Riverhorse Holdings,Building materials,Spot,KES-DBN,72,30
CUS-7101,Midrand Holdings,Retail,Spot,KES-JHB,72,60
CUS-7102,Atlantis Steel,FMCG,Spot,KES-JHB,72,60
CUS-7103,Alrode Wholesalers,Industrial,Spot,KES-DBN,72,30
CUS-7104,Sandton Distributors,Retail,Spot,KES-JHB,72,45
CUS-7105,Epping Steel (Pty) Ltd,Agriculture,Spot,KES-CPT,72,30
CUS-7106,Montague Foods,Agriculture,Spot,KES-CPT,72,60
CUS-7107,Epping Logistics Partners,Retail,Spot,KES-CPT,72,30
CUS-7108,Drakens Steel,Pharmaceutical,Spot,KES-DBN,72,45
CUS-7109,Karoo Foods,Agriculture,Spot,KES-JHB,72,45
CUS-7110,Pinetown Industries,Building materials,Spot,KES-JHB,72,30
CUS-7111,Atlantis Holdings,Pharmaceutical,Spot,KES-CPT,72,30
CUS-7112,Pinetown Wholesalers,FMCG,Spot,KES-JHB,72,45
CUS-7113,Umgeni Distributors,Industrial,Spot,KES-DBN,72,45
CUS-7114,Germiston Holdings,Agriculture,Spot,KES-JHB,72,30
CUS-7115,Boland Supplies,Industrial,Spot,KES-CPT,72,45
CUS-7116,Midrand Steel,Agriculture,Spot,KES-CPT,72,30
CUS-7117,Atlantis Foods,FMCG,Spot,KES-CPT,72,45
CUS-7118,Riverhorse Supplies,Automotive,Spot,KES-CPT,72,30
CUS-7119,Midrand Trading,Pharmaceutical,Spot,KES-JHB,72,45
CUS-7120,Alrode Steel,FMCG,Spot,KES-CPT,72,45
CUS-7121,Sandton Industries,Agriculture,Spot,KES-JHB,72,30
CUS-7122,Riverhorse Trading (Pty) Ltd,Agriculture,Spot,KES-CPT,72,30
CUS-7123,Germiston Manufacturing (Pty) Ltd,Industrial,Spot,KES-CPT,72,30
CUS-7124,Karoo Wholesalers,Automotive,Spot,KES-DBN,72,60
CUS-7125,Riverhorse Manufacturing,FMCG,Spot,KES-JHB,72,45
CUS-7126,Springfield Holdings,Industrial,Spot,KES-CPT,72,45
CUS-7127,Cape Union Logistics Partners,Industrial,Spot,KES-CPT,72,30
CUS-7128,Umgeni Wholesalers,Pharmaceutical,Spot,KES-JHB,72,30
CUS-7129,Silverton Holdings,FMCG,Spot,KES-DBN,72,30
CUS-7130,Alrode Holdings,Agriculture,Spot,KES-DBN,72,30
CUS-7131,Springfield Supplies,Pharmaceutical,Spot,KES-JHB,72,60
CUS-7132,Silverton Supplies (Pty) Ltd,Pharmaceutical,Spot,KES-DBN,72,45
CUS-7133,Drakens Logistics Partners,Retail,Spot,KES-CPT,72,30
CUS-7134,Alrode Industries,Building materials,Spot,KES-DBN,72,45
CUS-7135,Drakens Distributors,Agriculture,Spot,KES-DBN,72,30
CUS-7136,Karoo Distributors,Industrial,Spot,KES-CPT,72,60
CUS-7137,Pinetown Logistics Partners,Building materials,Spot,KES-CPT,72,30
CUS-7138,Alrode Foods,Pharmaceutical,Spot,KES-JHB,72,30
CUS-7139,Boland Holdings,Agriculture,Spot,KES-DBN,72,30
CUS-7140,Montague Manufacturing (Pty) Ltd,Building materials,Spot,KES-DBN,72,30
CUS-7141,Silverton Wholesalers ,Building materials,Spot,KES-DBN,72,45
CUS-7142,  Montague Wholesalers,Pharmaceutical,Spot,KES-DBN,72,30
CUS-7143,Karoo Manufacturing,Automotive,Spot,KES-DBN,72,30
CUS-7144,Silverton Manufacturing,Pharmaceutical,Spot,KES-DBN,72,45
CUS-7145,Zambezi Holdings,Building materials,Spot,KES-DBN,72,60
CUS-7146,Highveld Foods,Agriculture,Spot,KES-CPT,72,45
CUS-7147,Zambezi Manufacturing,Agriculture,Spot,KES-DBN,72,60
CUS-7148,  Umgeni Supplies,Pharmaceutical,Spot,KES-DBN,72,60
CUS-7149,  Sandton Steel,Agriculture,Spot,KES-DBN,72,30
CUS-7150,Epping Manufacturing,Retail,Spot,KES-JHB,72,30
CUS-7151,Epping Industries,Retail,Spot,KES-CPT,72,60
CUS-7152,Umgeni Foods,Industrial,Spot,KES-JHB,72,60
CUS-7153,Highveld Supplies,Automotive,Spot,KES-JHB,72,30
CUS-7154,Riverhorse Wholesalers,Industrial,Spot,KES-JHB,72,60
CUS-7155,Germiston Industries,Building materials,Spot,KES-DBN,72,30
CUS-7156,Umgeni Industries,Agriculture,Spot,KES-JHB,72,60
CUS-7157,Zambezi Supplies,Building materials,Spot,KES-CPT,72,60
CUS-7158,Atlantis Trading (Pty) Ltd,FMCG,Spot,KES-DBN,72,60
CUS-7159,Alrode Distributors,FMCG,Spot,KES-JHB,72,45
CUS-7160,Pinetown Manufacturing,Building materials,Spot,KES-DBN,72,30
CUS-7161,Pinetown Steel (Pty) Ltd,Retail,Spot,KES-CPT,72,45
CUS-7162,Riverhorse Steel,Agriculture,Spot,KES-DBN,72,60
CUS-7163,Atlantis Supplies,Pharmaceutical,Spot,KES-JHB,72,30
CUS-7164,Springfield Wholesalers,Retail,Spot,KES-DBN,72,60
CUS-7165,Zambezi Industries,Automotive,Spot,KES-CPT,72,60
CUS-7166,Isando Manufacturing,Retail,Spot,KES-CPT,72,30
CUS-7167,Drakens Supplies ,Industrial,Spot,KES-DBN,72,45
CUS-7168,Cape Union Wholesalers,Agriculture,Spot,KES-CPT,72,30
CUS-7169,Epping Distributors,Pharmaceutical,Spot,KES-JHB,72,30
CUS-7170,Cape Union Manufacturing (Pty) Ltd,Retail,Spot,KES-JHB,72,60
CUS-7171,Isando Holdings,Industrial,Spot,KES-CPT,72,45
CUS-7172,Boland Wholesalers,Agriculture,Spot,KES-DBN,72,60
CUS-7173,Bellville Distributors,Agriculture,Spot,KES-JHB,72,45
CUS-7174,Zambezi Logistics Partners,FMCG,Spot,KES-CPT,72,30
CUS-7175,Highveld Logistics Partners,Automotive,Spot,KES-DBN,72,30
CUS-7176,Midrand Distributors,Pharmaceutical,Spot,KES-JHB,72,60
CUS-7177,Epping Holdings,Industrial,Spot,KES-JHB,72,45
CUS-7178,Silverton Steel,Retail,Spot,KES-JHB,72,60
CUS-7179,Karoo Industries (Pty) Ltd,Building materials,Spot,KES-CPT,72,45
CUS-7180,Alrode Supplies ,Building materials,Spot,KES-DBN,72,45
CUS-7181,Bellville Holdings,Industrial,Spot,KES-DBN,72,30
CUS-7182,Karoo Supplies,Automotive,Spot,KES-JHB,72,30
CUS-7183,Highveld Trading,FMCG,Spot,KES-DBN,72,45
CUS-7184,Isando Logistics Partners,FMCG,Spot,KES-JHB,72,45
CUS-7185,Highveld Holdings (Pty) Ltd,Agriculture,Spot,KES-JHB,72,45
CUS-7186,Umgeni Logistics Partners,Agriculture,Spot,KES-DBN,72,30
CUS-7187,Zambezi Distributors,Building materials,Spot,KES-DBN,72,30
CUS-7188,Silverton Distributors,Automotive,Spot,KES-JHB,72,60
CUS-7189,Atlantis Distributors,Pharmaceutical,Spot,KES-DBN,72,45
CUS-7190,Bellville Trading,Building materials,Spot,KES-JHB,72,45
CUS-7191,Cape Union Industries,Building materials,Spot,KES-CPT,72,30
CUS-7192,Silverton Industries,Agriculture,Spot,KES-CPT,72,30
CUS-7193,  Springfield Logistics Partners,Retail,Spot,KES-CPT,72,30
CUS-7194,Germiston Logistics Partners ,Pharmaceutical,Spot,KES-JHB,72,60
CUS-7195,Karoo Holdings,Automotive,Spot,KES-DBN,72,60
CUS-7196,Germiston Distributors,FMCG,Spot,KES-JHB,72,45
CUS-7197,Bellville Foods (Pty) Ltd,Retail,Spot,KES-CPT,72,30
CUS-7198,Montague Trading,Industrial,Spot,KES-JHB,72,60
CUS-7199,Sandton Holdings,Industrial,Spot,KES-DBN,72,60
CUS-7200,Karoo Logistics Partners (Pty) Ltd,Agriculture,Spot,KES-JHB,72,45
CUS-7201,Zambezi Steel,Pharmaceutical,Spot,KES-JHB,72,45
CUS-7202,Montague Holdings,Agriculture,Spot,KES-DBN,72,30
CUS-7203,Isando Trading 2,FMCG,Spot,KES-JHB,72,45
CUS-7204,Drakens Supplies 2,Building materials,Spot,KES-CPT,72,60
CUS-7205,Zambezi Distributors 2,Industrial,Spot,KES-JHB,72,45
CUS-7206,Midrand Holdings 2 (Pty) Ltd,Agriculture,Spot,KES-JHB,72,45
CUS-7207,Springfield Holdings 2,Building materials,Spot,KES-DBN,72,45
CUS-7208,Zambezi Distributors 2,Industrial,Spot,KES-DBN,72,30
CUS-7209,Midrand Manufacturing 2,Pharmaceutical,Spot,KES-CPT,72,60
CUS-7210,Bellville Holdings 2,Industrial,Spot,KES-JHB,72,60
CUS-7211,Drakens Logistics Partners 2,FMCG,Spot,KES-CPT,72,45
CUS-7212,Germiston Supplies 2,Industrial,Spot,KES-CPT,72,45
CUS-7213,Umgeni Manufacturing 3,Automotive,Spot,KES-JHB,72,60
CUS-7214,Epping Steel 3,Industrial,Spot,KES-CPT,72,30
CUS-7215,Midrand Distributors 2,Automotive,Spot,KES-DBN,72,60
CUS-7216,Montague Supplies 2,Agriculture,Spot,KES-CPT,72,60
CUS-7217,Highveld Industries 2,Agriculture,Spot,KES-CPT,72,30
CUS-7218,Montague Manufacturing 2,Building materials,Spot,KES-CPT,72,45
CUS-7219,Springfield Industries 2,Building materials,Spot,KES-DBN,72,30
CUS-7220,Isando Logistics Partners 2,Retail,Spot,KES-JHB,72,60
CUS-7221,Highveld Holdings 2 (Pty) Ltd,Retail,Spot,KES-JHB,72,60
CUS-7222,Midrand Supplies 3,Building materials,Spot,KES-JHB,72,30
CUS-7223,Cape Union Trading 2,Agriculture,Spot,KES-DBN,72,45
CUS-7224,Montague Holdings 2,Building materials,Spot,KES-DBN,72,45
CUS-7225,Cape Union Foods 2,Automotive,Spot,KES-CPT,72,45
CUS-7226,Cape Union Holdings 2,Retail,Spot,KES-CPT,72,60
CUS-7227,Sandton Wholesalers 3 ,Pharmaceutical,Spot,KES-CPT,72,30
CUS-7228,Karoo Distributors 3,Pharmaceutical,Spot,KES-DBN,72,60
CUS-7229,Atlantis Wholesalers 2,Retail,Spot,KES-DBN,72,45
CUS-7230,Germiston Steel 2,Building materials,Spot,KES-DBN,72,30
CUS-7231,Drakens Wholesalers 2,Industrial,Spot,KES-CPT,72,30
CUS-7232,Pinetown Wholesalers 3,Pharmaceutical,Spot,KES-DBN,72,60
CUS-7233,Alrode Distributors 2,Pharmaceutical,Spot,KES-DBN,72,60
CUS-7234,Epping Foods 2,FMCG,Spot,KES-JHB,72,30
CUS-7235,Pinetown Manufacturing 2,Agriculture,Spot,KES-CPT,72,30
CUS-7236,Alrode Steel 2,Retail,Spot,KES-CPT,72,45
CUS-7237,Umgeni Supplies 2,Agriculture,Spot,KES-DBN,72,60
CUS-7238,Cape Union Logistics Partners 2,Agriculture,Spot,KES-DBN,72,45
CUS-7239,Zambezi Logistics Partners 3,Industrial,Spot,KES-DBN,72,30
CUS-7240,Isando Supplies 2 (Pty) Ltd,Industrial,Spot,KES-CPT,72,60
CUS-7241,Drakens Manufacturing 2,FMCG,Spot,KES-JHB,72,30
CUS-7242,Silverton Holdings 2,Agriculture,Spot,KES-DBN,72,30
