vehicle_id,registration,vehicle_class,capacity_kg,capacity_m3,depot_code,acquired_date,status
VEH-2083,ND 507-379,Rigid 8t,8000,38,KES-DBN,2020-08-23,Active
VEH-2084,ND 569-129,Rigid 8t,8000,38,KES-DBN,2021-05-11,Active
VEH-2085,ND 566-123,Rigid 8t,8000,38,KES-DBN,2018-10-24,Active
VEH-2086,ND 674-618,LDV 1.5t,1500,8,KES-DBN,2020-02-17,Active
VEH-2087,ND 851-976,LDV 1.5t,1500,8,KES-DBN,2018-03-14,Active
VEH-2088,ND 403-461,LDV 1.5t,1500,8,KES-DBN,2020-02-13,Active
VEH-2089,ND 212-787,LDV 1.5t,1500,8,KES-DBN,2021-10-17,Active
VEH-2090,CA 293-277,Superlink 34t,34000,120,KES-CPT,2020-02-10,Active
VEH-2091,CA 714-983,Superlink 34t,34000,120,KES-CPT,2021-07-27,Active
VEH-2092,CA362464,Superlink 34t,34000,120,KES-CPT,2021-12-15,Active
VEH-2093,CA 753-432,Superlink 34t,34000,120,KES-CPT,2019-10-10,Active
VEH-2094,CA 219-803,Superlink 34t,34000,120,KES-CPT,2019-07-09,Active
VEH-2095,CA 472-600,Superlink 34t,34000,120,KES-CPT,2021-12-14,Active
VEH-2096,CA 992-797,Superlink 34t,34000,120,KES-CPT,2021-02-17,Active
VEH-2097,ca 957-307,Superlink 34t,34000,120,KES-CPT,2023-06-26,Active
VEH-2098,CA 997-897,Superlink 34t,34000,120,KES-CPT,2022-01-05,Active
VEH-2099,CA 252-187,Superlink 34t,34000,120,KES-CPT,2021-04-07,Active
VEH-2100,CA 286-931,Superlink 34t,34000,120,KES-CPT,2021-05-02,Active
VEH-2101,CA 358-811,Superlink 34t,34000,120,KES-CPT,2021-01-11,Active
VEH-2102,CA 157-907,Tri-axle 24t,24000,82,KES-CPT,2019-04-17,Active
VEH-2103,CA 593-913,Tri-axle 24t,24000,82,KES-CPT,2019-04-04,Active
VEH-2104,CA 591-856,Tri-axle 24t,24000,82,KES-CPT,2020-10-22,Active
VEH-2105,CA 798-963,Tri-axle 24t,24000,82,KES-CPT,2024-04-17,Active
VEH-2106,CA 256-692,Tri-axle 24t,24000,82,KES-CPT,2019-11-16,Active
VEH-2107,CA 871-359,Tri-axle 24t,24000,82,KES-CPT,2022-02-01,Active
VEH-2108,CA 579-940,Tri-axle 24t,24000,82,KES-CPT,2020-02-22,Active
VEH-2109,CA 131-612,Tri-axle 24t,24000,82,KES-CPT,2021-02-12,Active
VEH-2110,CA 747-635,Rigid 14t,14000,60,KES-CPT,2020-11-04,Active
VEH-2111,CA 683-551,Rigid 14t,14000,60,KES-CPT,2019-10-25,Active
VEH-2112,CA 599-744,Rigid 14t,14000,60,KES-CPT,2021-02-11,Active
VEH-2113,CA537422,Rigid 14t,14000,60,KES-CPT,2022-09-14,Active
VEH-2114,CA 287-489,Rigid 14t,14000,60,KES-CPT,2019-11-27,Active
VEH-2115,CA 216-565,Rigid 14t,14000,60,KES-CPT,2022-10-20,Active
VEH-2116,ca 914-934,Rigid 8t,8000,38,KES-CPT,2019-06-17,Active
VEH-2117,CA 573-528,Rigid 8t,8000,38,KES-CPT,2020-11-15,Active
VEH-2118,CA868156,Rigid 8t,8000,38,KES-CPT,2024-01-25,Active
VEH-2119,CA 409-424,Rigid 8t,8000,38,KES-CPT,2020-07-29,Active
VEH-2120,CA 633-969,Rigid 8t,8000,38,KES-CPT,2019-03-06,Active
VEH-2121,CA 651-733,LDV 1.5t,1500,8,KES-CPT,2024-03-12,Active
VEH-2122,CA 556-595,LDV 1.5t,1500,8,KES-CPT,2018-03-31,Active
VEH-2123,CA 330-664,LDV 1.5t,1500,8,KES-CPT,2020-12-10,Active
VEH-2124,CA 357-900,LDV 1.5t,1500,8,KES-CPT,2023-11-15,Active
