fuel_txn_id,txn_datetime,vehicle_id,driver_id,litres,price_per_litre,cost_zar,odometer_km,site
FUEL-800026,2024-09-02 22:06,VEH-2045,DRV-406,27.56,20.52,565.53,404828,Sasol Truck Stop
FUEL-800027,2024-09-02 07:08,VEH-2038,DRV-425,32.84,20.52,673.88,154235,Depot Bulk Tank
FUEL-800028,2024-09-02 12:59,VEH-2035,DRV-412,33.49,20.52,687.21,675109,Engen Ultra
FUEL-800029,2024-09-02 08:39,VEH-2029,DRV-418,169.04,20.52,3468.7,726895,Highway 1 Stop
FUEL-800030,2024-09-02 21:12,VEH-2023,DRV-401,149.02,20.52,3057.89,364212,Engen Ultra
FUEL-800031,2024-09-02 15:16,VEH-2029,DRV-418,361.82,20.52,7424.55,727865,N3 Truck Plaza
FUEL-800032,2024-09-03 17:18,VEH-2025,DRV-439,"325,58",20.52,6680.9,453801,Engen Ultra
FUEL-800033,2024-09-02 10:58,VEH-2001,DRV-409,148.19,20.52,3040.86,328646,Engen Ultra
FUEL-800034,2024-09-02 22:55,VEH-2018,DRV-421,133.05,20.52,2730.19,635251,Engen Ultra
FUEL-800035,2024-09-02 09:21,VEH-2046,DRV-437,31.49,20.52,646.17,120199,Highway 1 Stop
FUEL-800036,2024-09-02 16:17,VEH-2045,DRV-448,36.96,20.52,758.42,404991,Sasol Truck Stop
FUEL-800037,2024-09-02 14:41,VEH-2056,DRV-467,262.76,20.52,5391.84,142711,N3 Truck Plaza
FUEL-800038,2024-09-03 04:50,VEH-2062,DRV-468,"298,5",20.52,6125.22,272527,Engen Ultra
FUEL-800039,2024-09-02 12:17,VEH-2061,DRV-481,295.93,20.52,6072.48,127407,Engen Ultra
FUEL-800040,2024-09-03 00:16,VEH-2057,DRV-467,295.6,20.52,6065.71,739074,Highway 1 Stop
FUEL-800041,2024-09-02 09:06,VEH-2059,DRV-478,353.73,20.52,7258.54,334267,N3 Truck Plaza
FUEL-800042,2024-09-03 03:57,VEH-2061,DRV-462,282.63,20.52,5799.57,127975,Highway 1 Stop
FUEL-800043,2024-09-03 03:49,VEH-2063,DRV-472,"881,66",20.52,18091.66,125519,Depot Bulk Tank
FUEL-800044,2024-09-03 23:29,VEH-2062,DRV-455,855.7,20.52,17558.96,274231,Depot Bulk Tank
FUEL-800045,2024-09-02 21:58,VEH-2068,DRV-454,"394,69",20.52,8099.04,490674,Engen Ultra
FUEL-800046,2024-09-03 14:57,VEH-2069,DRV-477,366.52,20.52,7520.99,371617,Highway 1 Stop
FUEL-800047,2024-09-02 06:50,VEH-2083,DRV-478,16.25,20.52,333.45,181424,Depot Bulk Tank
FUEL-800048,2024-09-02 15:11,VEH-2081,DRV-482,19.95,20.52,409.37,394485,Engen Ultra
FUEL-800049,2024-09-02 08:04,VEH-2068,DRV-467,31.78,20.52,652.13,490755,Depot Bulk Tank
FUEL-800050,2024-09-02 12:57,VEH-2074,DRV-480,22.88,20.52,469.5,152149,Depot Bulk Tank
FUEL-800051,2024-09-02 15:24,VEH-2074,DRV-472,"63,35",20.52,1299.94,152326,Depot Bulk Tank
FUEL-800052,2024-09-02 20:22,VEH-2071,DRV-475,69.36,20.52,1423.27,441584,Highway 1 Stop
FUEL-800053,2024-09-02 09:58,VEH-2083,DRV-471,39.49,20.52,810.33,181602,Highway 1 Stop
FUEL-800054,2024-09-02 21:21,VEH-2082,DRV-477,36.48,20.52,748.57,455275,Highway 1 Stop
FUEL-800055,2024-09-03 05:14,VEH-2091,DRV-488,686.68,20.52,14090.67,470413,N3 Truck Plaza
FUEL-800056,2024-09-04 02:07,VEH-2099,DRV-488,642.09,20.52,13175.69,400297,Sasol Truck Stop
FUEL-800057,2024-09-03 07:59,VEH-2091,DRV-497,695.58,20.52,14273.3,471858,Engen Ultra
FUEL-800058,2024-09-03 20:30,VEH-2092,DRV-497,758.19,20.52,15558.06,424099,N3 Truck Plaza
FUEL-800059,2024-09-02 15:48,VEH-2097,DRV-489,381.82,20.52,7834.95,177122,N3 Truck Plaza
FUEL-800060,2024-09-03 13:15,VEH-2096,DRV-505,392.27,20.52,8049.38,537763,N3 Truck Plaza
FUEL-800061,2024-09-02 08:14,VEH-2105,DRV-504,168.23,20.52,3452.08,131936,Sasol Truck Stop
FUEL-800062,2024-09-03 01:51,VEH-2102,DRV-484,121.43,20.52,2491.74,492904,Engen Ultra
FUEL-800063,2024-09-02 04:41,VEH-2118,DRV-511,23.71,20.52,486.53,545723,Sasol Truck Stop
FUEL-800064,2024-09-02 18:15,VEH-2119,DRV-512,"19,74",20.52,405.06,121971,Engen Ultra
FUEL-800065,2024-09-02 06:43,VEH-2118,DRV-492,21.65,20.52,444.26,545835,Highway 1 Stop
FUEL-800066,2024-09-02 13:58,VEH-2116,DRV-493,24.95,20.52,511.97,177596,Highway 1 Stop
FUEL-800067,2024-09-02 06:47,VEH-2110,DRV-506,17.25,20.52,353.97,631453,Depot Bulk Tank
FUEL-800068,2024-09-02 11:25,VEH-2110,DRV-487,17.62,20.52,361.56,631512,Sasol Truck Stop
FUEL-800069,2024-09-02 16:04,VEH-2092,DRV-511,403.38,20.52,8277.36,424887,N3 Truck Plaza
FUEL-800070,2024-09-03 12:54,VEH-2095,DRV-497,315.28,20.52,6469.55,584989,Highway 1 Stop
FUEL-800071,2024-09-02 22:46,VEH-2092,DRV-498,511.07,20.52,10487.16,425880,Highway 1 Stop
FUEL-800072,2024-09-03 15:57,VEH-2099,DRV-510,490.9,20.52,10073.27,401316,Depot Bulk Tank
FUEL-800073,2024-09-02 18:08,VEH-2034,DRV-434,50.77,20.52,1041.8,213781,Highway 1 Stop
FUEL-800074,2024-09-02 20:07,VEH-2040,DRV-416,"51,24",20.52,1051.44,183307,Engen Ultra
FUEL-800075,2024-09-02 10:18,VEH-2047,DRV-405,42.35,20.52,869.02,611968,N3 Truck Plaza
FUEL-800076,2024-09-02 18:43,VEH-2044,DRV-441,45.98,20.52,943.51,438376,Sasol Truck Stop
FUEL-800077,2024-09-02 17:59,VEH-2038,DRV-417,50.23,20.52,1030.72,154423,Highway 1 Stop
FUEL-800078,2024-09-02 16:39,VEH-2051,DRV-421,20.92,20.52,429.28,724853,N3 Truck Plaza
FUEL-800079,2024-09-02 17:52,VEH-2039,DRV-407,50.73,20.52,1040.98,522570,Sasol Truck Stop
FUEL-800080,2024-09-02 18:51,VEH-2054,DRV-431,21.53,20.52,441.8,276779,N3 Truck Plaza
FUEL-800081,2024-09-02 20:12,VEH-2038,DRV-430,54.24,20.52,1113,154632,Sasol Truck Stop
FUEL-800082,2024-09-02 09:49,VEH-2038,DRV-404,"59,55",20.52,1221.97,154840,Depot Bulk Tank
FUEL-800083,2024-09-02 12:57,VEH-2080,DRV-468,45.11,20.52,925.66,299651,Sasol Truck Stop
FUEL-800084,2024-09-02 11:07,VEH-2085,DRV-471,39.13,20.52,802.95,558764,Sasol Truck Stop
FUEL-800085,2024-09-02 14:11,VEH-2088,DRV-461,18.84,20.52,386.6,188482,N3 Truck Plaza
FUEL-800086,2024-09-02 18:04,VEH-2076,DRV-454,47.47,20.52,974.08,681472,Sasol Truck Stop
FUEL-800087,2024-09-02 16:22,VEH-2120,DRV-503,31.6,20.52,648.43,138207,Highway 1 Stop
FUEL-800088,2024-09-02 15:06,VEH-2122,DRV-508,16.53,20.52,339.2,523134,Engen Ultra
FUEL-800089,2024-09-02 16:09,VEH-2110,DRV-512,42.44,20.52,870.87,631660,Engen Ultra
FUEL-800090,2024-09-02 12:28,VEH-2124,DRV-507,17.37,20.52,356.43,390327,Sasol Truck Stop
FUEL-800091,2024-09-03 20:46,VEH-2032,DRV-435,231.24,20.53,4747.36,314407,Sasol Truck Stop
FUEL-800092,2024-09-04 08:38,VEH-2030,DRV-413,230.27,20.53,4727.44,288472,Engen Ultra
FUEL-800093,2024-09-03 16:47,VEH-2004,DRV-428,250.82,20.53,5149.33,581939,Highway 1 Stop
FUEL-800094,2024-09-04 01:34,VEH-2001,DRV-401,286.13,20.53,5874.25,329213,N3 Truck Plaza
FUEL-800095,2024-09-03 17:22,VEH-2011,DRV-414,637.87,20.53,13095.47,373282,N3 Truck Plaza
FUEL-800096,2024-09-05 02:27,VEH-2003,DRV-406,560.87,20.53,11514.66,401702,Highway 1 Stop
FUEL-800097,2024-09-03 19:43,VEH-2003,DRV-426,688.68,20.53,14138.6,403089,Highway 1 Stop
FUEL-800098,2024-09-05 02:31,VEH-2006,DRV-418,688.47,20.53,14134.29,307480,Depot Bulk Tank
FUEL-800099,2024-09-04 02:04,VEH-2011,DRV-415,"620,16",20.53,12731.88,374670,N3 Truck Plaza
FUEL-800100,2024-09-05 04:14,VEH-2016,DRV-428,"901,83",20.53,18514.57,154783,Depot Bulk Tank
FUEL-800101,2024-09-03 16:38,VEH-2009,DRV-421,526.89,20.53,10817.05,163304,Highway 1 Stop
FUEL-800102,2024-09-04 10:37,VEH-2009,DRV-424,"391,74",20.53,8042.42,164373,Sasol Truck Stop
FUEL-800103,2024-09-03 09:39,VEH-2002,DRV-420,194.95,20.53,4002.32,774315,Engen Ultra
FUEL-800104,2024-09-04 00:08,VEH-2001,DRV-446,155.97,20.53,3202.06,329614,Depot Bulk Tank
FUEL-800105,2024-09-03 12:17,VEH-2023,DRV-427,156.09,20.53,3204.53,364619,N3 Truck Plaza
FUEL-800106,2024-09-04 01:19,VEH-2022,DRV-428,123.62,20.53,2537.92,685668,Sasol Truck Stop
FUEL-800107,2024-09-03 16:07,VEH-2021,DRV-438,111.35,20.53,2286.02,187453,Engen Ultra
FUEL-800108,2024-09-04 00:04,VEH-2032,DRV-428,107.94,20.53,2216.01,314739,Depot Bulk Tank
FUEL-800109,2024-09-03 07:12,VEH-2012,DRV-450,158.17,20.53,3247.23,717049,Engen Ultra
FUEL-800110,2024-09-03 20:54,VEH-2016,DRV-429,209.43,20.53,4299.6,155107,Sasol Truck Stop
FUEL-800111,2024-09-03 11:00,VEH-2024,DRV-418,"117,49",20.53,2412.07,607258,Engen Ultra
FUEL-800112,2024-09-04 01:23,VEH-2032,DRV-435,147.01,20.53,3018.12,315106,Sasol Truck Stop
FUEL-800113,2024-09-03 11:39,VEH-2002,DRV-402,175.93,20.53,3611.84,774665,N3 Truck Plaza
FUEL-800114,2024-09-04 03:10,VEH-2013,DRV-452,139.64,20.53,2866.81,755500,Depot Bulk Tank
FUEL-800115,2024-09-03 04:48,VEH-2029,DRV-442,"48,29",20.53,991.39,727989,Engen Ultra
FUEL-800116,2024-09-03 21:50,VEH-2028,DRV-403,49.81,20.53,1022.6,460800,Depot Bulk Tank
FUEL-800117,2024-09-03 05:35,VEH-2033,DRV-447,32.35,20.53,664.15,575417,N3 Truck Plaza
FUEL-800118,2024-09-03 15:50,VEH-2034,DRV-407,32.06,20.53,658.19,213897,N3 Truck Plaza
FUEL-800119,2024-09-03 10:03,VEH-2026,DRV-444,216.49,20.53,4444.54,741771,Highway 1 Stop
FUEL-800120,2024-09-04 02:16,VEH-2021,DRV-437,159.61,20.53,3276.79,187927,Engen Ultra
FUEL-800121,2024-09-03 16:24,VEH-2022,DRV-403,374.65,20.53,7691.56,686670,Sasol Truck Stop
FUEL-800122,2024-09-04 11:58,VEH-2023,DRV-428,295.08,20.53,6057.99,365585,Highway 1 Stop
FUEL-800123,2024-09-03 12:05,VEH-2023,DRV-428,129.22,20.53,2652.89,365898,Depot Bulk Tank
FUEL-800124,2024-09-03 21:03,VEH-2024,DRV-420,103.17,20.53,2118.08,607557,N3 Truck Plaza
FUEL-800125,2024-09-03 08:37,VEH-2048,DRV-415,35.62,20.53,731.28,665607,Highway 1 Stop
FUEL-800126,2024-09-03 17:04,VEH-2046,DRV-425,32.67,20.53,670.72,120361,Highway 1 Stop
FUEL-800127,2024-09-03 08:36,VEH-2003,DRV-410,131.32,20.53,2696,403348,Engen Ultra
FUEL-800128,2024-09-03 23:38,VEH-2007,DRV-450,134.65,20.53,2764.36,778979,Highway 1 Stop
FUEL-800129,2024-09-03 13:08,VEH-2066,DRV-458,291.18,20.53,5977.93,758721,Highway 1 Stop
FUEL-800130,2024-09-04 00:30,VEH-2063,DRV-468,289.77,20.53,5948.98,126107,Highway 1 Stop
FUEL-800131,2024-09-03 10:46,VEH-2060,DRV-456,262.04,20.53,5379.68,187710,Depot Bulk Tank
FUEL-800132,2024-09-04 04:25,VEH-2055,DRV-469,"253,77",20.53,5209.9,580517,Highway 1 Stop
FUEL-800133,2024-09-04 01:28,VEH-2056,DRV-468,743.23,20.53,15258.51,144330,Depot Bulk Tank
FUEL-800134,2024-09-05 01:38,VEH-2064,DRV-476,813.32,20.53,16697.46,304357,Sasol Truck Stop
FUEL-800135,2024-09-03 02:01,VEH-2076,DRV-463,23.63,20.53,485.12,681551,Highway 1 Stop
FUEL-800136,2024-09-03 21:24,VEH-2075,DRV-476,21.7,20.53,445.5,359144,Sasol Truck Stop
FUEL-800137,2024-09-03 06:12,VEH-2077,DRV-481,19.78,20.53,406.08,145484,Sasol Truck Stop
FUEL-800138,2024-09-03 17:35,VEH-2078,DRV-469,"21,21",20.53,435.44,196050,Sasol Truck Stop
FUEL-800139,2024-09-03 13:57,VEH-2085,DRV-472,43.59,20.53,894.9,558944,Sasol Truck Stop
FUEL-800140,2024-09-03 12:16,VEH-2085,DRV-475,43.11,20.53,885.05,559122,N3 Truck Plaza
FUEL-800141,2024-09-03 10:44,VEH-2063,DRV-469,318.08,20.53,6530.18,126734,Sasol Truck Stop
FUEL-800142,2024-09-04 01:14,VEH-2061,DRV-455,253.59,20.53,5206.2,128605,Depot Bulk Tank
FUEL-800143,2024-09-03 23:50,VEH-2092,DRV-496,714.75,20.53,14673.82,427268,Highway 1 Stop
FUEL-800144,2024-09-05 00:13,VEH-2094,DRV-498,864.51,20.53,17748.39,408402,Engen Ultra
FUEL-800145,2024-09-04 01:06,VEH-2091,DRV-496,666.29,20.53,13678.93,473239,Sasol Truck Stop
FUEL-800146,2024-09-04 23:06,VEH-2098,DRV-488,637.68,20.53,13091.57,592459,Engen Ultra
FUEL-800147,2024-09-03 11:07,VEH-2092,DRV-488,"376,18",20.53,7722.98,428015,Engen Ultra
FUEL-800148,2024-09-04 07:13,VEH-2090,DRV-485,362.84,20.53,7449.11,447821,N3 Truck Plaza
FUEL-800149,2024-09-03 11:19,VEH-2108,DRV-504,176.14,20.53,3616.15,287823,Sasol Truck Stop
FUEL-800150,2024-09-04 01:07,VEH-2102,DRV-488,125.29,20.53,2572.2,493320,Highway 1 Stop
FUEL-800151,2024-09-03 10:30,VEH-2115,DRV-511,31.71,20.53,651.01,438560,Highway 1 Stop
FUEL-800152,2024-09-03 19:22,VEH-2111,DRV-499,"28,85",20.53,592.29,743049,Depot Bulk Tank
FUEL-800153,2024-09-03 12:16,VEH-2117,DRV-501,22.77,20.53,467.47,703177,Highway 1 Stop
FUEL-800154,2024-09-03 14:38,VEH-2118,DRV-500,22.35,20.53,458.85,545942,Sasol Truck Stop
FUEL-800155,2024-09-03 07:38,VEH-2120,DRV-489,13.29,20.53,272.84,138269,Depot Bulk Tank
FUEL-800156,2024-09-03 12:40,VEH-2116,DRV-508,12.86,20.53,264.02,177657,N3 Truck Plaza
FUEL-800157,2024-09-03 18:35,VEH-2036,DRV-407,55.9,20.53,1147.63,622680,Sasol Truck Stop
FUEL-800158,2024-09-03 15:31,VEH-2045,DRV-421,41.57,20.53,853.43,405173,Engen Ultra
FUEL-800159,2024-09-03 15:36,VEH-2035,DRV-426,55.75,20.53,1144.55,675300,Sasol Truck Stop
FUEL-800160,2024-09-03 18:57,VEH-2052,DRV-401,"21,69",20.53,445.3,226158,Depot Bulk Tank
FUEL-800161,2024-09-03 19:21,VEH-2043,DRV-405,41.78,20.53,857.74,455671,Engen Ultra
FUEL-800162,2024-09-03 20:47,VEH-2054,DRV-442,"22,18",20.53,455.36,276990,Highway 1 Stop
FUEL-800163,2024-09-03 10:33,VEH-2046,DRV-408,42.34,20.53,869.24,120577,Highway 1 Stop
FUEL-800164,2024-09-03 17:08,VEH-2038,DRV-410,58.91,20.53,1209.42,155054,Depot Bulk Tank
FUEL-800165,2024-09-03 17:28,VEH-2085,DRV-458,38.46,20.53,789.58,559289,Highway 1 Stop
FUEL-800166,2024-09-03 21:17,VEH-2088,DRV-478,17.37,20.53,356.61,188644,Depot Bulk Tank
FUEL-800167,2024-09-03 18:03,VEH-2075,DRV-481,"46,29",20.53,950.33,359308,Depot Bulk Tank
FUEL-800168,2024-09-03 19:52,VEH-2122,DRV-494,16.91,20.53,347.16,523282,Highway 1 Stop
FUEL-800169,2024-09-03 19:37,VEH-2115,DRV-499,41.2,20.53,845.84,438707,Sasol Truck Stop
FUEL-800170,2024-09-03 14:14,VEH-2114,DRV-512,"42,18",20.53,865.96,416332,Engen Ultra
FUEL-800171,2024-09-03 10:23,VEH-2114,DRV-502,42.21,20.53,866.57,416483,Depot Bulk Tank
FUEL-800172,2024-09-03 12:52,VEH-2122,DRV-507,"15,77",20.53,323.76,523432,Highway 1 Stop
FUEL-800173,2024-09-04 11:07,VEH-2027,DRV-440,223.69,20.55,4596.83,265113,Engen Ultra
FUEL-800174,2024-09-04 21:57,VEH-2030,DRV-406,168.39,20.55,3460.41,289030,Sasol Truck Stop
FUEL-800175,2024-09-04 09:35,VEH-2027,DRV-413,"215,78",20.55,4434.28,265676,Depot Bulk Tank
FUEL-800176,2024-09-05 04:13,VEH-2026,DRV-447,278.63,20.55,5725.85,742339,Sasol Truck Stop
FUEL-800177,2024-09-04 19:15,VEH-2022,DRV-409,213,20.55,4377.15,687225,N3 Truck Plaza
FUEL-800178,2024-09-05 07:36,VEH-2026,DRV-440,269.51,20.55,5538.43,742892,Depot Bulk Tank
FUEL-800179,2024-09-04 19:26,VEH-2013,DRV-417,650.31,20.55,13363.87,756860,Highway 1 Stop
FUEL-800180,2024-09-05 22:17,VEH-2018,DRV-447,595.33,20.55,12234.03,636666,Depot Bulk Tank
FUEL-800181,2024-09-04 20:21,VEH-2015,DRV-445,452.2,20.55,9292.71,150789,Engen Ultra
FUEL-800182,2024-09-05 18:03,VEH-2009,DRV-435,526.29,20.55,10815.26,165383,Sasol Truck Stop
FUEL-800183,2024-09-04 11:26,VEH-2002,DRV-412,188.15,20.55,3866.48,775060,N3 Truck Plaza
FUEL-800184,2024-09-05 01:45,VEH-2004,DRV-442,136.19,20.55,2798.7,582324,N3 Truck Plaza
FUEL-800185,2024-09-04 09:38,VEH-2009,DRV-429,163.52,20.55,3360.34,165713,Highway 1 Stop
FUEL-800186,2024-09-04 17:48,VEH-2011,DRV-418,148.98,20.55,3061.54,374993,Depot Bulk Tank
FUEL-800187,2024-09-04 10:55,VEH-2003,DRV-425,171.58,20.55,3525.97,403708,Sasol Truck Stop
FUEL-800188,2024-09-04 23:47,VEH-2012,DRV-418,178.54,20.55,3669,717415,Depot Bulk Tank
FUEL-800189,2024-09-04 07:00,VEH-2046,DRV-419,23.42,20.55,481.28,120695,Engen Ultra
FUEL-800190,2024-09-04 14:57,VEH-2045,DRV-409,27.48,20.55,564.71,405292,Highway 1 Stop
FUEL-800191,2024-09-04 08:57,VEH-2023,DRV-439,45.56,20.55,936.26,366015,N3 Truck Plaza
FUEL-800192,2024-09-04 22:40,VEH-2030,DRV-435,33.8,20.55,694.59,289148,N3 Truck Plaza
FUEL-800193,2024-09-04 11:07,VEH-2005,DRV-420,239.66,20.55,4925.01,712787,Engen Ultra
FUEL-800194,2024-09-05 05:53,VEH-2011,DRV-452,"216,23",20.55,4443.53,375464,Sasol Truck Stop
FUEL-800195,2024-09-04 22:03,VEH-2028,DRV-435,"435,36",20.55,8946.65,461800,Sasol Truck Stop
FUEL-800196,2024-09-05 17:06,VEH-2029,DRV-420,365.01,20.55,7500.96,728968,Sasol Truck Stop
FUEL-800197,2024-09-04 10:29,VEH-2043,DRV-409,39.64,20.55,814.6,455837,Sasol Truck Stop
FUEL-800198,2024-09-04 16:07,VEH-2045,DRV-413,32.09,20.55,659.45,405461,Depot Bulk Tank
FUEL-800199,2024-09-04 14:15,VEH-2010,DRV-425,132.14,20.55,2715.48,661511,Highway 1 Stop
FUEL-800200,2024-09-04 12:25,VEH-2012,DRV-430,97.44,20.55,2002.39,717675,Highway 1 Stop
FUEL-800201,2024-09-04 13:09,VEH-2059,DRV-471,347.93,20.55,7149.96,334830,Sasol Truck Stop
FUEL-800202,2024-09-05 01:56,VEH-2057,DRV-462,289.23,20.55,5943.68,739642,Highway 1 Stop
FUEL-800203,2024-09-04 20:13,VEH-2060,DRV-466,271.19,20.55,5572.95,188280,Sasol Truck Stop
FUEL-800204,2024-09-05 03:13,VEH-2056,DRV-468,277.69,20.55,5706.53,144906,Engen Ultra
FUEL-800205,2024-09-04 14:43,VEH-2068,DRV-470,224.84,20.55,4620.46,491320,Engen Ultra
FUEL-800206,2024-09-05 00:27,VEH-2067,DRV-454,"204,06",20.55,4193.43,164635,Sasol Truck Stop
FUEL-800207,2024-09-04 14:49,VEH-2066,DRV-464,479.78,20.55,9859.48,759704,Engen Ultra
FUEL-800208,2024-09-05 11:33,VEH-2059,DRV-480,603.19,20.55,12395.55,335797,N3 Truck Plaza
FUEL-800209,2024-09-04 01:14,VEH-2084,DRV-466,16.58,20.55,340.72,307971,N3 Truck Plaza
FUEL-800210,2024-09-04 14:43,VEH-2082,DRV-477,16.37,20.55,336.4,455355,Sasol Truck Stop
FUEL-800211,2024-09-04 04:20,VEH-2075,DRV-470,"23,29",20.55,478.61,359390,Engen Ultra
FUEL-800212,2024-09-04 12:40,VEH-2080,DRV-482,21.87,20.55,449.43,299729,Engen Ultra
FUEL-800213,2024-09-04 04:57,VEH-2082,DRV-466,15.83,20.55,325.31,455432,Highway 1 Stop
FUEL-800214,2024-09-04 15:58,VEH-2084,DRV-482,13.96,20.55,286.88,308050,Depot Bulk Tank
FUEL-800215,2024-09-04 07:23,VEH-2068,DRV-458,72.77,20.55,1495.42,491494,Depot Bulk Tank
FUEL-800216,2024-09-04 14:17,VEH-2068,DRV-454,58.54,20.55,1203,491670,Depot Bulk Tank
FUEL-800217,2024-09-04 12:57,VEH-2062,DRV-461,309.61,20.55,6362.49,274854,Sasol Truck Stop
FUEL-800218,2024-09-05 05:25,VEH-2056,DRV-468,"234,08",20.55,4810.34,145532,Engen Ultra
FUEL-800219,2024-09-05 03:21,VEH-2095,DRV-492,696.49,20.55,14312.87,586396,Engen Ultra
FUEL-800220,2024-09-05 22:57,VEH-2100,DRV-491,518.46,20.55,10654.35,663132,Sasol Truck Stop
FUEL-800221,2024-09-05 01:26,VEH-2097,DRV-489,695.62,20.55,14294.99,178522,N3 Truck Plaza
FUEL-800222,2024-09-05 20:20,VEH-2098,DRV-487,689.48,20.55,14168.81,593883,Sasol Truck Stop
FUEL-800223,2024-09-04 10:39,VEH-2106,DRV-483,287.48,20.55,5907.71,496310,Sasol Truck Stop
FUEL-800224,2024-09-05 08:22,VEH-2102,DRV-511,209.91,20.55,4313.65,494058,Highway 1 Stop
FUEL-800225,2024-09-04 10:12,VEH-2109,DRV-503,173.75,20.55,3570.56,170835,Highway 1 Stop
FUEL-800226,2024-09-04 20:49,VEH-2109,DRV-489,153.19,20.55,3148.05,171265,Engen Ultra
FUEL-800227,2024-09-04 05:44,VEH-2118,DRV-498,22.63,20.55,465.05,546053,Sasol Truck Stop
FUEL-800228,2024-09-04 13:41,VEH-2119,DRV-489,24.19,20.55,497.1,122081,N3 Truck Plaza
FUEL-800229,2024-09-04 09:39,VEH-2115,DRV-500,33.73,20.55,693.15,438820,Depot Bulk Tank
FUEL-800230,2024-09-04 21:41,VEH-2110,DRV-511,31.32,20.55,643.63,631768,Depot Bulk Tank
FUEL-800231,2024-09-04 09:58,VEH-2102,DRV-495,"23,17",20.55,476.14,494118,Engen Ultra
FUEL-800232,2024-09-04 15:38,VEH-2102,DRV-495,21.91,20.55,450.25,494177,Sasol Truck Stop
FUEL-800233,2024-09-04 18:54,VEH-2101,DRV-502,469.88,20.55,9656.03,398028,Sasol Truck Stop
FUEL-800234,2024-09-05 14:02,VEH-2097,DRV-500,483.57,20.55,9937.36,179516,Highway 1 Stop
FUEL-800235,2024-09-04 13:26,VEH-2033,DRV-431,48.97,20.55,1006.33,575597,Sasol Truck Stop
FUEL-800236,2024-09-04 15:35,VEH-2053,DRV-424,20.41,20.55,419.43,649982,Sasol Truck Stop
FUEL-800237,2024-09-04 19:34,VEH-2040,DRV-442,52.19,20.55,1072.5,183494,Highway 1 Stop
FUEL-800238,2024-09-04 18:00,VEH-2050,DRV-408,20.52,20.55,421.69,481939,Depot Bulk Tank
FUEL-800239,2024-09-04 12:30,VEH-2033,DRV-422,51.3,20.55,1054.21,575782,Depot Bulk Tank
