trip_id,driver_hours,driver_cost_zar,toll_cost_zar,fixed_cost_zar
TRP-500104,4.99,723.36,187.27,1696.17
TRP-500105,4.89,709.12,186.51,1173.71
TRP-500106,4.71,683.5,167.13,1131.3
TRP-500107,4.02,582.46,149.22,964.07
TRP-500108,4.08,591.65,154.09,979.29
TRP-500109,3.79,548.83,148.41,1286.91
TRP-500110,3.85,558.13,143.16,1308.72
TRP-500111,5,724.44,175.58,1199.07
TRP-500112,4.86,704.87,161.98,1166.68
TRP-500113,4.4,637.52,168.5,1494.88
TRP-500114,4.77,691.16,163.02,1620.64
TRP-500115,1.56,226.83,61.77,840
TRP-500116,1.76,255.43,61.79,840
TRP-500117,1.77,256.97,58.43,525
TRP-500118,1.95,282.14,55.99,525
TRP-500119,5.4,782.99,157.72,1295.98
TRP-500120,5.21,755.19,159.24,1249.97
TRP-500121,10.96,1589.75,256.21,2631.31
TRP-500122,11.97,1735.22,236.59,2872.09
TRP-500123,4.09,593.27,193.59,981.96
TRP-500124,3.43,497.73,195,840
TRP-500125,2.34,338.86,68.29,385
TRP-500126,2.17,315.18,69.16,385
TRP-500127,3.61,523.78,121.19,1228.17
TRP-500128,3.36,486.51,127.88,1190
TRP-500129,7.64,1107.54,397.01,2596.98
TRP-500130,7.5,1087.89,365.91,2550.91
TRP-500131,7.77,1126.6,378.73,2641.68
TRP-500132,7.69,1114.36,367.72,2612.98
TRP-500133,21.13,3063.92,605.57,7184.36
TRP-500134,18.63,2701.92,580.97,6335.53
TRP-500135,1.03,148.78,46.29,525
TRP-500136,1.07,155.03,45.51,525
TRP-500137,1.11,161.16,46.16,525
TRP-500138,1.14,165.8,46.65,525
TRP-500139,2.88,417.14,98.41,385
TRP-500140,2.24,324.36,97.46,385
TRP-500141,7.76,1125.29,253.09,2638.61
TRP-500142,8.24,1195.38,267.82,2802.95
TRP-500143,15.46,2241.33,527.07,5255.53
TRP-500144,18.94,2746.33,530.6,6439.67
TRP-500145,16.03,2323.71,506.01,5448.71
TRP-500146,14.7,2131.71,530.45,4998.5
TRP-500147,8.97,1300.89,191.91,3050.35
TRP-500148,8.91,1291.69,183.49,3028.78
TRP-500149,4.33,628.3,89.91,1039.94
TRP-500150,4.93,714.67,92.21,1182.9
TRP-500151,1.52,220.35,41.65,525
TRP-500152,1.6,232.66,40.31,525
TRP-500153,1.4,203.06,36.94,385
TRP-500154,1.31,190.37,40.39,385
TRP-500155,0.92,133.88,25.89,385
TRP-500156,0.92,133.36,25.53,385
TRP-500157,8.42,1221.09,39.1,1263.19
TRP-500158,8.53,1236.31,41.61,937.89
TRP-500159,8.63,1252.06,40.88,1295.24
TRP-500160,9.97,1444.93,38.88,647.73
TRP-500161,8.5,1232.75,40.61,935.19
TRP-500162,10.32,1496.01,57.06,670.62
TRP-500163,9.41,1364.41,55.32,1035.07
TRP-500164,8.89,1289.24,54.66,1333.69
TRP-500165,8.93,1294.84,35.65,982.29
TRP-500166,9.05,1312.66,34.84,588.44
TRP-500167,8.69,1260.74,34.37,1304.21
TRP-500168,7.71,1117.72,30.85,501.05
TRP-500169,7.27,1054.14,30.32,1090.49
TRP-500170,9.24,1339.86,28.81,1386.06
TRP-500171,8.39,1216.13,29.36,1258.07
TRP-500172,8.71,1262.49,31.24,565.94
TRP-500173,8.12,1177.25,367.69,1948.56
TRP-500174,6.96,1009.8,363.79,1671.4
TRP-500175,7.59,1100.88,359.13,1822.14
TRP-500176,7.23,1048.76,370.3,1735.88
TRP-500177,7.34,1064.65,413.53,1762.17
TRP-500178,7.6,1101.6,387.94,1823.34
TRP-500179,15.8,2291.21,517.23,5372.49
TRP-500180,15.51,2248.51,511.47,5272.36
TRP-500181,13.35,1935.98,294.69,4539.54
TRP-500182,14.44,2093.45,301.98,4908.78
TRP-500183,5.14,744.74,180.8,1746.29
TRP-500184,5.33,772.92,175.78,1812.37
TRP-500185,3.44,498.39,132.68,1190
TRP-500186,4.14,599.73,145.13,1406.26
TRP-500187,4.67,677.29,174.74,1588.14
TRP-500188,4.41,639.13,156.06,1498.65
TRP-500189,1.81,262.64,55.58,385
TRP-500190,1.73,250.68,58.38,385
TRP-500191,1.87,270.9,58.82,840
TRP-500192,1.91,277.05,55.05,840
TRP-500193,4.96,719.09,152.89,1686.14
TRP-500194,5.8,841.09,151.09,1972.21
TRP-500195,11,1594.67,261.96,2639.45
TRP-500196,13.68,1983.8,253.54,3283.54
TRP-500197,2.5,362.21,67.46,385
TRP-500198,2.13,308.64,71.12,385
TRP-500199,3.26,472.17,123.79,1190
TRP-500200,3.43,496.77,114.94,1190
TRP-500201,7.59,1099.94,365.74,2579.17
TRP-500202,6.94,1006.66,388.6,2360.43
TRP-500203,6.87,995.64,368.63,2334.61
TRP-500204,7.7,1116.83,360.15,2618.77
TRP-500205,7.6,1102.09,404.34,1824.15
TRP-500206,7.46,1081.03,370.27,1789.29
TRP-500207,12.31,1784.61,292.48,4184.59
TRP-500208,11.56,1676.13,310.62,3930.24
TRP-500209,1.24,179.67,46.09,385
TRP-500210,1.19,173.2,47.06,385
TRP-500211,1.2,173.39,44.26,525
TRP-500212,1.27,183.54,45.5,525
TRP-500213,1.23,177.93,43.28,385
TRP-500214,0.98,141.5,42.38,385
TRP-500215,2.39,346.14,87.51,840
TRP-500216,2.71,393.37,94.71,840
TRP-500217,8.41,1219.86,248.17,2860.35
TRP-500218,7.48,1084.94,236.63,2543.99
TRP-500219,18.99,2753.65,510.58,6456.83
TRP-500220,17.79,2579.47,510.21,6048.42
TRP-500221,17.08,2475.92,567.88,5805.6
TRP-500222,18.15,2632.38,478.1,6172.47
TRP-500223,9.47,1373.09,169.84,2272.7
TRP-500224,9.89,1434.07,166.06,2373.63
TRP-500225,5.41,784.34,92.08,1298.22
TRP-500226,4.82,698.6,90.12,1156.31
TRP-500227,1.35,196.2,41.59,385
TRP-500228,1.39,202.06,40.08,385
TRP-500229,1.35,195.75,39.56,525
TRP-500230,1.46,211.03,40.64,525
TRP-500231,0.97,140.32,24.61,840
TRP-500232,0.94,136.06,23.3,840
TRP-500233,10.71,1553.32,299.79,3642.28
TRP-500234,11.36,1647.82,303.79,3863.86
TRP-500235,8.41,1219.64,36.25,1261.7
TRP-500236,9.15,1326.79,38.77,594.77
TRP-500237,9.2,1333.49,38.43,1379.47
TRP-500238,8.01,1162.03,39.35,520.91
TRP-500239,8.26,1197.91,39.75,1239.22
TRP-500240,10.45,1515.87,55.45,1568.14
TRP-500241,9.38,1360.58,57.2,1407.5
TRP-500242,8.8,1276.61,36.39,1320.63
TRP-500243,8.23,1193.42,34.7,905.36
TRP-500244,8.7,1261.55,31.43,1305.05
TRP-500245,7.9,1146.22,27.62,513.82
TRP-500246,9.23,1338.7,28.26,1384.86
TRP-500247,7.26,1052.39,27.79,798.37
TRP-500248,7.36,1067.29,30.61,809.67
TRP-500249,8.3,1203.92,28.33,913.32
TRP-500250,7.98,1157.28,387.21,2713.62
TRP-500251,7.02,1018.5,371.74,2388.21
TRP-500252,8.13,1178.16,387.71,2762.57
TRP-500253,7.25,1050.92,363.34,2464.24
TRP-500254,7.45,1080.51,406.63,2533.6
TRP-500255,8.17,1185.17,390.52,2779.01
TRP-500256,19.15,2776.32,500.1,6509.99
TRP-500257,16.52,2395.66,491.51,5617.42
TRP-500258,15.72,2278.82,538.94,5343.45
TRP-500259,15.31,2219.64,496.23,5204.66
TRP-500260,14.01,2031.73,272.95,4764.05
TRP-500261,14.08,2041.85,301.34,4787.79
TRP-500262,13.3,1928.21,303.1,4521.33
TRP-500263,13.52,1959.94,294.6,4595.73
TRP-500264,5.31,769.82,175.05,1805.09
TRP-500265,5.03,729.31,174.42,1710.1
TRP-500266,4.13,599.26,136.21,991.88
TRP-500267,3.98,577.19,141.74,955.34
TRP-500268,4.49,650.43,174.95,1525.16
TRP-500269,4.55,659.34,168.34,1546.05
TRP-500270,1.96,284.01,60.32,525
TRP-500271,1.78,257.61,63.12,525
TRP-500272,1.74,251.64,60.96,525
TRP-500273,1.7,246.65,60.44,525
TRP-500274,3.89,564.02,184.9,1322.52
TRP-500275,3.65,529.93,188.04,1242.59
TRP-500276,2.15,311.42,68.75,840
TRP-500277,2.27,328.43,69.05,840
TRP-500278,3.27,474.06,120.57,840
TRP-500279,3.25,471.92,113.18,840
TRP-500280,7.57,1096.96,386.82,1815.67
TRP-500281,7.76,1125.05,399.23,1862.15
TRP-500282,7.31,1060.05,378.65,2485.64
TRP-500283,8.79,1274.94,390.8,2989.53
TRP-500284,6.69,969.85,398.55,1605.26
TRP-500285,7.19,1043.02,379.43,1726.37
TRP-500286,1.32,191.08,42.5,840
TRP-500287,1.19,173.05,45.14,840
TRP-500288,1.24,179.78,46.33,385
TRP-500289,1.27,183.49,48.78,385
TRP-500290,2.55,370.3,92.66,840
TRP-500291,2.27,328.64,93.34,840
TRP-500292,7.06,1024.04,257.37,2401.19
TRP-500293,8.22,1191.27,250.43,2793.32
TRP-500294,17.4,2523.57,472.49,4176.95
TRP-500295,14.83,2149.75,506.03,3558.21
TRP-500296,5.3,768.06,99.84,1800.97
TRP-500297,4.83,701.01,94.38,1643.75
TRP-500298,5.21,754.75,93.49,1769.76
TRP-500299,4.69,679.95,89.87,1594.38
TRP-500300,1.39,200.87,38.84,840
TRP-500301,1.43,207.64,39.58,840
TRP-500302,1.46,212.12,41.02,840
TRP-500303,1.62,234.46,41.99,840
TRP-500304,0.93,135.16,25.11,385
TRP-500305,0.97,140.44,24.66,385
TRP-500306,9.27,1343.77,138.06,3150.9
TRP-500307,9.42,1366.5,149.04,3204.21
TRP-500308,13.1,1899.32,282.12,4453.58
TRP-500309,11.89,1724.11,286.66,4042.74
TRP-500310,9.29,1347.13,41.6,1393.59
TRP-500311,8.45,1225.81,39.4,1268.08
TRP-500312,9.91,1436.74,40.66,1486.28
TRP-500313,9.4,1363.52,39.21,1410.53
TRP-500314,8.82,1278.54,39.87,969.93
TRP-500315,9.56,1386.16,41.03,621.38
TRP-500316,8.58,1243.91,58.88,943.65
TRP-500317,9.8,1421.24,53.6,1470.25
TRP-500318,10.74,1556.71,55.91,1610.39
TRP-500319,10.47,1517.59,56.06,1151.28
TRP-500320,9.29,1346.91,32.5,1021.79
TRP-500321,8.67,1257.51,36.6,1300.87
TRP-500322,7.66,1110.61,34.79,1148.91
TRP-500323,8.94,1295.59,34.8,982.86
TRP-500324,8.21,1190.35,35.96,533.61
TRP-500325,8.17,1184.46,28.05,898.56
TRP-500326,7.13,1033.27,28.27,1068.9
TRP-500327,7.61,1103.77,30.72,494.79
TRP-500328,8.35,1210.45,29.83,1252.18
TRP-500329,7.97,1155.82,28.74,1195.68
TRP-500330,7.24,1050.46,385.55,2463.16
TRP-500331,7.3,1059.04,371.93,2483.28
TRP-500332,6.81,987.49,360.91,1634.46
TRP-500333,6.96,1008.59,384.81,1669.39
TRP-500334,7.53,1091.4,390.58,1806.45
TRP-500335,7.82,1133.28,373.69,1875.77
TRP-500336,16.71,2422.47,506.22,5680.27
TRP-500337,17.05,2472.34,566.55,5797.22
TRP-500338,16.51,2393.93,476.35,5613.35
TRP-500339,15.96,2313.99,530.33,5425.92
TRP-500340,13.35,1936.47,281.62,4540.69
TRP-500341,15.06,2183.86,293.77,5120.77
TRP-500342,4.89,709,174.8,1662.48
TRP-500343,4.68,679.01,187.2,1592.15
TRP-500344,3.76,544.92,144.97,901.93
TRP-500345,3.69,535.36,148.74,886.11
TRP-500346,4.69,680.39,166.78,1126.17
TRP-500347,4.56,660.85,153.02,1093.82
TRP-500348,1.86,269.9,57.25,385
TRP-500349,1.68,243.98,60.05,385
TRP-500350,1.89,273.46,60.68,525
TRP-500351,1.64,237.25,62.06,525
TRP-500352,5.4,782.82,147.97,1835.59
TRP-500353,5.4,782.94,148.4,1835.87
TRP-500354,12.8,1855.66,231.38,4351.21
TRP-500355,12.59,1825.93,251.59,4281.5
TRP-500356,4.17,604.18,183.97,1000.02
TRP-500357,4.19,608.22,185.03,1006.71
TRP-500358,2.07,300.29,73.66,525
TRP-500359,2.11,306.2,68.54,525
TRP-500360,2.79,404.83,120.48,840
TRP-500361,3.6,521.43,120.61,863.06
TRP-500362,7.09,1028.39,364.74,2411.39
TRP-500363,7.14,1035.54,383.6,2428.16
TRP-500364,8,1159.75,362.33,2719.41
TRP-500365,7.81,1132.61,383.73,2655.76
TRP-500366,7.77,1125.94,393.43,2640.14
TRP-500367,7.76,1124.9,405.55,2637.69
TRP-500368,21.17,3069.3,609.19,7196.99
TRP-500369,21.26,3082.64,577.79,7228.26
TRP-500370,11.64,1687.53,302.08,3956.98
TRP-500371,11.89,1724.46,287.84,4043.57
TRP-500372,1.34,194.87,44.54,385
TRP-500373,1.28,185.26,46.58,385
TRP-500374,1.25,180.63,42.03,840
TRP-500375,1.18,171.31,44.11,840
TRP-500376,2.44,354.38,94.43,385
TRP-500377,2.49,361.57,95.86,385
TRP-500378,7.84,1136.8,256.57,2665.61
TRP-500379,7.71,1117.84,267.34,2621.13
TRP-500380,17.28,2506.23,524.14,5876.67
TRP-500381,16.11,2335.58,564.53,5476.53
TRP-500382,9.58,1389.52,179.56,3258.18
TRP-500383,8.94,1296.56,179.36,3040.22
TRP-500384,4.93,715.49,91.68,1184.25
TRP-500385,4.93,714.42,93.36,1182.49
TRP-500386,1.63,235.98,39.78,840
TRP-500387,1.66,240.68,40.34,840
TRP-500388,1.52,220.54,41.39,840
TRP-500389,1.39,202.22,43.11,840
TRP-500390,0.95,137.22,23.62,385
TRP-500391,0.86,124.61,24.91,385
TRP-500392,0.98,142.38,24.6,525
TRP-500393,0.94,135.87,25.04,525
TRP-500394,9.84,1426.59,137.07,3345.1
TRP-500395,8.86,1284.98,144.01,3013.06
TRP-500396,11.84,1717.18,294.98,4026.49
TRP-500397,11.63,1686.51,287.65,3954.58
TRP-500398,8.15,1181.13,41.42,1221.86
TRP-500399,8.13,1178.64,42.17,1219.28
TRP-500400,9.54,1383.04,38.23,1430.73
TRP-500401,9.18,1331.77,37.78,597
TRP-500402,9.07,1315.12,39.14,1360.47
TRP-500403,9.58,1389.68,39.14,1437.6
TRP-500404,9.37,1358.62,39.89,1405.47
TRP-500405,9.57,1387.35,56.3,1435.19
TRP-500406,7.99,1159.25,56.38,519.66
TRP-500407,10.3,1493.54,51.6,1133.03
TRP-500408,8.66,1255.87,35.38,1299.18
TRP-500409,9.17,1329.27,34.31,1375.11
TRP-500410,7.84,1137.41,35.61,509.87
TRP-500411,9.15,1326.57,33.4,1372.32
TRP-500412,8.57,1242.94,36.11,1285.8
TRP-500413,7.9,1145.33,30.36,513.42
TRP-500414,9.12,1321.82,29.61,1367.4
TRP-500415,7.94,1151.18,30.33,1190.88
TRP-500416,9.17,1329.4,31.58,1375.24
TRP-500417,7.37,1068.83,383.04,1769.1
TRP-500418,8.1,1174.87,351.44,1944.61
TRP-500419,11.78,1708,301.49,4004.97
TRP-500420,13.19,1913.13,312.55,4485.96
TRP-500421,3.84,556.77,139.76,921.55
TRP-500422,3.82,554.07,151.05,917.08
TRP-500423,1.71,247.77,59.81,840
TRP-500424,1.77,257.25,61.09,840
TRP-500425,5.72,829.71,155.98,1373.32
TRP-500426,5.67,822.23,148.1,1360.93
TRP-500427,3.07,444.59,187.78,840
TRP-500428,3.92,568.56,195.06,941.06
TRP-500429,2.08,301.4,74.96,385
TRP-500430,2.08,301.94,64.53,385
TRP-500431,7.19,1041.85,402.78,2442.95
TRP-500432,6.89,998.84,366.5,2342.11
TRP-500433,11.82,1713.66,284.12,4018.25
TRP-500434,12.48,1810.05,294.35,4244.26
TRP-500435,1.21,175.71,46.51,840
TRP-500436,1.21,176.05,46.93,840
TRP-500437,9.26,1343.01,184.86,3149.13
TRP-500438,9.32,1350.81,168.82,3167.41
TRP-500439,1.49,216.44,41.52,385
TRP-500440,1.52,220.19,39.11,385
TRP-500441,8.55,1239.53,41.36,555.65
TRP-500442,8.74,1266.88,41.72,961.08
TRP-500443,10.01,1451.49,54.28,650.67
TRP-500444,8.66,1255.25,33.84,1298.54
TRP-500445,8.39,1216.02,35.87,545.11
TRP-500446,7.44,1079.2,29.31,1116.42
TRP-500447,7.35,1066,31.86,1102.75
TRP-500448,7.67,1112.2,382.47,2607.93
TRP-500449,6.68,968.98,370.64,2272.09
TRP-500450,7.26,1053.25,383.5,2469.7
TRP-500451,7.63,1106.6,400.54,2594.79
TRP-500452,7.46,1081.87,376.84,1790.67
TRP-500453,7.61,1102.8,388.69,1825.33
TRP-500454,17.72,2569.02,517.36,6023.92
TRP-500455,17.48,2534.14,492.62,5942.13
TRP-500456,15.87,2301.58,507.69,5396.81
TRP-500457,16.34,2369.91,549.08,5557.02
TRP-500458,13.29,1927.08,289.5,4518.68
TRP-500459,12.61,1827.91,306.11,4286.13
TRP-500460,5.14,745.64,181.67,1748.39
TRP-500461,5.55,804.35,181.34,1886.05
TRP-500462,4.74,686.98,177.06,1610.85
TRP-500463,4.96,718.53,177.83,1684.83
TRP-500464,3.85,558.14,150.7,923.82
TRP-500465,3.77,546.92,135.7,905.25
TRP-500466,4.28,620.17,150.72,1026.49
TRP-500467,3.55,515.14,151.8,852.64
TRP-500468,3.74,541.98,166.67,897.07
TRP-500469,4.61,668.04,165.32,1105.72
TRP-500470,1.65,239.6,58.96,525
TRP-500471,1.76,255.52,58.36,525
TRP-500472,1.74,251.58,62.93,525
TRP-500473,2.18,315.81,60.98,525
TRP-500474,12.16,1763.22,264.99,4134.45
TRP-500475,12.58,1823.88,242.94,4276.69
TRP-500476,2.26,327.26,72.97,525
TRP-500477,2.22,322.5,68.6,525
TRP-500478,3.87,561.41,115.32,929.23
TRP-500479,3.35,486.47,120.08,840
TRP-500480,6.76,980.73,349.43,1623.29
TRP-500481,6.26,907.73,366.53,1502.45
TRP-500482,7.77,1126.3,370.13,2640.98
TRP-500483,7.77,1126.65,398.43,2641.79
TRP-500484,6.43,932.01,380.71,1542.63
TRP-500485,7.75,1123.05,389.94,1858.84
TRP-500486,22.56,3270.71,602.14,5280
TRP-500487,20.05,2906.6,590.31,4810.93
TRP-500488,11.65,1688.55,315.19,3959.36
TRP-500489,12.21,1770.54,310.27,4151.61
TRP-500490,1.17,169.33,45.89,385
TRP-500491,1.28,185.53,46.61,385
TRP-500492,1.18,170.52,44.09,525
TRP-500493,1.27,183.94,45.14,525
TRP-500494,2.37,344.14,94.58,525
TRP-500495,2.54,369.02,89.3,525
TRP-500496,7.67,1112.8,241.16,2609.33
TRP-500497,7.54,1093.52,263.94,2564.11
TRP-500498,17.12,2481.92,493.04,5819.68
TRP-500499,15.7,2276.52,493.06,5338.04
TRP-500500,9.51,1378.54,188.6,3232.45
TRP-500501,9.63,1395.65,176.06,3272.56
TRP-500502,5.25,760.86,94.49,1784.08
TRP-500503,5.76,834.81,92.25,1957.47
TRP-500504,1.37,199.08,36.57,840
TRP-500505,1.51,219.11,38.1,840
TRP-500506,0.85,122.87,25.25,385
TRP-500507,0.92,133.11,25.51,385
TRP-500508,9.34,1354.44,140.02,3175.92
TRP-500509,9.45,1370.03,137.88,3212.48
TRP-500510,9.2,1333.62,40.53,1379.61
TRP-500511,9,1305.18,34.67,990.14
TRP-500512,8.26,1197.95,39.43,537.01
TRP-500513,7.56,1096.02,42.73,831.47
TRP-500514,9.59,1390.06,41.59,623.13
TRP-500515,9.21,1335.04,41.57,598.47
TRP-500516,9.46,1371.57,53.57,1040.5
TRP-500517,10.7,1551.84,54.53,1605.35
TRP-500518,9.13,1323.57,54.8,593.32
TRP-500519,8.31,1204.62,35.01,1246.16
TRP-500520,10.07,1460.25,32.81,1510.6
TRP-500521,8.73,1265.71,34.36,960.2
TRP-500522,10,1449.67,35.13,1499.66
TRP-500523,7.74,1122.98,29.37,851.92
TRP-500524,7.47,1083.29,30.22,1120.65
TRP-500525,9.07,1315.87,30.23,1361.25
TRP-500526,8.21,1190.13,27.44,1231.17
TRP-500527,8.06,1168.24,401.29,2739.33
TRP-500528,7.87,1140.63,376,2674.58
TRP-500529,7.6,1102.27,395.95,2584.63
TRP-500530,7.24,1050.36,379.58,2462.91
TRP-500531,7.11,1031.58,393.67,1707.45
TRP-500532,7.59,1100.4,364.27,1821.35
TRP-500533,15.27,2213.85,537.05,3664.3
TRP-500534,17.1,2479.08,509.02,4103.31
TRP-500535,16.62,2410.52,536.74,5652.26
TRP-500536,15.76,2285.51,502.66,5359.12
TRP-500537,13.81,2003.03,297.06,4696.77
TRP-500538,12.11,1755.78,279.55,4117.01
TRP-500539,13.61,1973.12,292.26,4626.64
TRP-500540,13.88,2012.72,287.21,4719.48
TRP-500541,4.88,707.43,180.68,1658.79
TRP-500542,5.08,737.06,174.1,1728.28
TRP-500543,4.32,626.48,147.39,1036.93
TRP-500544,4.17,603.97,142.95,999.67
TRP-500545,4.96,719.04,172.96,1190.14
TRP-500546,3.99,577.98,157.54,956.66
TRP-500547,1.95,282.98,60.85,525
TRP-500548,1.78,258.82,55.55,525
TRP-500549,1.52,219.89,58.99,525
TRP-500550,1.7,246.78,60.54,525
TRP-500551,13.07,1895.19,237.33,4443.9
TRP-500552,11.61,1682.87,240.99,3946.05
TRP-500553,4.02,582.29,178.75,1365.36
TRP-500554,4.12,597.27,197.07,1400.5
TRP-500555,2.17,314.58,69.54,525
TRP-500556,2.42,350.44,70.27,525
TRP-500557,3.6,522.65,118.58,1225.53
TRP-500558,3.48,504.68,118.15,1190
TRP-500559,7.17,1040.32,369.75,2439.37
TRP-500560,7.79,1130.14,357.73,2649.99
TRP-500561,7.18,1041.14,366.76,1723.26
TRP-500562,8.11,1175.74,378.34,1946.05
TRP-500563,7.75,1124.14,385.82,2635.91
TRP-500564,7.1,1029.48,382.66,2413.96
TRP-500565,18.77,2721.2,596.99,6380.75
TRP-500566,20.87,3026.65,568.51,7096.98
TRP-500567,11.9,1724.93,292.37,2855.05
TRP-500568,11.54,1673.46,297.86,2769.86
TRP-500569,1.11,161.47,43.44,840
TRP-500570,1.11,160.48,45.83,840
TRP-500571,1.16,167.59,45.39,840
TRP-500572,1.28,186.19,46.63,840
TRP-500573,1.27,184.46,42.36,525
TRP-500574,1.09,158.77,42.49,525
TRP-500575,2.41,349.28,93.18,385
TRP-500576,2.28,330.5,98.49,385
TRP-500577,7.39,1071.38,238.67,1773.32
TRP-500578,7.78,1127.58,244.29,1866.33
TRP-500579,17.1,2479.22,546.83,5813.35
TRP-500580,17.95,2602.42,513.62,6102.23
TRP-500581,18.41,2669.59,563.19,4418.62
TRP-500582,16.96,2458.57,539.72,4069.35
TRP-500583,9,1305.03,191.45,3060.08
TRP-500584,9.17,1329.32,184.01,3117.04
TRP-500585,4.38,634.91,90.67,1050.89
TRP-500586,5.23,758.68,99.95,1255.74
TRP-500587,1.64,237.15,40.17,385
TRP-500588,1.38,199.6,41.26,385
