maintenance_id,vehicle_id,job_date,job_type,cost_zar,downtime_hours,odometer_km
MNT-300174,VEH-2029,2025-04-19,Repair,8064.02,10.57,728444
MNT-300175,VEH-2109,2025-04-21,Service,6936.24,15.55,457530
MNT-300176,VEH-2058,2025-04-22,Tyres,10229.99,1,241666
MNT-300177,VEH-2006,2025-04-23,Repair,20521.31,5.85,659167
MNT-300178,VEH-2108,2025-04-24,Tyres,7663.94,7.54,793466
MNT-300179,VEH-2001,2025-04-25,Service,8663.72,1,800081
MNT-300180,VEH-2061,2025-04-26,Service,6497.55,6.67,323555
MNT-300181,VEH-2100,2025-04-28,Tyres,7863.58,7.09,681524
MNT-300182,VEH-2056,2025-04-29,Service,8644.34,9.05,679504
MNT-300183,VEH-2112,2025-04-30,Service,2632.73,9.73,206470
MNT-300184,VEH-2071,2025-05-01,Repair,11511.01,15.55,576348
MNT-300185,VEH-2015,2025-05-02,Repair,17659.91,11.64,876457
MNT-300186,VEH-2059,2025-05-05,Repair,20367.25,19.64,800197
MNT-300187,VEH-2055,2025-05-06,Tyres,11676.24,11.22,510480
MNT-300188,VEH-2079,2025-05-10,Repair,9126.5,4.83,694761
MNT-300189,VEH-2112,2025-05-12,Service,3858.88,7.23,207650
MNT-300190,VEH-2034,2025-05-13,Tyres,7432.79,12.1,153892
MNT-300191,VEH-2020,2025-05-14,Service,10256.41,2.82,495821
MNT-300192,VEH-2044,2025-05-17,Service,1547.18,4.85,559453
MNT-300193,VEH-2050,2025-05-19,Repair,557.58,16.43,481604
MNT-300194,VEH-2077,2025-05-20,Repair,7910.71,13.12,765948
MNT-300195,VEH-2090,2025-05-21,Repair,11380.04,23.77,777092
MNT-300196,VEH-2066,2025-05-22,Service,7948.73,10.75,578634
MNT-300197,VEH-2050,2025-05-23,Repair,466.51,10,482181
MNT-300198,VEH-2066,2025-05-24,Service,10995.18,10.99,580780
MNT-300199,VEH-2018,2025-05-26,Service,9108.47,1,589383
MNT-300200,VEH-2058,2025-05-27,Tyres,11641.58,7.74,253652
MNT-300201,VEH-2047,2025-05-28,Service,2116.58,13.79,157561
MNT-300202,VEH-2029,2025-05-29,Tyres,6250.09,3.67,745542
MNT-300203,VEH-2118,2025-05-31,Tyres,2351.79,3.2,698165
MNT-300204,VEH-2071,2025-06-02,Repair,7258.55,15.94,585918
MNT-300205,VEH-2079,2025-06-03,Repair,8760.98,22.19,696318
MNT-300206,VEH-2116,2025-06-04,Service,1985.08,9.17,455256
MNT-300207,VEH-2044,2025-06-05,Repair,2093.86,11.94,560033
MNT-300208,VEH-2053,2025-06-06,Service,353.96,1,638765
MNT-300209,VEH-2012,2025-06-07,Tyres,10539.44,8.58,594235
MNT-300210,VEH-2112,2025-06-09,Service,2192.41,10.79,209346
MNT-300211,VEH-2002,2025-06-10,Tyres,11843.82,6.01,710821
MNT-300212,VEH-2072,2025-06-11,Tyres,11335.57,10.87,848542
MNT-300213,VEH-2013,2025-06-12,Service,9882.45,1.96,381102
MNT-300214,VEH-2071,2025-06-13,Tyres,12707.28,1,588829
MNT-300215,VEH-2038,2025-06-14,Service,3991.67,1,507325
MNT-300216,VEH-2001,2025-06-16,Service,8843.18,12.3,812314
MNT-300217,VEH-2040,2025-06-17,Repair,6044.09,12.04,161445
MNT-300218,VEH-2077,2025-06-19,Repair,6336.37,12.9,768183
MNT-300219,VEH-2118,2025-06-20,Repair,3778.84,10.34,699300
MNT-300220,VEH-2035,2025-06-23,Service,2702.59,1,449005
MNT-300221,VEH-2035,2025-06-25,Service,2740.18,3.22,449208
MNT-300222,VEH-2063,2025-06-26,Tyres,12188.99,5.3,543805
MNT-300223,VEH-2001,2025-06-27,Repair,11390.45,12.74,820010
MNT-300224,VEH-2054,2025-06-28,Repair,554.28,21.21,227907
MNT-300225,VEH-2043,2025-06-30,Repair,4181.51,8.06,612452
MNT-300226,VEH-2051,2025-07-01,Repair,687.95,1,295039
MNT-300227,VEH-2083,2025-07-02,Service,3004.21,1,559896
MNT-300228,VEH-2111,2025-07-03,Repair,5872.19,21.18,227149
MNT-300229,VEH-2001,2025-07-04,Service,7585.03,3.29,821450
MNT-300230,VEH-2040,2025-07-05,Repair,4001.06,21.12,163240
MNT-300231,VEH-2054,2025-07-07,Repair,609.2,22.11,229094
MNT-300232,VEH-2004,2025-07-08,Repair,18546.4,2.32,375406
MNT-300233,VEH-2124,2025-07-09,Tyres,35.54,5.94,544051
MNT-300234,VEH-2052,2025-07-10,Repair,744.96,17.87,606590
MNT-300235,VEH-2108,2025-07-11,Service,1810.22,1,815055
MNT-300236,VEH-2032,2025-07-12,Repair,8891.54,2.46,816811
MNT-300237,VEH-2038,2025-07-14,Repair,7408.61,18.95,510910
MNT-300238,VEH-2101,2025-07-15,Repair,13504.49,12.47,284595
MNT-300239,VEH-2066,2025-07-16,Service,2143.95,7.37,593314
MNT-300240,VEH-2039,2025-07-18,Service,4779.39,10.27,748670
MNT-300241,VEH-2049,2025-07-19,Service,2274.99,1,587117
MNT-300242,VEH-2070,2025-07-21,Service,6153.96,6.88,384321
MNT-300243,VEH-2002,2025-07-23,Tyres,13056.13,9.75,727152
MNT-300244,VEH-2041,2025-07-24,Repair,7446.92,15.04,624670
MNT-300245,VEH-2031,2025-07-25,Repair,12611.68,17.85,293642
MNT-300246,VEH-2029,2025-07-26,Repair,8694.83,12.02,777463
MNT-300247,VEH-2074,2025-07-28,Service,8154.64,3.84,527357
MNT-300248,VEH-2019,2025-07-30,Repair,9077.15,26.49,871367
MNT-300249,VEH-2078,2025-07-31,Tyres,5590.63,3.99,551798
MNT-300250,VEH-2017,2025-08-01,Service,8524.72,1,657640
MNT-300251,VEH-2050,2025-08-02,Service,303.89,3.36,488220
MNT-300252,VEH-2066,2025-08-05,Service,8009.85,1.73,598789
MNT-300253,VEH-2039,2025-08-06,Repair,3806.82,11.06,750319
MNT-300254,VEH-2094,2025-08-07,Tyres,19744.89,7.49,673950
MNT-300255,VEH-2117,2025-08-08,Repair,4217.66,17.93,341920
MNT-300256,VEH-2121,2025-08-11,Service,327.97,1.09,204776
MNT-300257,VEH-2081,2025-08-12,Service,1035.71,2.81,195505
MNT-300258,VEH-2029,2025-08-13,Service,5815.87,6.15,782910
MNT-300259,VEH-2107,2025-08-14,Repair,6353.97,7.6,750172
MNT-300260,VEH-2123,2025-08-16,Service,356.79,2.13,435961
MNT-300261,VEH-2116,2025-08-18,Repair,1659.9,16.54,459545
MNT-300262,VEH-2006,2025-08-19,Tyres,14669.4,1,708489
MNT-300263,VEH-2069,2025-08-20,Repair,12675.25,8.16,749825
MNT-300264,VEH-2022,2025-08-21,Repair,8721.97,23.38,378265
MNT-300265,VEH-2107,2025-08-22,Repair,2623.73,4.5,752126
MNT-300266,VEH-2032,2025-08-23,Repair,10159.09,25.09,836915
MNT-300267,VEH-2054,2025-08-26,Repair,270.52,23.08,231561
MNT-300268,VEH-2075,2025-08-27,Service,2517.57,1,410874
MNT-300269,VEH-2033,2025-08-28,Service,1943.12,6.61,720108
MNT-300270,VEH-2121,2025-08-29,Service,358.77,19.44,205224
MNT-300271,VEH-2016,2025-08-30,Service,7675.11,2.51,448680
MNT-300272,VEH-2052,2025-09-01,Repair,864.5,23.13,611910
MNT-300273,VEH-2050,2025-09-02,Tyres,370.62,1,490743
MNT-300274,VEH-2123,2025-09-03,Service,543.08,1,436551
MNT-300275,VEH-2054,2025-09-04,Tyres,862.27,1.86,232572
MNT-300276,VEH-2023,2025-09-05,Service,8524.37,1,446468
MNT-300277,VEH-2009,2025-09-06,Service,7938.35,8.08,875163
MNT-300278,VEH-2051,2025-09-08,Service,375.96,7.46,299176
MNT-300279,VEH-2017,2025-09-09,Service,7647.75,1,675850
MNT-300280,VEH-2068,2025-09-10,Tyres,9728.7,1,341644
MNT-300281,VEH-2096,2025-09-12,Service,8919.96,12.92,866506
MNT-300282,VEH-2046,2025-09-13,Repair,2906.24,12.7,515217
MNT-300283,VEH-2098,2025-09-15,Service,9240.28,1,385509
MNT-300284,VEH-2060,2025-09-16,Service,5908.88,1,768543
MNT-300285,VEH-2043,2025-09-18,Service,1886.35,1,617549
MNT-300286,VEH-2070,2025-09-19,Service,7197.89,10.28,405985
MNT-300287,VEH-2025,2025-09-22,Service,3918.99,1.87,415096
MNT-300288,VEH-2123,2025-09-23,Tyres,610.08,5.06,437303
MNT-300289,VEH-2060,2025-09-24,Tyres,13054.3,2.88,770699
MNT-300290,VEH-2029,2025-09-25,Repair,8171.94,12.31,804024
MNT-300291,VEH-2094,2025-09-26,Repair,14871.73,13.87,705126
MNT-300292,VEH-2022,2025-09-27,Repair,7371.88,16.31,392812
MNT-300293,VEH-2087,2025-09-29,Repair,499.97,14.21,235666
MNT-300294,VEH-2112,2025-09-30,Repair,5954.06,17.25,217038
MNT-300295,VEH-2034,2025-10-01,Tyres,5351.61,2.23,167945
MNT-300296,VEH-2018,2025-10-02,Service,9007.09,1,633443
MNT-300297,VEH-2093,2025-10-03,Service,8462.94,11.61,693904
MNT-300298,VEH-2079,2025-10-06,Repair,6028.24,18.73,708115
MNT-300299,VEH-2070,2025-10-07,Service,8952.1,1,412547
MNT-300300,VEH-2005,2025-10-08,Repair,22438.29,12.9,533891
MNT-300301,VEH-2054,2025-10-09,Tyres,300.74,14.69,234747
MNT-300302,VEH-2014,2025-10-11,Service,9436.24,1.42,316676
MNT-300303,VEH-2013,2025-10-13,Tyres,12313.19,1,441291
MNT-300304,VEH-2100,2025-10-14,Service,10528.36,1,755514
MNT-300305,VEH-2001,2025-10-15,Service,11061.74,3.31,869690
MNT-300306,VEH-2063,2025-10-16,Repair,21988.89,9.24,584445
MNT-300307,VEH-2100,2025-10-18,Service,7384.86,1.24,756916
MNT-300308,VEH-2029,2025-10-20,Service,4995.35,1,815719
MNT-300309,VEH-2123,2025-10-21,Tyres,488.57,2.34,438944
MNT-300310,VEH-2107,2025-10-22,Repair,3332.31,13.4,765250
MNT-300311,VEH-2042,2025-10-23,Repair,3261.6,9.51,572289
MNT-300312,VEH-2098,2025-10-24,Repair,10828.99,14.23,405621
MNT-300313,VEH-2092,2025-10-27,Service,10259.96,5.32,457452
MNT-300314,VEH-2005,2025-10-28,Service,6100.31,1,546551
MNT-300315,VEH-2038,2025-10-29,Tyres,5385.91,1,525004
MNT-300316,VEH-2042,2025-10-30,Repair,5728.25,14.54,572782
MNT-300317,VEH-2016,2025-10-31,Repair,15933.89,12.42,471795
MNT-300318,VEH-2008,2025-11-03,Repair,23339.24,1,603292
MNT-300319,VEH-2054,2025-11-04,Service,341.37,1,236170
MNT-300320,VEH-2012,2025-11-05,Repair,11888.33,3.51,665942
MNT-300321,VEH-2036,2025-11-06,Repair,7549.89,13.71,198536
MNT-300322,VEH-2003,2025-11-07,Service,11501.58,6.82,670744
MNT-300323,VEH-2008,2025-11-08,Repair,21457.97,1.27,608657
MNT-300324,VEH-2043,2025-11-10,Service,1384.36,4.79,621909
MNT-300325,VEH-2117,2025-11-11,Repair,2541.93,15,346041
MNT-300326,VEH-2102,2025-11-12,Tyres,9441.43,1,618307
MNT-300327,VEH-2109,2025-11-13,Service,5301.57,1,502729
MNT-300328,VEH-2046,2025-11-14,Service,2333.46,1,519673
MNT-300329,VEH-2101,2025-11-15,Service,11127.66,1,355406
MNT-300330,VEH-2054,2025-11-17,Service,203.73,4.73,237114
MNT-300331,VEH-2017,2025-11-18,Service,6358.33,7.22,717470
MNT-300332,VEH-2049,2025-11-19,Tyres,2686.24,2.44,596276
MNT-300333,VEH-2085,2025-11-20,Tyres,3285.59,2.21,311275
MNT-300334,VEH-2035,2025-11-21,Tyres,4370.51,3.67,465687
MNT-300335,VEH-2019,2025-11-22,Repair,17339.06,11.6,923188
MNT-300336,VEH-2031,2025-11-24,Repair,6116.95,15.47,350359
MNT-300337,VEH-2039,2025-11-25,Repair,4845.56,13.25,765684
MNT-300338,VEH-2064,2025-11-26,Repair,15129.63,16.9,598260
MNT-300339,VEH-2071,2025-11-27,Service,4308.9,21.04,638456
MNT-300340,VEH-2098,2025-11-28,Repair,18180.19,12.83,427558
MNT-300341,VEH-2009,2025-11-29,Repair,9469.85,13.45,919607
MNT-300342,VEH-2001,2025-12-01,Service,8298.29,1,895354
MNT-300343,VEH-2123,2025-12-03,Repair,474.04,13.84,440441
MNT-300344,VEH-2114,2025-12-05,Service,3058.7,1.23,492975
MNT-300345,VEH-2058,2025-12-06,Tyres,12257.13,2.98,335015
MNT-300346,VEH-2061,2025-12-08,Repair,18288.18,21.18,399397
MNT-300347,VEH-2042,2025-12-09,Tyres,2306.91,1,576833
MNT-300348,VEH-2120,2025-12-10,Tyres,3104.58,16.36,672514
MNT-300349,VEH-2066,2025-12-11,Repair,17294.94,19.39,646702
MNT-300350,VEH-2119,2025-12-13,Repair,4239.45,14.29,693453
MNT-300351,VEH-2011,2025-12-15,Tyres,11909.27,1,861396
MNT-300352,VEH-2095,2025-12-16,Tyres,13862.26,5.15,664449
MNT-300353,VEH-2091,2025-12-17,Service,8504.83,7.83,773093
MNT-300354,VEH-2118,2025-12-18,Tyres,4139.68,7.52,709148
MNT-300355,VEH-2055,2025-12-19,Repair,11242.12,16.42,583749
MNT-300356,VEH-2042,2025-12-20,Service,1939.63,6.34,577873
MNT-300357,VEH-2012,2025-12-23,Repair,18384.07,10.22,695168
MNT-300358,VEH-2046,2025-12-25,Repair,3606.95,13.36,522471
MNT-300359,VEH-2001,2025-12-26,Repair,15211.45,9.33,903717
MNT-300360,VEH-2047,2025-12-29,Repair,3408.86,14.05,173189
MNT-300361,VEH-2048,2025-12-30,Repair,3391.55,10.34,392846
MNT-300362,VEH-2067,2025-12-31,Service,3883.57,12.89,669212
MNT-300363,VEH-2081,2026-01-01,Tyres,2806.85,1,207218
MNT-300364,VEH-2088,2026-01-02,Repair,478.33,21.08,661666
MNT-300365,VEH-2070,2026-01-03,Repair,12492.97,25.07,450279
MNT-300366,VEH-2013,2026-01-05,Repair,19347.3,8.03,489948
MNT-300367,VEH-2064,2026-01-08,Tyres,22250.35,3.69,616226
MNT-300368,VEH-2047,2026-01-10,Tyres,3786.84,1.65,175181
MNT-300369,VEH-2062,2026-01-12,Repair,16289.9,12.53,718624
MNT-300370,VEH-2110,2026-01-13,Tyres,4561.59,2.81,693728
MNT-300371,VEH-2014,2026-01-14,Service,13480.49,4.97,373109
MNT-300372,VEH-2101,2026-01-15,Repair,15007.1,21.67,381714
MNT-300373,VEH-2096,2026-01-19,Service,5456.28,1,927087
MNT-300374,VEH-2102,2026-01-20,Service,4724.2,3.3,629337
MNT-300375,VEH-2121,2026-01-21,Repair,911.34,9.31,210374
MNT-300376,VEH-2026,2026-01-22,Service,7665.32,2.42,403600
MNT-300377,VEH-2042,2026-01-23,Service,2023.77,1,579909
MNT-300378,VEH-2099,2026-01-24,Repair,15650.83,6.43,934344
MNT-300379,VEH-2035,2026-01-26,Tyres,4184.18,6.93,470772
MNT-300380,VEH-2021,2026-01-27,Service,7383.05,1.59,568903
MNT-300381,VEH-2114,2026-01-28,Tyres,5794.17,1,497043
MNT-300382,VEH-2094,2026-01-29,Repair,11355.09,14.05,776761
MNT-300383,VEH-2060,2026-01-30,Service,5801.44,3.79,816890
