order_line_id,order_id,sku,quantity,unit_price,discount_pct,line_revenue,promo_id
SOL-900054,SO-700011,MP-1097,18,268.88,3.51,4670.16,
SOL-900055,SO-700012,MP-1042,7,98.68,0,690.76,
SOL-900056,SO-700012,MP-1022,11,180.05,0.96,"1,961.50",
SOL-900057,SO-700012,MP-1013,8,311.77,1.69,2451.89,
SOL-900058,SO-700012,MP-1014,6,550.07,1.51,3250.64,
SOL-900059,SO-700012,MP-1033,7,393.52,0.61,2737.84,
SOL-900060,SO-700013,MP-1098,8,101.54,2.8,789.55,
SOL-900061,SO-700013,MP-1118,6,359.77,3.12,2091.21,
SOL-900062,SO-700013,MP-1012,21,159.78,4.1,3217.82,
SOL-900063,SO-700013,MP-1008,8,222.67,2.51,1736.71,
SOL-900064,SO-700014,MP-1016,12,258.74,4.03,2979.89,
SOL-900065,SO-700014,MP-1043,21,98.76,3.77,1995.7,
SOL-900066,SO-700014,MP-1051,16,428.57,5.28,6495.39,
SOL-900067,SO-700014,MP-1079,21,389.37,3.53,7888.38,
SOL-900068,SO-700014,MP-1098,19,101.18,4.72,1831.73,
SOL-900069,SO-700014,MP-1029,25,349.7,4.5,8349.35,
SOL-900070,SO-700015,MP-1039,9,241.7,3.11,2107.61,
SOL-900071,SO-700015,MP-1047,10,369.97,4.09,3548.53,
SOL-900072,SO-700015,MP-1129,9,276.5,4.65,2372.82,
SOL-900073,SO-700015,MP-1073,9,318.67,4.51,2738.77,
SOL-900074,SO-700016,MP-1129,8,279.69,8.04,2057.58,
SOL-900075,SO-700016,MP-1017,10,410.37,7.77,3784.88,
SOL-900076,SO-700016,MP-1037,12,224.44,7.9,2480.64,
SOL-900077,SO-700016,MP-1056,14,300.4,7.68,3882.52,
SOL-900078,SO-700016,MP-1089,11,221.64,8.82,2222.95,
SOL-900079,SO-700017,MP-1009,4,160.8,3.2,622.64,
SOL-900080,SO-700017,MP-1106,8,103.11,1.61,811.59,
SOL-900081,SO-700017,MP-1101,5,110.27,2.66,536.67,
SOL-900082,SO-700017,MP-1065,8,246.28,3.43,1902.66,
SOL-900083,SO-700018,MP-1037,20,227.69,4,4371.74,
SOL-900084,SO-700018,MP-1044,11,193.6,3.96,2045.24,
SOL-900085,SO-700018,MP-1012,8,165.11,4.39,1262.91,
SOL-900086,SO-700019,MP-1119,26,332.92,7.8,7980.41,
SOL-900087,SO-700019,MP-1111,12,259.95,6.5,"2,916.62",
SOL-900088,SO-700019,MP-1033,17,395.59,8.86,6129.16,
SOL-900089,SO-700019,MP-1076,13,263.54,9.01,3117.32,
SOL-900090,SO-700019,MP-1123,22,305.87,7.13,"6,249.03",
SOL-900091,SO-700019,MP-1122,18,286.51,7.92,"4,748.77",
SOL-900092,SO-700019,MP-1030,20,315.22,8.77,5751.79,
SOL-900093,SO-700020,MP-1078,18,364.88,4.63,"6,263.55",
SOL-900094,SO-700020,MP-1018,15,306.33,4.78,4375.5,
SOL-900095,SO-700020,MP-1026,25,248.55,3.65,5986.64,
SOL-900096,SO-700020,MP-1025,17,229.47,4.05,3743.1,
SOL-900097,SO-700021,MP-1063,-9,202.55,11.99,-1604.37,
SOL-900098,SO-700021,MP-1081,-3,217.61,12.44,-571.64,
SOL-900099,SO-700021,MP-1014,-4,545.27,11.61,"-1,879.67",
SOL-900100,SO-700021,MP-1057,-12,255.82,13.02,-2603.32,
SOL-900101,SO-700021,MP-1082,-6,253.86,12.14,-1338.26,
SOL-900102,SO-700021,MP-1018,-8,306.12,12.42,-2091.25,
SOL-900103,SO-700022,MP-1112,21,293.33,9.98,5544.91,
SOL-900104,SO-700022,MP-1027,27,234.17,10.74,5643.78,
SOL-900105,SO-700022,MP-1028,15,378.04,10.03,5101.87,
SOL-900106,SO-700022,MP-1012,36,163.7,10.02,5302.61,
SOL-900107,SO-700022,MP-1044,35,189.6,11.9,5846.42,
SOL-900108,SO-700022,MP-1040,20,228.85,9.95,4121.53,
SOL-900109,SO-700022,MP-1106,19,103.16,10.15,"1,761.16",
SOL-900110,SO-700022,MP-1011,18,258.64,10.91,4147.74,
SOL-900111,SO-700023,MP-1025,10,228.97,10.8,"2,042.37",
SOL-900112,SO-700023,MP-1117,20,355.76,9.66,6428.18,
SOL-900113,SO-700023,MP-1076,9,267.76,10.24,2163.01,
SOL-900114,SO-700023,MP-1047,13,368.05,9.53,4328.49,
SOL-900115,SO-700023,MP-1037,17,222.65,9.58,3422.61,
SOL-900116,SO-700024,MP-1009,24,164,7.02,3659.5,
SOL-900117,SO-700024,MP-1117,22,358.11,8.91,7176.27,
SOL-900118,SO-700024,MP-1115,14,345.72,9.5,4380.27,
SOL-900119,SO-700024,MP-1037,59,223.8,7.84,12168.58,
SOL-900120,SO-700024,MP-1121,29,300.52,8.72,7954.72,
SOL-900121,SO-700024,MP-1049,26,324.33,7.68,7784.91,
SOL-900122,SO-700024,MP-1047,22,368.1,8.1,"7,442.60",
SOL-900123,SO-700025,MP-1044,17,194.18,2.51,3218.28,
SOL-900124,SO-700025,MP-1038,12,207.76,1.64,2452.24,
SOL-900125,SO-700025,MP-1040,11,232.02,1.93,2502.88,
SOL-900126,SO-700025,MP-1014,8,555.3,1.15,"4,391.43",
SOL-900127,SO-700026,MP-1126,17,613.64,8.87,9506.89,
SOL-900128,SO-700026,MP-1037,15,225.04,9.09,3068.62,
SOL-900129,SO-700026,MP-1114,13,362.96,9.52,4269.26,
SOL-900130,SO-700026,MP-1119,58,330.8,10.01,"17,266.21",
SOL-900131,SO-700026,MP-1002,21,207.94,9.26,"3,962.38",
SOL-900132,SO-700026,MP-1038,21,208.76,10.34,3930.84,
SOL-900133,SO-700026,MP-1050,23,295.17,8.33,6223.41,
SOL-900134,SO-700026,MP-1036,30,320,8.45,8788.69,
SOL-900135,SO-700027,MP-1081,17,214.14,4.79,3466.11,
SOL-900136,SO-700027,MP-1047,26,376.32,3.95,9397.51,
SOL-900137,SO-700027,MP-1042,27,97.36,4.87,2500.71,
SOL-900138,SO-700027,MP-1008,37,222.75,3.89,7921.14,
SOL-900139,SO-700027,MP-1029,24,347.97,5.49,7892.64,
SOL-900140,SO-700028,MP-1071,10,170.22,1.54,1675.94,
SOL-900141,SO-700028,MP-1016,19,256.56,2.8,4738.11,
SOL-900142,SO-700028,MP-1035,15,107.79,3.19,1565.19,
SOL-900143,SO-700028,MP-1008,16,223.87,1.27,3536.29,
SOL-900144,SO-700028,MP-1034,10,104.57,2.62,1018.31,
SOL-900145,SO-700029,MP-1051,16,430.39,7.34,6381.01,
SOL-900146,SO-700029,MP-1029,9,351.98,7.52,2929.63,
SOL-900147,SO-700029,MP-1039,10,247.51,7,2301.76,
SOL-900148,SO-700029,MP-1020,10,220.83,8.01,2031.45,
SOL-900149,SO-700029,MP-1073,11,323.93,6.91,3317.18,
SOL-900150,SO-700029,MP-1070,9,154.38,7.03,1291.79,
SOL-900151,SO-700029,MP-1078,13,366.85,6.58,4455.3,
SOL-900152,SO-700029,MP-1023,13,249,7.53,2993.16,
SOL-900153,SO-700030,MP-1018,40,308.64,0,12345.6,
SOL-900154,SO-700030,MP-1064,13,249.83,0.96,3216.5,
SOL-900155,SO-700031,MP-1043,19,98.69,8.54,1715.05,
SOL-900156,SO-700031,MP-1066,12,181.6,8.79,1987.72,
SOL-900157,SO-700031,MP-1116,20,377.36,8.91,6874.78,
SOL-900158,SO-700031,MP-1023,21,251.13,8.89,4804.67,
SOL-900159,SO-700031,MP-1051,24,429.12,9.15,9356.69,
SOL-900160,SO-700031,MP-1096,8,288.75,9.52,2090.17,
SOL-900161,SO-700031,MP-1111,26,261.29,8.61,6208.68,
SOL-900162,SO-700032,MP-1012,28,165.19,4.93,4397.42,
SOL-900163,SO-700032,MP-1037,18,222.44,5.62,3779,
SOL-900164,SO-700032,MP-1021,12,272.23,3.95,3137.89,
SOL-900165,SO-700032,MP-1034,15,104.42,4.04,1502.98,
SOL-900166,SO-700033,MP-1047,8,373.16,1.12,2951.88,
SOL-900167,SO-700033,MP-1026,9,251.01,2.45,2203.73,
SOL-900168,SO-700033,MP-1051,8,427.17,1.25,3374.57,
SOL-900169,SO-700033,MP-1043,5,96.68,0.37,481.6,
SOL-900170,SO-700034,MP-1131,21,274.79,6.56,5392.24,
SOL-900171,SO-700034,MP-1018,10,304.78,7.08,2832.14,
SOL-900172,SO-700034,MP-1055,8,377.81,7.46,2797,
SOL-900173,SO-700034,MP-1101,32,111.9,7.96,3295.77,
SOL-900174,SO-700034,MP-1112,30,294,6.05,8286.74,
SOL-900175,SO-700034,MP-1041,17,281.44,6.26,4485.03,
SOL-900176,SO-700034,MP-1020,10,223.8,6.73,2087.36,
SOL-900177,SO-700035,MP-1013,13,310.04,11.06,3584.79,
SOL-900178,SO-700035,MP-1020,14,221.19,10.47,2772.53,
SOL-900179,SO-700035,MP-1012,22,162.46,8.76,"3,261.19",
SOL-900180,SO-700035,MP-1042,22,96.93,11.41,1889.09,
SOL-900181,SO-700036,MP-1036,8,316.41,1.6,2490.73,
SOL-900182,SO-700036,MP-1020,9,221.55,1.28,1968.43,
SOL-900183,SO-700037,MP-1011,9,259.27,1.35,2301.97,
SOL-900184,SO-700037,MP-1037,8,223.67,1.47,1763.13,
SOL-900185,SO-700037,MP-1008,9,222.99,0.61,1994.63,
SOL-900186,SO-700037,MP-1057,9,256.02,0.59,2290.49,
SOL-900187,SO-700037,MP-1087,6,224.28,1.4,1326.88,
SOL-900188,SO-700038,MP-1066,9,181.16,1.33,1608.7,
SOL-900189,SO-700038,MP-1056,9,306.16,0.08,2753.27,
SOL-900190,SO-700038,MP-1014,9,547.97,1.06,4879.68,
SOL-900191,SO-700039,MP-1109,12,93.35,6.82,1043.81,
SOL-900192,SO-700039,MP-1045,8,254.31,9.02,"1,851.03",
SOL-900193,SO-700039,MP-1037,4,228.23,7.48,844.65,
SOL-900194,SO-700039,MP-1027,7,227.85,7.33,1478.04,
SOL-900195,SO-700039,MP-1040,7,231.63,6.72,1512.41,
SOL-900196,SO-700040,MP-1022,11,176.39,8.8,1769.57,
SOL-900197,SO-700040,MP-1075,20,567.29,11.09,10087.95,
SOL-900198,SO-700040,MP-1044,26,191.9,8.02,4589.5,
SOL-900199,SO-700040,MP-1010,16,161.9,9.98,2331.78,
SOL-900200,SO-700040,MP-1008,9,219.96,10.84,1765.02,
SOL-900201,SO-700041,MP-1103,14,199.37,3.82,2684.6,
SOL-900202,SO-700041,MP-1016,8,257.95,3.31,1995.2,
SOL-900203,SO-700041,MP-1014,7,561.9,4.37,3761.38,
SOL-900204,SO-700041,MP-1078,23,359.24,3.35,"7,986.12",
SOL-900205,SO-700042,MP-1066,16,181.85,0.5,2895.17,
SOL-900206,SO-700042,MP-1099,13,107.49,0.77,1386.66,
SOL-900207,SO-700042,MP-1030,15,315.19,0.54,4702.17,
SOL-900208,SO-700043,MP-1044,16,189.3,8.56,2769.48,
SOL-900209,SO-700043,MP-1031,15,428.87,9.15,5844.46,
SOL-900210,SO-700043,MP-1043,17,97.39,7.72,1527.76,
SOL-900211,SO-700043,MP-1047,15,361.78,7.59,5014.84,
SOL-900212,SO-700044,MP-1050,9,294.46,5.02,2516.97,
SOL-900213,SO-700044,MP-1035,11,108.8,3.84,1150.87,
SOL-900214,SO-700044,MP-1043,16,97.88,4.56,1494.68,
SOL-900215,SO-700044,MP-1013,5,312.71,6.35,1464.27,
SOL-900216,SO-700045,MP-1034,12,105.9,1.66,1249.66,
SOL-900217,SO-700045,MP-1106,12,102.49,0.64,1222,
SOL-900218,SO-700045,MP-1085,10,238.15,1.26,2351.49,
SOL-900219,SO-700046,MP-1080,16,213.81,9.74,3087.91,
SOL-900220,SO-700046,MP-1034,19,105.33,10.71,1786.92,
SOL-900221,SO-700046,MP-1082,14,260.01,10.02,3275.23,
SOL-900222,SO-700046,MP-1026,31,253.13,10.12,7053.13,
SOL-900223,SO-700046,MP-1094,20,379.08,8.9,6907.06,
SOL-900224,SO-700047,MP-1071,14,168.88,8.22,2170.04,
SOL-900225,SO-700047,MP-1038,17,210.21,8.48,3270.65,
SOL-900226,SO-700047,MP-1030,16,314.74,10.1,4526.99,
SOL-900227,SO-700047,MP-1036,25,308.03,8.09,7077.84,
SOL-900228,SO-700047,MP-1049,17,326.29,9.21,5036.22,
SOL-900229,SO-700047,MP-1043,10,97.1,7.45,898.69,
SOL-900230,SO-700048,MP-1038,11,206.6,1.44,2239.91,
SOL-900231,SO-700048,MP-1012,15,161.47,1.23,2392.22,
SOL-900232,SO-700048,MP-1110,10,316.12,2.74,3074.47,
SOL-900233,SO-700049,MP-1008,23,216.86,13.1,4334.4,
SOL-900234,SO-700049,MP-1004,50,115.01,11.77,5073.53,
SOL-900235,SO-700049,MP-1037,18,225.36,12.55,"3,547.38",
SOL-900236,SO-700049,MP-1001,36,146.69,15.08,4484.48,
SOL-900237,SO-700049,MP-1117,22,354.89,12.29,6847.7,
SOL-900238,SO-700050,MP-1067,29,155.58,2.1,4417.09,
SOL-900239,SO-700050,MP-1120,12,315.37,1.46,3729.23,
SOL-900240,SO-700050,MP-1038,18,209.11,1.8,3696.16,
SOL-900241,SO-700050,MP-1063,26,204.38,2.15,5199.77,
SOL-900242,SO-700050,MP-1068,26,159.78,2.89,4034.26,
SOL-900243,SO-700051,MP-1006,16,236.23,12.76,3297.44,
SOL-900244,SO-700051,MP-1018,16,304.09,12.34,4264.88,
SOL-900245,SO-700051,MP-1124,19,600.83,10.68,10196.66,
SOL-900246,SO-700051,MP-1027,15,230.01,12.13,3031.71,
SOL-900247,SO-700052,MP-1096,37,294.51,9.74,9835.36,
SOL-900248,SO-700052,MP-1017,25,410.18,7.79,9455.68,
SOL-900249,SO-700052,MP-1008,27,221.67,8.07,5501.82,
SOL-900250,SO-700052,MP-1066,17,173.2,7.99,2709.27,
SOL-900251,SO-700052,MP-1072,13,308.43,7.9,3692.63,
SOL-900252,SO-700052,MP-1010,32,161.57,9.43,4682.54,
SOL-900253,SO-700053,MP-1040,7,230.77,2.2,"1,579.80",
SOL-900254,SO-700053,MP-1016,14,260.39,1.68,3584.18,
SOL-900255,SO-700053,MP-1120,20,314.97,0.5,6268.15,
SOL-900256,SO-700053,MP-1051,22,430.25,2.37,9240.93,
SOL-900257,SO-700053,MP-1036,29,315.85,0.65,9100.01,
SOL-900258,SO-700054,MP-1058,14,285.82,9.6,3617.34,
SOL-900259,SO-700054,MP-1115,26,354.66,9.5,8345.45,
SOL-900260,SO-700054,MP-1025,19,234.1,10.41,3984.96,
SOL-900261,SO-700054,MP-1043,16,97.52,9.32,1414.97,
SOL-900262,SO-700054,MP-1114,18,363.77,9.46,5928.7,
SOL-900263,SO-700054,MP-1107,14,106.87,8.52,1368.76,
SOL-900264,SO-700055,MP-1046,16,308.15,2.73,4796,
SOL-900265,SO-700055,MP-1079,7,380.87,3.69,2567.82,
SOL-900266,SO-700055,MP-1074,7,590.02,3.07,4003.49,
SOL-900267,SO-700055,MP-1043,21,97.65,2.1,2007.67,
SOL-900268,SO-700055,MP-1016,12,254.53,1.63,3004.58,
SOL-900269,SO-700055,MP-1105,5,241.86,1.81,1187.37,
SOL-900270,SO-700056,MP-1027,15,230.07,9.97,3106.96,
SOL-900271,SO-700056,MP-1130,18,261.97,8.15,4331.25,
SOL-900272,SO-700056,MP-1065,20,247.1,7.82,4555.49,
SOL-900273,SO-700056,MP-1014,30,541.17,8.4,14871.99,
SOL-900274,SO-700056,MP-1082,19,258.48,7.84,4526.12,
SOL-900275,SO-700057,MP-1017,7,400.1,2.83,2721.55,
SOL-900276,SO-700057,MP-1044,5,197.25,1.46,971.87,
SOL-900277,SO-700057,MP-1050,9,293.18,2.81,2564.36,
SOL-900278,SO-700057,MP-1057,8,259.43,3.24,2008.12,
SOL-900279,SO-700058,MP-1101,17,111.32,2.64,"1,842.45",
SOL-900280,SO-700058,MP-1065,9,247.62,2.91,2163.73,
SOL-900281,SO-700058,MP-1103,19,198.02,3.85,3617.34,
SOL-900282,SO-700059,MP-1117,-6,353.75,0,-2228.62,
SOL-900283,SO-700059,MP-1051,-6,421.06,1.83,-2480.1,
SOL-900284,SO-700059,MP-1077,-6,252.33,0,-1513.98,
SOL-900285,SO-700059,MP-1097,-7,274.86,0,-1814.08,
SOL-900286,SO-700060,MP-1117,10,354.46,10.83,3160.61,
SOL-900287,SO-700060,MP-1082,24,258.05,11.34,5490.82,
SOL-900288,SO-700060,MP-1034,23,104.02,10.32,2145.66,
SOL-900289,SO-700060,MP-1113,14,307.41,12.04,3785.67,
SOL-900290,SO-700061,MP-1116,17,383.54,5.47,6163.72,
SOL-900291,SO-700061,MP-1032,13,294.93,3.74,3690.71,
SOL-900292,SO-700061,MP-1077,21,255.17,4.05,5141.57,
SOL-900293,SO-700061,MP-1020,13,222.48,4.33,2766.98,
SOL-900294,SO-700061,MP-1051,29,426.34,4.34,11826.97,
SOL-900295,SO-700062,MP-1037,7,225.85,2.41,1542.87,
SOL-900296,SO-700062,MP-1002,7,210.37,2.79,"1,431.45",
SOL-900297,SO-700062,MP-1096,11,290.06,2.16,3121.75,
SOL-900298,SO-700062,MP-1084,7,239,2.36,1633.56,
SOL-900299,SO-700062,MP-1090,6,229.6,4.57,1314.71,
SOL-900300,SO-700062,MP-1040,4,235.53,1.87,924.48,
SOL-900301,SO-700063,MP-1036,12,321.25,3.78,3709.19,
SOL-900302,SO-700063,MP-1009,26,162.82,4.8,"4,030.12",
SOL-900303,SO-700063,MP-1008,16,221.53,2.03,3472.42,
SOL-900304,SO-700063,MP-1035,18,109.28,4.13,1885.83,
SOL-900305,SO-700063,MP-1056,14,303.06,2.77,4125.31,
SOL-900306,SO-700064,MP-1050,10,293.24,2.09,2871.26,
SOL-900307,SO-700064,MP-1037,15,225.12,3.78,3249.29,
SOL-900308,SO-700064,MP-1098,14,102.64,3.72,1383.56,
SOL-900309,SO-700064,MP-1061,14,250.75,1.78,3448.01,
SOL-900310,SO-700064,MP-1038,28,210.53,1.42,5810.9,
SOL-900311,SO-700065,MP-1036,14,314.87,7.25,4088.45,
SOL-900312,SO-700065,MP-1026,16,255.03,7.47,"3,775.85",
SOL-900313,SO-700065,MP-1117,6,357.67,6.98,1996.16,
SOL-900314,SO-700065,MP-1030,23,310.47,8.15,6558.56,
SOL-900315,SO-700065,MP-1037,19,226.48,7.6,3976.24,
SOL-900316,SO-700065,MP-1048,13,261.94,8.14,3127.91,
SOL-900317,SO-700065,MP-1017,8,402.36,8.42,2947.84,
SOL-900318,SO-700066,MP-1068,76,158.94,8.93,11000.67,
SOL-900319,SO-700066,MP-1103,53,196.34,9.14,"9,455.26",
SOL-900320,SO-700066,MP-1129,22,272.53,8.17,5505.91,
SOL-900321,SO-700066,MP-1101,36,109.4,9.81,3552.05,
SOL-900322,SO-700066,MP-1015,33,286.57,8.47,"8,655.82",
SOL-900323,SO-700066,MP-1073,57,324.95,8.66,16917.58,
SOL-900324,SO-700067,MP-1055,13,382.98,9.31,4515.31,
SOL-900325,SO-700067,MP-1072,21,312.61,9.98,5909.73,
SOL-900326,SO-700067,MP-1042,13,97.75,9.42,"1,151.10",
SOL-900327,SO-700067,MP-1035,17,108.73,9.39,"1,674.79",
SOL-900328,SO-700067,MP-1008,20,220.75,7.81,4070.19,
SOL-900329,SO-700067,MP-1059,19,210.38,9.72,3608.66,
SOL-900330,SO-700067,MP-1079,13,380.33,7.64,4566.31,
SOL-900331,SO-700067,MP-1037,14,222.8,9.53,2822.03,
SOL-900332,SO-700068,MP-1098,15,102.61,7.05,1430.62,
SOL-900333,SO-700068,MP-1008,10,224.39,8.28,2058.03,
SOL-900334,SO-700068,MP-1032,11,294.89,6.65,3028.23,
SOL-900335,SO-700068,MP-1027,27,229.36,6.9,5765.16,
SOL-900336,SO-700068,MP-1055,11,389.16,8.85,"3,901.80",
SOL-900337,SO-700068,MP-1111,10,257.66,9.61,2329.04,
SOL-900338,SO-700068,MP-1006,6,240.4,7.96,1327.66,
SOL-900339,SO-700068,MP-1018,16,306.86,8.65,4484.98,
SOL-900340,SO-700069,MP-1081,52,213.61,7.59,10264.89,
SOL-900341,SO-700069,MP-1037,21,227.45,8.1,4389.67,
SOL-900342,SO-700069,MP-1017,33,406,7.77,12357.37,
SOL-900343,SO-700069,MP-1001,25,144.17,8.18,3309.56,
SOL-900344,SO-700069,MP-1102,35,190.29,8.21,6113.41,
SOL-900345,SO-700070,MP-1034,21,106.06,5.56,2103.36,
SOL-900346,SO-700070,MP-1037,13,226.47,4.95,2798.25,
SOL-900347,SO-700070,MP-1008,15,222.14,5.17,3159.92,
SOL-900348,SO-700070,MP-1016,17,256.02,3.83,4185.54,
SOL-900349,SO-700070,MP-1020,18,219.94,5.29,"3,749.34",
SOL-900350,SO-700071,MP-1116,20,378.19,12.55,6614.78,
SOL-900351,SO-700071,MP-1048,37,259.41,10.22,8616.85,
SOL-900352,SO-700071,MP-1044,19,194.2,10.55,3300.6,
SOL-900353,SO-700071,MP-1029,20,352.84,11.05,6277.04,
SOL-900354,SO-700071,MP-1039,14,237.75,9.32,3018.14,
SOL-900355,SO-700071,MP-1115,22,348.98,11.17,6819.73,
SOL-900356,SO-700071,MP-1006,14,237.68,10.82,2967.5,
SOL-900357,SO-700072,MP-1121,9,293.32,2.38,2577.14,
SOL-900358,SO-700072,MP-1015,12,285.55,1.73,3367.26,
SOL-900359,SO-700072,MP-1030,21,307.85,2.33,6314.15,
SOL-900360,SO-700073,MP-1086,7,263.7,2.24,1804.56,
SOL-900361,SO-700073,MP-1015,12,287.34,1.87,3383.66,
SOL-900362,SO-700073,MP-1089,9,230.64,1.64,2041.63,
SOL-900363,SO-700073,MP-1037,8,226.19,1.38,1784.62,
SOL-900364,SO-700074,MP-1067,15,156.62,9.29,2131.15,
SOL-900365,SO-700074,MP-1063,18,206.66,6.83,3465.93,
SOL-900366,SO-700074,MP-1045,16,260.88,7.86,3846.03,
SOL-900367,SO-700074,MP-1009,26,157.36,9.47,3703.79,
SOL-900368,SO-700074,MP-1047,10,369.65,8.04,3399.46,
SOL-900369,SO-700074,MP-1080,15,217.96,7.05,"3,038.94",
SOL-900370,SO-700074,MP-1037,20,227.99,8.11,4190.01,
SOL-900371,SO-700075,MP-1025,12,230.73,3.24,2678.99,
SOL-900372,SO-700075,MP-1051,13,418.95,3.12,"5,276.47",
SOL-900373,SO-700075,MP-1117,22,353.89,4.41,7442.26,
SOL-900374,SO-700076,MP-1025,12,233.06,1.99,2741.08,
SOL-900375,SO-700076,MP-1077,20,255.19,0.77,5064.72,
SOL-900376,SO-700076,MP-1045,11,254.87,1.72,2755.41,
SOL-900377,SO-700076,MP-1073,14,322.68,2.06,4424.4,
SOL-900378,SO-700076,MP-1013,8,305.9,1.47,2411.29,
SOL-900379,SO-700077,MP-1018,15,307.28,2.34,"4,501.27",
SOL-900380,SO-700077,MP-1012,45,162.52,2.91,7100.48,
SOL-900381,SO-700077,MP-1021,11,264.84,1.73,2862.81,
SOL-900382,SO-700078,MP-1023,17,249.43,7.41,"3,926.11",
SOL-900383,SO-700078,MP-1033,25,392.68,7.15,9115.11,
SOL-900384,SO-700078,MP-1041,23,291.27,7.78,"6,177.89",
SOL-900385,SO-700078,MP-1079,30,383.28,8.61,10508.5,
SOL-900386,SO-700078,MP-1059,33,209.07,8.2,6333.3,
SOL-900387,SO-700078,MP-1056,29,295.73,8.17,7875.83,
SOL-900388,SO-700078,MP-1071,44,168.65,8.92,6758.45,
SOL-900389,SO-700079,MP-1057,9,257.79,4.56,2214.39,
SOL-900390,SO-700079,MP-1037,16,223.56,3.86,3439.05,
SOL-900391,SO-700079,MP-1099,7,104.97,3.63,708.1,
SOL-900392,SO-700079,MP-1008,13,222.71,4.32,2770.11,
SOL-900393,SO-700079,MP-1009,19,163.23,5.65,2926.26,
SOL-900394,SO-700079,MP-1098,6,101.75,3.91,586.63,
SOL-900395,SO-700080,MP-1035,4,107.14,1.14,423.7,
SOL-900396,SO-700080,MP-1016,5,251.36,1.79,1234.31,
