snapshot_date,warehouse_code,sku,units_on_hand,units_in_transit
2024-09-02,WH-03,MP-1049,68,8
2024-09-02,WH-01,MP-1050,693,46
2024-09-02,WH-02,MP-1050,115,6
2024-09-02,WH-03,MP-1050,146,43
2024-09-02,WH-01,MP-1051,1724,321
2024-09-02,WH-02,MP-1051,345,57
2024-09-02,WH-03,MP-1051,389,121
2024-09-02,WH-01,MP-1052,523,6
2024-09-02,WH-02,MP-1052,137,16
2024-09-02,WH-03,MP-1052,183,10
2024-09-02,WH-01,MP-1053,579,63
2024-09-02,WH-02,MP-1053,124,45
2024-09-02,WH-03,MP-1053,78,12
2024-09-02,WH-01,MP-1054,424,10
2024-09-02,WH-02,MP-1054,84,15
2024-09-02,WH-03,MP-1054,59,16
2024-09-02,WH-01,MP-1055,705,12
2024-09-02,WH-02,MP-1055,116,46
2024-09-02,WH-03,MP-1055,162,13
2024-09-02,WH-01,MP-1056,987,74
2024-09-02,WH-02,MP-1056,235,0
2024-09-02,WH-03,MP-1056,204,52
2024-09-02,WH-01,MP-1057,768,78
2024-09-02,WH-02,MP-1057,141,31
2024-09-02,WH-03,MP-1057,205,36
2024-09-02,WH-01,MP-1058,387,70
2024-09-02,WH-02,MP-1058,72,10
2024-09-02,WH-03,MP-1058,63,11
2024-09-02,WH-01,MP-1059,353,29
2024-09-02,WH-02,MP-1059,87,39
2024-09-02,WH-03,MP-1059,97,46
2024-09-02,WH-01,MP-1060,165,1
2024-09-02,WH-02,MP-1060,34,8
2024-09-02,WH-03,MP-1060,27,6
2024-09-02,WH-01,MP-1061,306,64
2024-09-02,WH-02,MP-1061,44,5
2024-09-02,WH-03,MP-1061,60,3
2024-09-02,WH-01,MP-1062,182,79
2024-09-02,WH-02,MP-1062,55,19
2024-09-02,WH-03,MP-1062,58,18
2024-09-02,WH-01,MP-1063,356,81
2024-09-02,WH-02,MP-1063,95,20
2024-09-02,WH-03,MP-1063,136,25
2024-09-02,WH-01,MP-1064,392,39
2024-09-02,WH-02,MP-1064,129,36
2024-09-02,WH-03,MP-1064,97,28
2024-09-02,WH-01,MP-1065,546,166
2024-09-02,WH-02,MP-1065,114,18
2024-09-02,WH-03,MP-1065,122,38
2024-09-02,WH-01,MP-1066,224,86
2024-09-02,WH-02,MP-1066,80,24
2024-09-02,WH-03,MP-1066,106,25
2024-09-02,WH-01,MP-1067,238,91
2024-09-02,WH-02,MP-1067,74,26
2024-09-02,WH-03,MP-1067,109,29
2024-09-02,WH-01,MP-1068,162,6
2024-09-02,WH-02,MP-1068,25,13
2024-09-02,WH-03,MP-1068,34,17
2024-09-02,WH-01,MP-1069,138,17
2024-09-02,WH-02,MP-1069,46,9
2024-09-02,WH-03,MP-1069,26,5
2024-09-02,WH-01,MP-1070,180,64
2024-09-02,WH-02,MP-1070,67,18
2024-09-02,WH-03,MP-1070,72,14
2024-09-02,WH-01,MP-1071,104,41
2024-09-02,WH-02,MP-1071,34,1
2024-09-02,WH-03,MP-1071,48,2
2024-09-02,WH-01,MP-1072,178,24
2024-09-02,WH-02,MP-1072,64,11
2024-09-02,WH-03,MP-1072,45,18
2024-09-02,WH-01,MP-1073,179,85
2024-09-02,WH-02,MP-1073,59,21
2024-09-02,WH-03,MP-1073,68,25
2024-09-02,WH-01,MP-1074,238,16
2024-09-02,WH-02,MP-1074,80,7
2024-09-02,WH-03,MP-1074,74,3
2024-09-02,WH-01,MP-1075,328,142
2024-09-02,WH-02,MP-1075,82,31
2024-09-02,WH-03,MP-1075,143,13
2024-09-02,WH-01,MP-1076,823,157
2024-09-02,WH-02,MP-1076,97,17
2024-09-02,WH-03,MP-1076,165,53
2024-09-02,WH-01,MP-1077,654,182
2024-09-02,WH-02,MP-1077,158,0
2024-09-02,WH-03,MP-1077,117,14
2024-09-02,WH-01,MP-1078,368,164
2024-09-02,WH-02,MP-1078,88,35
2024-09-02,WH-03,MP-1078,135,32
2024-09-02,WH-01,MP-1079,425,203
2024-09-02,WH-02,MP-1079,162,13
2024-09-02,WH-03,MP-1079,131,49
2024-09-02,WH-01,MP-1080,684,213
2024-09-02,WH-02,MP-1080,131,81
2024-09-02,WH-03,MP-1080,220,40
2024-09-02,WH-01,MP-1081,894,142
2024-09-02,WH-02,MP-1081,141,55
2024-09-02,WH-03,MP-1081,181,56
2024-09-02,WH-01,MP-1082,210,48
2024-09-02,WH-02,MP-1082,47,13
2024-09-02,WH-03,MP-1082,71,2
2024-09-02,WH-01,MP-1083,175,28
2024-09-02,WH-02,MP-1083,37,3
2024-09-02,WH-03,MP-1083,43,12
2024-09-02,WH-01,MP-1084,36,40
2024-09-02,WH-02,MP-1084,228,4
2024-09-02,WH-03,MP-1084,9,7
2024-09-02,WH-01,MP-1085,60,115
2024-09-02,WH-02,MP-1085,228,20
2024-09-02,WH-03,MP-1085,16,32
2024-09-02,WH-01,MP-1086,17,25
2024-09-02,WH-02,MP-1086,228,7
2024-09-02,WH-03,MP-1086,5,9
2024-09-02,WH-01,MP-1087,15,19
2024-09-02,WH-02,MP-1087,228,8
2024-09-02,WH-03,MP-1087,3,5
2024-09-02,WH-01,MP-1088,84,46
2024-09-02,WH-02,MP-1088,43,10
2024-09-02,WH-03,MP-1088,39,8
2024-09-02,WH-01,MP-1089,243,12
2024-09-02,WH-02,MP-1089,41,9
2024-09-02,WH-03,MP-1089,42,7
2024-09-02,WH-01,MP-1090,281,32
2024-09-02,WH-02,MP-1090,55,8
2024-09-02,WH-03,MP-1090,56,12
2024-09-02,WH-01,MP-1091,169,53
2024-09-02,WH-02,MP-1091,28,11
2024-09-02,WH-03,MP-1091,23,7
2024-09-02,WH-01,MP-1092,124,22
2024-09-02,WH-02,MP-1092,17,8
2024-09-02,WH-03,MP-1092,33,9
2024-09-02,WH-01,MP-1093,103,34
2024-09-02,WH-02,MP-1093,14,1
2024-09-02,WH-03,MP-1093,18,9
2024-09-02,WH-01,MP-1094,173,2
2024-09-02,WH-02,MP-1094,53,8
2024-09-02,WH-03,MP-1094,34,14
2024-09-02,WH-01,MP-1095,107,28
2024-09-02,WH-02,MP-1095,30,10
2024-09-02,WH-03,MP-1095,37,10
2024-09-02,WH-01,MP-1096,151,65
2024-09-02,WH-02,MP-1096,38,10
2024-09-02,WH-03,MP-1096,71,16
2024-09-02,WH-01,MP-1097,314,53
2024-09-02,WH-02,MP-1097,67,3
2024-09-02,WH-03,MP-1097,47,16
2024-09-02,WH-01,MP-1098,775,70
2024-09-02,WH-02,MP-1098,155,60
2024-09-02,WH-03,MP-1098,174,60
2024-09-02,WH-01,MP-1099,597,82
2024-09-02,WH-02,MP-1099,154,46
2024-09-02,WH-03,MP-1099,99,15
2024-09-02,WH-01,MP-1100,445,81
2024-09-02,WH-02,MP-1100,98,13
2024-09-02,WH-03,MP-1100,78,2
2024-09-02,WH-01,MP-1101,543,231
2024-09-02,WH-02,MP-1101,121,24
2024-09-02,WH-03,MP-1101,202,13
2024-09-02,WH-01,MP-1102,523,69
2024-09-02,WH-02,MP-1102,130,22
2024-09-02,WH-03,MP-1102,123,8
2024-09-02,WH-01,MP-1103,515,16
2024-09-02,WH-02,MP-1103,221,16
2024-09-02,WH-03,MP-1103,225,19
2024-09-02,WH-01,MP-1104,139,42
2024-09-02,WH-02,MP-1104,24,6
2024-09-02,WH-03,MP-1104,23,2
2024-09-02,WH-01,MP-1105,302,56
2024-09-02,WH-02,MP-1105,84,0
2024-09-02,WH-03,MP-1105,85,34
2024-09-02,WH-01,MP-1106,243,52
2024-09-02,WH-02,MP-1106,65,23
2024-09-02,WH-03,MP-1106,93,11
2024-09-02,WH-01,MP-1107,219,82
2024-09-02,WH-02,MP-1107,71,20
2024-09-02,WH-03,MP-1107,58,17
2024-09-02,WH-01,MP-1108,517,119
2024-09-02,WH-02,MP-1108,90,41
2024-09-02,WH-03,MP-1108,117,3
2024-09-02,WH-01,MP-1109,388,19
2024-09-02,WH-02,MP-1109,77,12
2024-09-02,WH-03,MP-1109,143,4
2024-09-02,WH-01,MP-1110,385,60
2024-09-02,WH-02,MP-1110,77,24
2024-09-02,WH-03,MP-1110,138,33
2024-09-02,WH-01,MP-1111,312,93
2024-09-02,WH-02,MP-1111,74,4
2024-09-02,WH-03,MP-1111,110,2
2024-09-02,WH-01,MP-1112,307,92
2024-09-02,WH-02,MP-1112,70,2
2024-09-02,WH-03,MP-1112,70,30
2024-09-02,WH-01,MP-1113,189,66
2024-09-02,WH-02,MP-1113,36,10
2024-09-02,WH-03,MP-1113,66,8
2024-09-02,WH-01,MP-1114,1046,250
2024-09-02,WH-02,MP-1114,122,22
2024-09-02,WH-03,MP-1114,255,85
2024-09-02,WH-01,MP-1115,454,11
2024-09-02,WH-02,MP-1115,155,17
2024-09-02,WH-03,MP-1115,103,46
2024-09-02,WH-01,MP-1116,1466,317
2024-09-02,WH-02,MP-1116,343,94
2024-09-02,WH-03,MP-1116,335,117
2024-09-02,WH-01,MP-1117,399,82
2024-09-02,WH-02,MP-1117,93,33
2024-09-02,WH-03,MP-1117,196,9
2024-09-02,WH-01,MP-1118,166,40
2024-09-02,WH-02,MP-1118,42,17
2024-09-02,WH-03,MP-1118,57,4
2024-09-02,WH-01,MP-1119,245,1
2024-09-02,WH-02,MP-1119,48,6
2024-09-02,WH-03,MP-1119,72,21
2024-09-02,WH-01,MP-1120,182,56
2024-09-02,WH-02,MP-1120,43,2
2024-09-02,WH-03,MP-1120,49,6
2024-09-02,WH-01,MP-1121,403,78
2024-09-02,WH-02,MP-1121,88,16
2024-09-02,WH-03,MP-1121,102,15
2024-09-02,WH-01,MP-1122,334,14
2024-09-02,WH-02,MP-1122,41,9
2024-09-02,WH-03,MP-1122,62,19
2024-09-02,WH-01,MP-1123,128,53
2024-09-02,WH-02,MP-1123,34,14
2024-09-02,WH-03,MP-1123,33,10
2024-09-02,WH-01,MP-1124,182,15
2024-09-02,WH-02,MP-1124,70,14
2024-09-02,WH-03,MP-1124,62,4
2024-09-02,WH-01,MP-1125,439,57
2024-09-02,WH-02,MP-1125,110,15
2024-09-02,WH-03,MP-1125,102,7
2024-09-02,WH-01,MP-1126,172,2
2024-09-02,WH-02,MP-1126,40,6
2024-09-02,WH-03,MP-1126,27,2
2024-09-02,WH-01,MP-1127,237,9
2024-09-02,WH-02,MP-1127,58,19
2024-09-02,WH-03,MP-1127,40,2
2024-09-02,WH-01,MP-1128,377,115
2024-09-02,WH-02,MP-1128,79,7
2024-09-02,WH-03,MP-1128,119,37
2024-09-02,WH-01,MP-1129,656,118
2024-09-02,WH-02,MP-1129,107,5
2024-09-02,WH-03,MP-1129,114,28
2024-09-02,WH-01,MP-1130,370,96
2024-09-02,WH-02,MP-1130,93,13
2024-09-02,WH-03,MP-1130,60,8
2024-09-02,WH-01,MP-1131,299,58
2024-09-02,WH-02,MP-1131,51,25
2024-09-02,WH-03,MP-1131,69,23
2024-09-05,WH-01,MP-1001,1462,316
2024-09-05,WH-02,MP-1001,191,83
2024-09-05,WH-03,MP-1001,525,26
2024-09-05,WH-01,MP-1002,1267,115
2024-09-05,WH-02,MP-1002,239,67
2024-09-05,WH-03,MP-1002,359,108
2024-09-05,WH-01,MP-1003,410,74
2024-09-05,WH-02,MP-1003,101,29
2024-09-05,WH-03,MP-1003,183,8
2024-09-05,WH-01,MP-1004,850,26
2024-09-05,WH-02,MP-1004,108,33
2024-09-05,WH-03,MP-1004,233,44
2024-09-05,WH-01,MP-1005,624,44
2024-09-05,WH-02,MP-1005,130,30
2024-09-05,WH-03,MP-1005,150,45
2024-09-05,WH-01,MP-1006,1021,312
2024-09-05,WH-02,MP-1006,308,30
2024-09-05,WH-03,MP-1006,226,62
2024-09-05,WH-01,MP-1007,595,82
2024-09-05,WH-02,MP-1007,100,37
2024-09-05,WH-03,MP-1007,162,43
2024-09-05,WH-01,MP-1008,1654,224
2024-09-05,WH-02,MP-1008,503,138
2024-09-05,WH-03,MP-1008,407,142
2024-09-05,WH-01,MP-1009,853,246
2024-09-05,WH-02,MP-1009,97,36
2024-09-05,WH-03,MP-1009,195,57
2024-09-05,WH-01,MP-1010,426,77
2024-09-05,WH-02,MP-1010,125,0
2024-09-05,WH-03,MP-1010,82,28
2024-09-05,WH-01,MP-1011,860,267
2024-09-05,WH-02,MP-1011,121,54
2024-09-05,WH-03,MP-1011,157,63
2024-09-05,WH-01,MP-1012,2615,326
2024-09-05,WH-02,MP-1012,472,182
2024-09-05,WH-03,MP-1012,426,128
2024-09-05,WH-01,MP-1013,557,182
2024-09-05,WH-02,MP-1013,102,36
2024-09-05,WH-03,MP-1013,157,19
2024-09-05,WH-01,MP-1014,736,422
2024-09-05,WH-02,MP-1014,180,54
2024-09-05,WH-03,MP-1014,199,112
2024-09-05,WH-01,MP-1015,721,40
2024-09-05,WH-02,MP-1015,222,47
2024-09-05,WH-03,MP-1015,171,82
2024-09-05,WH-01,MP-1016,1182,519
2024-09-05,WH-02,MP-1016,198,10
2024-09-05,WH-03,MP-1016,413,159
2024-09-05,WH-01,MP-1017,756,72
2024-09-05,WH-02,MP-1017,216,57
2024-09-05,WH-03,MP-1017,313,17
2024-09-05,WH-01,MP-1018,1475,228
2024-09-05,WH-02,MP-1018,301,91
2024-09-05,WH-03,MP-1018,338,154
2024-09-05,WH-01,MP-1019,360,32
2024-09-05,WH-02,MP-1019,143,16
2024-09-05,WH-03,MP-1019,134,12
2024-09-05,WH-01,MP-1020,1592,464
2024-09-05,WH-02,MP-1020,324,9
2024-09-05,WH-03,MP-1020,502,178
2024-09-05,WH-01,MP-1021,243,102
2024-09-05,WH-02,MP-1021,113,3
2024-09-05,WH-03,MP-1021,63,36
2024-09-05,WH-01,MP-1022,385,205
2024-09-05,WH-02,MP-1022,114,38
2024-09-05,WH-03,MP-1022,163,14
2024-09-05,WH-01,MP-1023,125,87
2024-09-05,WH-02,MP-1023,228,50
2024-09-05,WH-03,MP-1023,34,4
2024-09-05,WH-01,MP-1024,53,80
2024-09-05,WH-02,MP-1024,228,27
2024-09-05,WH-03,MP-1024,16,2
2024-09-05,WH-01,MP-1025,110,61
2024-09-05,WH-02,MP-1025,228,51
2024-09-05,WH-03,MP-1025,30,23
2024-09-05,WH-01,MP-1026,59,72
2024-09-05,WH-02,MP-1026,228,20
2024-09-05,WH-03,MP-1026,16,22
2024-09-05,WH-01,MP-1027,342,28
2024-09-05,WH-02,MP-1027,78,17
2024-09-05,WH-03,MP-1027,121,0
2024-09-05,WH-01,MP-1028,212,120
2024-09-05,WH-02,MP-1028,72,30
2024-09-05,WH-03,MP-1028,67,35
2024-09-05,WH-01,MP-1029,904,253
2024-09-05,WH-02,MP-1029,114,29
2024-09-05,WH-03,MP-1029,251,9
2024-09-05,WH-01,MP-1030,358,32
2024-09-05,WH-02,MP-1030,124,3
2024-09-05,WH-03,MP-1030,134,30
2024-09-05,WH-01,MP-1031,370,168
2024-09-05,WH-02,MP-1031,110,22
2024-09-05,WH-03,MP-1031,154,46
2024-09-05,WH-01,MP-1032,854,114
2024-09-05,WH-02,MP-1032,184,38
2024-09-05,WH-03,MP-1032,275,64
2024-09-05,WH-01,MP-1033,389,113
2024-09-05,WH-02,MP-1033,133,7
2024-09-05,WH-03,MP-1033,77,7
2024-09-05,WH-01,MP-1034,1115,112
2024-09-05,WH-02,MP-1034,297,6
2024-09-05,WH-03,MP-1034,244,122
2024-09-05,WH-01,MP-1035,793,241
2024-09-05,WH-02,MP-1035,280,70
2024-09-05,WH-03,MP-1035,318,100
2024-09-05,WH-01,MP-1036,836,167
2024-09-05,WH-02,MP-1036,237,41
2024-09-05,WH-03,MP-1036,322,133
2024-09-05,WH-01,MP-1037,2005,702
2024-09-05,WH-02,MP-1037,581,50
2024-09-05,WH-03,MP-1037,554,150
2024-09-05,WH-01,MP-1038,1213,516
2024-09-05,WH-02,MP-1038,396,94
2024-09-05,WH-03,MP-1038,326,150
2024-09-05,WH-01,MP-1039,657,90
2024-09-05,WH-02,MP-1039,139,27
2024-09-05,WH-03,MP-1039,108,38
2024-09-05,WH-01,MP-1040,781,277
2024-09-05,WH-02,MP-1040,266,55
2024-09-05,WH-03,MP-1040,355,53
2024-09-05,WH-01,MP-1041,253,13
2024-09-05,WH-02,MP-1041,70,9
2024-09-05,WH-03,MP-1041,82,8
2024-09-05,WH-01,MP-1042,611,82
2024-09-05,WH-02,MP-1042,175,56
2024-09-05,WH-03,MP-1042,181,48
2024-09-05,WH-01,MP-1043,950,0
2024-09-05,WH-02,MP-1043,285,50
2024-09-05,WH-03,MP-1043,263,32
2024-09-05,WH-01,MP-1044,544,217
2024-09-05,WH-02,MP-1044,107,46
2024-09-05,WH-03,MP-1044,147,20
2024-09-05,WH-01,MP-1045,583,163
2024-09-05,WH-02,MP-1045,162,21
2024-09-05,WH-03,MP-1045,130,23
2024-09-05,WH-01,MP-1046,751,44
2024-09-05,WH-02,MP-1046,159,16
2024-09-05,WH-03,MP-1046,199,54
2024-09-05,WH-01,MP-1047,2126,269
2024-09-05,WH-02,MP-1047,374,85
2024-09-05,WH-03,MP-1047,339,104
2024-09-05,WH-01,MP-1048,656,187
2024-09-05,WH-02,MP-1048,182,26
2024-09-05,WH-03,MP-1048,222,25
2024-09-05,WH-01,MP-1049,303,102
2024-09-05,WH-02,MP-1049,86,6
2024-09-05,WH-03,MP-1049,87,23
2024-09-05,WH-01,MP-1050,638,60
2024-09-05,WH-02,MP-1050,144,51
2024-09-05,WH-03,MP-1050,118,25
2024-09-05,WH-01,MP-1051,1274,219
2024-09-05,WH-02,MP-1051,358,107
2024-09-05,WH-03,MP-1051,410,110
2024-09-05,WH-01,MP-1052,638,95
2024-09-05,WH-02,MP-1052,244,50
2024-09-05,WH-03,MP-1052,239,39
2024-09-05,WH-01,MP-1053,486,154
2024-09-05,WH-02,MP-1053,102,50
2024-09-05,WH-03,MP-1053,101,21
2024-09-05,WH-01,MP-1054,389,62
2024-09-05,WH-02,MP-1054,101,16
2024-09-05,WH-03,MP-1054,98,24
2024-09-05,WH-01,MP-1055,662,0
2024-09-05,WH-02,MP-1055,146,23
2024-09-05,WH-03,MP-1055,157,36
2024-09-05,WH-01,MP-1056,1212,200
2024-09-05,WH-02,MP-1056,159,67
2024-09-05,WH-03,MP-1056,164,35
2024-09-05,WH-01,MP-1057,707,202
2024-09-05,WH-02,MP-1057,142,24
2024-09-05,WH-03,MP-1057,173,54
2024-09-05,WH-01,MP-1058,362,58
2024-09-05,WH-02,MP-1058,72,13
2024-09-05,WH-03,MP-1058,61,4
2024-09-05,WH-01,MP-1059,314,95
2024-09-05,WH-02,MP-1059,94,34
2024-09-05,WH-03,MP-1059,113,27
2024-09-05,WH-01,MP-1060,90,46
2024-09-05,WH-02,MP-1060,20,1
2024-09-05,WH-03,MP-1060,30,14
2024-09-05,WH-01,MP-1061,351,47
2024-09-05,WH-02,MP-1061,59,7
2024-09-05,WH-03,MP-1061,55,3
2024-09-05,WH-01,MP-1062,145,25
2024-09-05,WH-02,MP-1062,47,9
2024-09-05,WH-03,MP-1062,86,4
2024-09-05,WH-01,MP-1063,436,152
2024-09-05,WH-02,MP-1063,87,11
2024-09-05,WH-03,MP-1063,117,6
2024-09-05,WH-01,MP-1064,412,146
2024-09-05,WH-02,MP-1064,70,31
2024-09-05,WH-03,MP-1064,100,35
2024-09-05,WH-01,MP-1065,485,159
2024-09-05,WH-02,MP-1065,82,38
2024-09-05,WH-03,MP-1065,143,29
2024-09-05,WH-01,MP-1066,270,122
2024-09-05,WH-02,MP-1066,97,30
2024-09-05,WH-03,MP-1066,118,34
2024-09-05,WH-01,MP-1067,214,8
2024-09-05,WH-02,MP-1067,62,29
2024-09-05,WH-03,MP-1067,79,30
2024-09-05,WH-01,MP-1068,127,45
2024-09-05,WH-02,MP-1068,24,9
2024-09-05,WH-03,MP-1068,34,19
2024-09-05,WH-01,MP-1069,216,63
2024-09-05,WH-02,MP-1069,26,10
2024-09-05,WH-03,MP-1069,33,4
2024-09-05,WH-01,MP-1070,215,83
2024-09-05,WH-02,MP-1070,61,5
2024-09-05,WH-03,MP-1070,80,2
2024-09-05,WH-01,MP-1071,198,1
2024-09-05,WH-02,MP-1071,31,8
2024-09-05,WH-03,MP-1071,54,5
2024-09-05,WH-01,MP-1072,221,45
2024-09-05,WH-02,MP-1072,93,23
2024-09-05,WH-03,MP-1072,54,17
2024-09-05,WH-01,MP-1073,195,53
2024-09-05,WH-02,MP-1073,36,2
2024-09-05,WH-03,MP-1073,80,1
2024-09-05,WH-01,MP-1074,350,55
2024-09-05,WH-02,MP-1074,63,21
2024-09-05,WH-03,MP-1074,71,12
2024-09-05,WH-01,MP-1075,531,36
2024-09-05,WH-02,MP-1075,143,17
2024-09-05,WH-03,MP-1075,116,38
2024-09-05,WH-01,MP-1076,416,69
2024-09-05,WH-02,MP-1076,162,19
2024-09-05,WH-03,MP-1076,127,20
2024-09-05,WH-01,MP-1077,642,25
2024-09-05,WH-02,MP-1077,182,8
2024-09-05,WH-03,MP-1077,179,8
2024-09-05,WH-01,MP-1078,339,171
2024-09-05,WH-02,MP-1078,105,2
2024-09-05,WH-03,MP-1078,83,13
2024-09-05,WH-01,MP-1079,468,225
2024-09-05,WH-02,MP-1079,130,22
2024-09-05,WH-03,MP-1079,104,13
2024-09-05,WH-01,MP-1080,793,8
2024-09-05,WH-02,MP-1080,199,13
